Species Tree Node	Duplications (all)	Duplications (50% support)
N0	8604	2282
Cochlearia_excelsa	23527	23527
N1	4544	471
N7	991	215
N19	10860	9218
Brassica_rapa	1392	1392
Brassica_napus	36348	36348
Brassica_oleracea	1846	1846
N20	6715	3928
Raphanus_sativus	10805	10805
N2	10754	310
Eutrema_salsugineum	3215	3215
Noccaea_praecox	4356	4356
Camelina_sativa	47978	47978
Aethionema_saxatile	4384	4384
Cardamine_amara	1431	1431
Odontarrhena_muralis	4535	4535
Conringia_planisiliqua	8445	8445
Cardamine_glauca	1803	1803
Arabidopsis_lyrata_NCBI	1197	1197
Arabidopsis_arenosa	2932	2932
Alyssum_gmelinii	6389	6389
N21	2666	2666
Euclidium_syriacum	5412	5412
N3	1210	165
Erysimum_linariifolium	3378	3378
N12	512	512
Arabis_alpina	6721	6721
N4	1375	22
N11	402	141
Arabidopsis_lyrata_Rawat	1827	1827
N15	411	179
N18	748	748
Capsella_rubella	1440	1440
N5	813	206
N9	935	253
N13	340	340
N6	323	226
N17	637	401
Cardamine_hirsuta	2097	2097
N10	224	224
N14	592	420
N16	943	644
Arabidopsis_thaliana	944	944
N8	87	33
