Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	1113	936
OG0000001	1215	1215
OG0000002	901	781
OG0000003	742	562
OG0000004	729	591
OG0000005	521	383
OG0000006	607	432
OG0000007	472	346
OG0000008	468	370
OG0000009	689	689
OG0000010	529	467
OG0000011	455	405
OG0000012	372	259
OG0000013	392	340
OG0000014	355	251
OG0000015	326	238
OG0000016	526	526
OG0000017	357	313
OG0000018	348	304
OG0000019	308	241
OG0000020	302	235
OG0000021	253	155
OG0000022	464	454
OG0000023	151	99
OG0000024	363	329
OG0000025	227	177
OG0000026	325	258
OG0000027	227	186
OG0000028	258	198
OG0000029	241	162
OG0000030	231	153
OG0000031	182	151
OG0000032	324	291
OG0000033	169	118
OG0000034	239	181
OG0000035	191	144
OG0000036	266	203
OG0000037	225	135
OG0000038	161	117
OG0000039	292	215
OG0000040	172	132
OG0000041	328	303
OG0000042	190	129
OG0000043	226	156
OG0000044	238	209
OG0000045	214	174
OG0000046	127	80
OG0000047	226	155
OG0000048	152	112
OG0000049	233	168
OG0000050	203	158
OG0000051	338	338
OG0000052	150	113
OG0000053	237	215
OG0000054	215	159
OG0000055	134	102
OG0000056	195	155
OG0000057	140	104
OG0000058	202	156
OG0000059	157	94
OG0000060	297	283
OG0000061	233	193
OG0000062	218	189
OG0000063	109	41
OG0000064	188	154
OG0000065	233	184
OG0000066	173	44
OG0000067	168	136
OG0000068	206	170
OG0000069	153	108
OG0000070	177	125
OG0000071	174	140
OG0000072	233	209
OG0000073	120	77
OG0000074	99	82
OG0000075	152	113
OG0000076	125	91
OG0000077	139	109
OG0000078	196	167
OG0000079	119	92
OG0000080	119	83
OG0000081	128	95
OG0000082	156	108
OG0000083	124	82
OG0000084	146	120
OG0000085	181	125
OG0000086	213	199
OG0000087	67	56
OG0000088	120	83
OG0000089	98	56
OG0000090	130	116
OG0000091	212	172
OG0000092	272	272
OG0000093	117	97
OG0000094	261	246
OG0000095	268	268
OG0000096	102	58
OG0000097	124	105
OG0000098	125	90
OG0000099	146	115
OG0000100	179	144
OG0000101	101	52
OG0000102	165	99
OG0000103	260	260
OG0000104	75	48
OG0000105	143	116
OG0000106	133	108
OG0000107	94	71
OG0000108	132	108
OG0000109	164	128
OG0000110	107	78
OG0000111	109	84
OG0000112	183	162
OG0000113	114	71
OG0000114	120	72
OG0000115	173	149
OG0000116	198	186
OG0000117	157	118
OG0000118	169	154
OG0000119	168	152
OG0000120	142	132
OG0000121	165	138
OG0000122	92	56
OG0000123	93	72
OG0000124	120	84
OG0000125	69	44
OG0000126	148	120
OG0000127	76	46
OG0000128	125	83
OG0000129	194	159
OG0000130	167	142
OG0000131	145	118
OG0000132	121	81
OG0000133	150	131
OG0000134	224	222
OG0000135	131	99
OG0000136	96	71
OG0000137	141	120
OG0000138	90	63
OG0000139	141	115
OG0000140	76	61
OG0000141	219	219
OG0000142	90	65
OG0000143	168	135
OG0000144	116	75
OG0000145	129	101
OG0000146	63	45
OG0000147	41	35
OG0000148	215	215
OG0000149	67	43
OG0000150	81	53
OG0000151	51	30
OG0000152	155	144
OG0000153	212	212
OG0000154	82	69
OG0000155	67	50
OG0000156	80	61
OG0000157	101	75
OG0000158	99	70
OG0000159	207	207
OG0000160	139	83
OG0000161	75	57
OG0000162	77	57
OG0000163	203	203
OG0000164	83	65
OG0000165	122	97
OG0000166	114	96
OG0000167	76	58
OG0000168	104	64
OG0000169	74	42
OG0000170	195	192
OG0000171	68	18
OG0000172	91	69
OG0000173	119	77
OG0000174	134	110
OG0000175	47	26
OG0000176	103	79
OG0000177	111	93
OG0000178	127	92
OG0000179	192	192
OG0000180	104	87
OG0000181	119	95
OG0000182	192	192
OG0000183	111	84
OG0000184	113	63
OG0000185	99	64
OG0000186	90	50
OG0000187	95	71
OG0000188	138	119
OG0000189	88	64
OG0000190	65	57
OG0000191	79	61
OG0000192	60	39
OG0000193	84	59
OG0000194	182	177
OG0000195	60	21
OG0000196	58	39
OG0000197	81	53
OG0000198	183	183
OG0000199	180	180
OG0000200	101	92
OG0000201	77	57
OG0000202	75	55
OG0000203	97	86
OG0000204	82	68
OG0000205	97	71
OG0000206	98	69
OG0000207	74	58
OG0000208	64	50
OG0000209	77	51
OG0000210	60	43
OG0000211	175	175
OG0000212	176	176
OG0000213	72	60
OG0000214	78	56
OG0000215	102	51
OG0000216	78	60
OG0000217	69	48
OG0000218	54	46
OG0000219	73	65
OG0000220	81	55
OG0000221	131	122
OG0000222	118	104
OG0000223	168	168
OG0000224	72	59
OG0000225	77	58
OG0000226	67	53
OG0000227	169	169
OG0000228	59	37
OG0000229	89	73
OG0000230	79	56
OG0000231	108	99
