	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
Number of genes	25353	32164	33938	29817	33221	27650	34212	90897	44382	41403	82569	26410	25330	24828	29458	54424	34766	30393	33001	26943	30370	29940	49855
Number of genes in orthogroups	24365	30958	32065	29727	31630	26823	31110	88469	43650	40946	79547	26305	25059	24599	28660	50753	32668	29390	30050	26790	29031	28782	48377
Number of unassigned genes	988	1206	1873	90	1591	827	3102	2428	732	457	3022	105	271	229	798	3671	2098	1003	2951	153	1339	1158	1478
Percentage of genes in orthogroups	96.1	96.3	94.5	99.7	95.2	97.0	90.9	97.3	98.4	98.9	96.3	99.6	98.9	99.1	97.3	93.3	94.0	96.7	91.1	99.4	95.6	96.1	97.0
Percentage of unassigned genes	3.9	3.7	5.5	0.3	4.8	3.0	9.1	2.7	1.6	1.1	3.7	0.4	1.1	0.9	2.7	6.7	6.0	3.3	8.9	0.6	4.4	3.9	3.0
Number of orthogroups containing species	17593	19333	21096	20836	21484	20269	19410	23606	21862	21066	21755	19458	19009	18768	20113	20025	19179	20176	19325	18987	19712	19355	21007
Percentage of orthogroups containing species	46.2	50.7	55.3	54.7	56.4	53.2	50.9	61.9	57.4	55.3	57.1	51.0	49.9	49.2	52.8	52.5	50.3	52.9	50.7	49.8	51.7	50.8	55.1
Number of species-specific orthogroups	219	508	250	13	202	52	786	431	77	25	646	13	70	33	110	1484	633	290	570	45	419	414	387
Number of genes in species-specific orthogroups	2318	1607	876	38	512	129	4548	1316	189	86	2025	52	227	76	314	11685	5790	841	3081	396	1969	1905	927
Percentage of genes in species-specific orthogroups	9.1	5.0	2.6	0.1	1.5	0.5	13.3	1.4	0.4	0.2	2.5	0.2	0.9	0.3	1.1	21.5	16.7	2.8	9.3	1.5	6.5	6.4	1.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	20524	18784	17021	17281	16633	17848	18707	14511	16255	17051	16362	18659	19108	19349	18004	18092	18938	17941	18792	19130	18405	18762	17110
'1	14482	14152	16158	16321	16416	16401	14636	3383	11357	11066	1870	15710	15323	15099	15670	13168	15092	15312	14552	15464	15186	15085	8852
'2	2411	3404	3302	3161	3484	2847	3248	8619	6398	6175	3084	2708	2721	2826	3105	4289	2779	3365	3150	2642	3170	2913	6240
'3	348	817	771	649	804	525	750	2382	2426	2285	11794	481	571	455	663	1124	549	737	761	427	711	668	3046
'4	119	340	301	271	283	206	264	4269	757	671	1458	210	176	154	269	462	224	274	292	154	241	239	1420
'5	57	184	155	111	136	76	138	1475	351	324	881	92	67	74	123	218	126	151	149	67	136	120	574
'6	42	95	101	84	88	69	99	1406	179	163	1374	67	38	44	58	118	71	90	104	51	56	74	297
