Orthogroup	Eutrema_salsugineum	Noccaea_praecox
OG0000000	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024009247.1, XP_024014224.1, XP_024014847.1, XP_024016570.1	Np005G293490
OG0000000	XP_024010601.1	Np007G396780
OG0000002	XP_024006551.1	Np008G427560
OG0000002	XP_024009464.1, XP_024006130.1, XP_024014521.1	Np002G102960
OG0000002	XP_024013349.1, XP_024007240.1	Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030
OG0000002	XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1, XP_024015242.1, XP_024014055.1, XP_024010428.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024013910.1, XP_024005018.1, XP_024015965.1, XP_024004035.1, XP_024014994.1, XP_024011225.1, XP_024015835.1, XP_024009787.1, XP_024010274.1, XP_024014545.1, XP_024015894.1, XP_024010275.1, XP_024010359.1, XP_024004942.1, XP_024014437.1, XP_024014547.1, XP_024016288.1, XP_024013299.1, XP_024013567.1, XP_024010360.1, XP_024016271.1, XP_024015836.1, XP_024016289.1, XP_024016302.1	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920
OG0000002	XP_024010604.1, XP_024009251.1, XP_024009451.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024011258.1, XP_024016116.1, XP_024010553.1, XP_024013954.1, XP_024013993.1, XP_024016193.1, XP_024013210.1, XP_024015869.1, XP_024009904.1, XP_024010307.1, XP_024015923.1, XP_024013058.1	Np007G405440
OG0000002	XP_024009486.1	Np009G429290
OG0000003	XP_024010582.1, XP_024013222.1, XP_024009444.1, XP_024007247.1	Np005G296980
OG0000003	XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1	Np008G429060, Np001G031010, Np002G099380
OG0000003	XP_024006599.1, XP_024006505.1, XP_024016350.1	Np001G029010
OG0000003	XP_024016833.1	Np001G030960
OG0000003	XP_024009771.1	Np005G296640, Np003G168980
OG0000003	XP_024014001.1	Np006G345580, Np005G294070
OG0000003	XP_024015845.1	Np009G429960, Np003G168500
OG0000003	XP_024010571.1, XP_024010572.1	Np003G170050
OG0000003	XP_024010454.1, XP_024010649.1, XP_024013240.1	Np003G172810
OG0000003	XP_024016373.1	Np006G346690
OG0000003	XP_024009493.1	Np003G170760
OG0000004	XP_024014707.1	Np002G100200
OG0000004	XP_024013148.1	Np002G110370
OG0000004	XP_024016341.1, XP_024015975.1, XP_024008064.1, XP_024010299.1, XP_024010421.1, XP_024015192.1, XP_024014000.1, XP_024010207.1, XP_024004991.1, XP_024013215.1, XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024008027.1, XP_024013218.1, XP_024015971.1	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650
OG0000005	XP_024007257.1, XP_024009950.1	Np006G356630
OG0000005	XP_024010394.1	Np004G202160, Np002G098860, Np007G395340
OG0000005	XP_024015914.1	Np004G197010
OG0000005	XP_006404467.1	Np004G203550, Np005G265280
OG0000005	XP_024016213.1	Np001G012890, Np001G012870
OG0000005	XP_024014912.1	Np008G427710
OG0000006	XP_006397474.2, XP_024011387.1, XP_024004398.1, XP_024013912.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004074.1, XP_024004856.1, XP_024014006.1, XP_024004157.1, XP_024012322.1, XP_024009190.1, XP_024015267.1, XP_024012910.1	Np003G145740
