Orthogroup	Eutrema_salsugineum	Cardamine_glauca
OG0000000	XP_024010229.1	Cg008G288880
OG0000002	XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1, XP_024015242.1	Cg005G163330
OG0000003	XP_006391417.2, XP_024011134.1, XP_024010447.1, XP_024013113.1, XP_024016241.1, XP_024013903.1, XP_006404995.2, XP_024013358.1, XP_006402217.2, XP_024016125.1, XP_024003648.1, XP_024013775.1	Cg006G209840
OG0000003	XP_024009759.1, XP_024009236.1, XP_024007306.1	Cg001G036970
OG0000003	XP_024010454.1, XP_024010649.1, XP_024013240.1	Cg001G032830
OG0000003	XP_024016355.1	Cg004G144080
OG0000003	XP_024009493.1	Cg005G182650
OG0000004	XP_024014707.1	Cg004G154080
OG0000004	XP_024014264.1	Cg005G167340
OG0000005	XP_024014307.1, XP_024014469.1, XP_024004940.1	Cg007G253430
OG0000005	XP_024007257.1, XP_024009950.1	Cg008G308830
OG0000005	XP_024010394.1	Cg003G086520
OG0000005	XP_024004939.1	Cg005G185830
OG0000005	XP_024016213.1	Cg003G087270
OG0000005	XP_024016332.1	Cg005G189270
OG0000005	XP_024004039.1	Cg006G213190
OG0000006	XP_024006790.1	Cg008G312070
OG0000006	XP_024014517.1, XP_024016334.1, XP_024006841.1, XP_024006492.1, XP_024006274.1, XP_024008018.1, XP_024010318.1, XP_024013856.1, XP_024014636.1, XP_024004058.1, XP_024010431.1	Cg006G206830
OG0000007	XP_024006886.1, XP_024011324.1	Cg002G061850
OG0000007	XP_024004899.1	Cg002G054650
OG0000008	XP_024015912.1	Cg008G312650
OG0000010	XP_024014048.1	Cg001G010610
OG0000010	XP_024015955.1, XP_024011402.1, XP_024006535.1	Cg006G205490
OG0000011	XP_024004173.1, XP_024008034.1, XP_024010329.1, XP_024010628.1, XP_024004872.1, XP_024007768.1	Cg005G184960
OG0000012	XP_024016167.1	Cg003G089470, Cg006G226210
OG0000012	XP_024013199.1	Cg007G260780, Cg002G066610, Cg003G088580, Cg007G258900
OG0000012	XP_024004033.1	Cg006G208150, Cg003G096300
OG0000013	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1	Cg007G257070, Cg005G184830
OG0000014	XP_024016530.1	Cg008G312030
OG0000014	XP_024004866.1, XP_024009964.1	Cg007G266660
OG0000019	XP_024003642.1	Cg008G308170
