Orthogroup	Eutrema_salsugineum	Alyssum_gmelinii
OG0000000	XP_024011370.1, XP_024016564.1, XP_024009381.1, XP_024016539.1, XP_024009341.1	Ag004G340890, Ag001G084200
OG0000003	XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1	Ag007G617260
OG0000003	XP_024010571.1, XP_024010572.1	Ag004G365940
OG0000003	XP_024016373.1	Ag001G046010
OG0000003	XP_024014528.1, XP_024014499.1, XP_024006399.1, XP_024010472.1, XP_024016094.1, XP_024013092.1, XP_024009493.1, XP_024014542.1, XP_024015830.1, XP_024014507.1, XP_024016342.1, XP_024010922.1, XP_024009400.1, XP_024011364.1, XP_024011296.1, XP_024013060.1, XP_024004015.1, XP_024010544.1	Ag007G647490
OG0000004	XP_024004906.1	Ag006G542780, Ag002G121010, Ag006G552510
OG0000004	XP_024016239.1	Ag004G374310
OG0000004	XP_024006398.1	Ag005G473260, Ag001G034430, Ag003G239450
OG0000004	XP_024014264.1	Ag005G427550
OG0000005	XP_024010426.1, XP_024014307.1, XP_024014469.1, XP_024004940.1, XP_024007257.1, XP_024009950.1	Ag005G452100
OG0000005	XP_024016212.1, XP_024011403.1	Ag007G610690
OG0000005	XP_024004860.1, XP_024006562.1	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760
OG0000005	XP_006404467.1	Ag006G527380
OG0000005	XP_024004939.1	Ag005G402580, Ag007G622540
OG0000005	XP_024004039.1	Ag001G040530
OG0000005	XP_024006395.1	Ag005G488800
OG0000006	XP_024016122.1	Ag005G455250
OG0000008	XP_024014781.1	Ag007G618290
OG0000008	XP_024006483.1	Ag001G044380, Ag008G677680, Ag004G365860
OG0000008	XP_024010377.1, XP_024010217.1	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500
OG0000008	XP_024013173.1	Ag001G015890
OG0000008	XP_024009261.1	Ag005G426820
OG0000011	XP_024009191.1	Ag008G699310
OG0000011	XP_024013917.1, XP_024008814.1, XP_024007930.1, XP_024006802.1, XP_024014194.1, XP_024013859.1, XP_024013409.1, XP_024006835.1, XP_024005940.1, XP_024006093.1, XP_024004410.1, XP_024009931.1, XP_024006552.1	Ag002G108600
OG0000012	XP_024016167.1	Ag007G638410
OG0000012	XP_024013199.1	Ag007G633420
OG0000012	XP_024005031.1	Ag003G250900
OG0000012	XP_024016113.1	Ag003G250910
OG0000012	XP_024010417.1, XP_024004018.1	Ag001G058690, Ag008G683900, Ag008G670600, Ag005G428880
OG0000013	XP_024013108.1, XP_024013090.1	Ag006G559810
OG0000013	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1	Ag004G396400, Ag004G380450
OG0000013	XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024014871.1, XP_024010269.1, XP_024010603.1, XP_024010602.1, XP_024015954.1, XP_024009244.1, XP_024009423.1, XP_024007245.1, XP_024009582.1, XP_024009448.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024011363.1, XP_024013386.1, XP_024010675.1, XP_024010915.1, XP_024005024.1, XP_024013120.1, XP_024013068.1, XP_024011336.1, XP_024007272.1	Ag001G041140
OG0000014	XP_024016530.1	Ag008G691080
OG0000014	XP_024006432.1, XP_024013961.1	Ag003G252810
OG0000014	XP_024013371.1, XP_024016228.1	Ag001G020750
OG0000015	XP_024006904.1	Ag008G676660
OG0000015	XP_024009420.1	Ag008G687430
OG0000017	XP_024010923.1, XP_024015878.1, XP_024016723.1, XP_024004986.1, XP_024014812.1, XP_024016106.1, XP_024006565.1, XP_024011333.1, XP_024013063.1, XP_024010757.1, XP_024015902.1, XP_024006617.1, XP_024007259.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024006547.1, XP_024014443.1, XP_024010319.1, XP_024013043.1, XP_024013948.1, XP_024010782.1, XP_024013965.1, XP_006405034.2, XP_024013964.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013056.1, XP_024014425.1, XP_024009794.1, XP_024013930.1	Ag002G124100, Ag004G375560, Ag001G050140
OG0000018	XP_024006639.1, XP_024008232.1	Ag007G609170
OG0000019	XP_024003642.1	Ag003G276070
OG0000019	XP_024016548.1, XP_024004876.1, XP_024003759.1	Ag006G545360
OG0000019	XP_024016750.1, XP_024004844.1, XP_024004832.1, XP_024012731.1, XP_024006275.1	Ag007G642200, Ag006G545350
OG0000020	XP_024007954.1	Ag006G521270
OG0000020	XP_024004841.1	Ag005G441960
OG0000021	XP_024015179.1	Ag008G685590
OG0000021	XP_024004072.1	Ag002G135150
OG0000021	XP_024006452.1	Ag005G443540
OG0000021	XP_024009969.1, XP_024013347.1, XP_024015937.1	Ag002G201670
OG0000023	XP_006413565.1	Ag006G545600, Ag006G549030
OG0000023	XP_024009837.1, XP_006413557.1, XP_024013896.1	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	XP_006396897.2, XP_024009838.1	Ag002G145570, Ag002G145600
OG0000023	XP_006396896.1	Ag002G145500
OG0000023	XP_006396890.1	Ag002G145450
OG0000023	XP_006413569.1	Ag006G547270
OG0000023	XP_024004623.1	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000024	XP_024014024.1	Ag005G441710
OG0000024	XP_024009296.1	Ag004G351930, Ag005G445160
OG0000024	XP_024010607.1, XP_024010395.1, XP_024010031.1, XP_024014629.1, XP_024013325.1, XP_024009252.1, XP_024005030.1, XP_024010538.1, XP_024013236.1, XP_024009358.1, XP_024006512.1, XP_024010470.1, XP_024015875.1, XP_024007256.1, XP_024014509.1, XP_024014381.1, XP_024013956.1, XP_024015961.1, XP_024014533.1, XP_024010352.1, XP_024014232.1, XP_024016364.1, XP_024013986.1, XP_024016315.1, XP_024010240.1, XP_024015868.1, XP_024009903.1, XP_024009316.1, XP_024013380.1, XP_024010351.1, XP_024014578.1, XP_024004921.1, XP_024004997.1, XP_024016561.1, XP_024015840.1, XP_024015053.1, XP_024011325.1, XP_024010433.1, XP_024010388.1, XP_024007293.1, XP_024004023.1, XP_024010308.1, XP_024014886.1, XP_024013048.1, XP_024014471.1, XP_024014504.1, XP_024013395.1, XP_024005028.1, XP_024007270.1, XP_024014523.1, XP_024009257.1, XP_024015873.1, XP_024006660.1, XP_024016277.1, XP_024015857.1, XP_024013208.1, XP_024009483.1, XP_024004978.1, XP_024009413.1, XP_024010416.1, XP_024006477.1, XP_024004833.1, XP_024013110.1, XP_024014290.1, XP_024011257.1, XP_024015161.1, XP_024010460.1, XP_024010296.1, XP_024015036.1, XP_024013216.1, XP_024010356.1, XP_024010434.1, XP_024016114.1, XP_024010345.1, XP_024014548.1, XP_024004944.1	Ag002G157990, Ag002G117810, Ag003G279100
OG0000026	XP_024010439.1	Ag013G741580
OG0000027	XP_006415341.2, XP_024007951.1, XP_006415394.1	Ag006G546200, Ag005G439390, Ag007G580660
OG0000028	XP_024009126.1, XP_024004857.1, XP_024016540.1, XP_024013053.1, XP_024013162.1, XP_024014403.1, XP_024014056.1, XP_024010241.1, XP_024014715.1, XP_024009819.1, XP_024010450.1, XP_024015838.1, XP_024016311.1, XP_024004754.1, XP_024004102.1, XP_024007219.1, XP_024004045.1, XP_024011346.1, XP_024010247.1, XP_024016863.1, XP_024013922.1, XP_024009259.1, XP_024013800.1, XP_024012069.1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	XP_024007307.1	Ag006G523440, Ag006G532500, Ag004G401820
OG0000029	XP_024005553.1	Ag003G258710
OG0000030	XP_024009281.1	Ag008G691940, Ag005G407260, Ag002G169900, Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430, Ag004G380470, Ag008G713150, Ag002G167860, Ag004G319940, Ag004G398140, Ag003G263120
OG0000031	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1	Ag001G078560, Ag004G386130
OG0000031	XP_006417216.1, XP_006417205.1, XP_006417199.1	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	XP_024014798.1	Ag002G111150, Ag002G107580
OG0000031	XP_006391605.2, XP_024008093.1	Ag004G401670
OG0000033	XP_024010975.1, XP_006413571.1	Ag006G547230, Ag006G549390
OG0000033	XP_006413574.2	Ag006G543630, Ag006G543880
OG0000033	XP_024005104.1	Ag006G564890, Ag003G210460
OG0000033	XP_006413566.2, XP_006413567.2	Ag006G548990
OG0000033	XP_006413576.1	Ag006G547380, Ag006G549570
OG0000034	XP_024016360.1, XP_024014012.1, XP_024016375.1	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780
OG0000034	XP_024005459.1	Ag005G434950
OG0000034	XP_024005008.1	Ag007G610710, Ag002G120190
OG0000034	XP_024004803.1	Ag008G692130, Ag002G161700
OG0000034	XP_024016361.1	Ag006G548030, Ag002G114610, Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310
OG0000035	XP_024005913.1	Ag007G589380
OG0000035	XP_006407903.2	Ag007G590010
OG0000035	XP_006410338.1, XP_006391498.1, XP_006406621.1, XP_006406579.1	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	XP_024009179.1, XP_024009592.1	Ag004G310880
OG0000036	XP_024013600.1	Ag006G551100, Ag001G036210, Ag003G262470, Ag003G288580, Ag005G424740
OG0000036	XP_024012609.1, XP_024009371.1	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000038	XP_024008017.1, XP_024008946.1, XP_024008016.1	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	XP_024013611.1	Ag006G511550, Ag006G511600
OG0000038	XP_006412465.2	Ag003G279120
OG0000038	XP_006396333.1, XP_024004165.1	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	XP_024014404.1	Ag004G312700
OG0000038	XP_024015270.1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000040	XP_024008003.1	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	XP_024013353.1	Ag002G192690, Ag002G188830
OG0000040	XP_024015244.1, XP_024010547.1, XP_024009293.1, XP_024016186.1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	XP_006391637.1	Ag005G446880, Ag005G447100, Ag005G447140
OG0000044	XP_006407857.2	Ag008G702570
OG0000044	XP_024015030.1	Ag006G512870, Ag001G054960
OG0000045	XP_024010150.1	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1	Ag005G417800, Ag004G353390, Ag005G464900, Ag002G130610, Ag001G035560, Ag008G683870, Ag005G459470, Ag009G736850, Ag002G151850, Ag005G408680, Ag005G420260, Ag003G262090, Ag004G355210
