Orthogroup	Eutrema_salsugineum	Cochlearia_excelsa
OG0000000	XP_024014993.1	g26033
OG0000000	XP_024007302.1	g42564
OG0000000	XP_024016564.1	g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504
OG0000000	XP_024009381.1	g4171, g14802
OG0000000	XP_024009341.1	g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622
OG0000000	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024009247.1, XP_024014224.1	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071
OG0000000	XP_024010601.1	g43020, g17839, g3760, g25775, g53118, g25015, g4429, g35899
OG0000002	XP_024014502.1, XP_024010212.1	g26238, g91, g25759, g5461, g22857, g4776, g34979, g16823, g16351, g32695, g11929, g28129, g37738, g26240, g26182, g34796
OG0000002	XP_024010711.1	g1903
OG0000002	XP_024010270.1	g35474
OG0000002	XP_024014438.1	g18734
OG0000002	XP_024006551.1, XP_024009464.1, XP_024006130.1, XP_024014521.1	g48969
OG0000002	XP_024007921.1	g43961, g37679, g4011, g51790, g16350
OG0000002	XP_024006401.1, XP_024014700.1	g16610, g46300, g35125, g18735, g50561, g37142, g2226, g28809, g44629, g11930, g19637, g46088, g54220, g22302
OG0000002	XP_024016328.1	g14412
OG0000002	XP_024013349.1, XP_024007240.1	g17598, g51597, g28460, g25506, g14097, g4778, g53950
OG0000002	XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1	g39438, g23770, g9964, g31362, g42923, g35831, g54196, g53818, g2533, g18045, g23774, g25411, g5655, g22726, g5204, g26709, g36393, g17831, g22441, g53912
OG0000002	XP_024015242.1	g22482
OG0000002	XP_024006422.1, XP_024016543.1, XP_024005004.1, XP_024009474.1, XP_024010365.1, XP_024014482.1, XP_024016829.1, XP_024013731.1, XP_024013994.1, XP_024004771.1, XP_024016221.1, XP_024016325.1, XP_024006657.1, XP_024009437.1, XP_024011378.1, XP_024004829.1, XP_024013154.1, XP_024004145.1, XP_024004820.1, XP_024014451.1, XP_024013995.1, XP_024004949.1, XP_024009949.1, XP_024010385.1, XP_024016831.1, XP_024010916.1, XP_024012926.1, XP_024007765.1, XP_024010917.1, XP_024004042.1, XP_024004013.1, XP_024004918.1, XP_024015916.1, XP_024013252.1, XP_024016214.1, XP_024016545.1, XP_024004973.1, XP_024004934.1, XP_024010481.1, XP_024011386.1, XP_024014573.1, XP_024016544.1, XP_024004936.1, XP_024015298.1, XP_024014816.1, XP_024013904.1, XP_024016251.1, XP_024011355.1, XP_024009618.1, XP_024016832.1, XP_024015942.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024016563.1, XP_024013919.1, XP_024007222.1, XP_024015214.1, XP_024014701.1, XP_024014765.1, XP_024010367.1, XP_024007242.1	g43921, g32761, g36765, g14069, g17547, g14322, g41536, g45709, g24274, g47656, g12054, g47868, g1902, g19537, g26066, g35225, g28127, g22356, g22360, g22520, g44403, g12891, g44628, g35850, g4203, g35639, g26118, g50077, g31091, g4823, g32236, g44742, g2225, g49283, g24145, g22362, g11797, g37739, g31863, g39437, g26239
