Orthogroup	Conringia_planisiliqua	Noccaea_praecox
OG0000000	CP1_g39844_DN3_SP0_c.t1	Np003G167670, Np002G107260, Np004G207890
OG0000002	CP4_g26489_DN1_SP0_c.t1	Np001G043410, Np002G102940, Np001G043030
OG0000002	CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1	Np008G427570
OG0000002	CP13_g20669_DN2_SP0_c.t1	Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560
OG0000002	CP3_g16153_DN2_SP0_c.t1	Np009G429290
OG0000003	CP72_g12646_DN1_SP0_c.t1	Np003G172810
OG0000004	CP2_g49699_DN2_SP0_c.t1	Np002G100200
OG0000004	CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1, CP15_g34707_DN2_SP0_c.t1, CP21_g10514_DN2_SP0_c.t1	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650
OG0000005	CP12_g31672_DN2_SP0_c.t1	Np003G166380
OG0000005	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1	Np004G202160, Np002G098860, Np007G395340
OG0000005	CP15_g34443_DN2_SP0_c.t1	Np001G027520
OG0000005	CP18_g12172_DN1_SP0_c.t1	Np006G352060, Np002G098830
OG0000005	CP9_g27577_DN3_SP0_c.t1	Np002G093480, Np002G088460
OG0000005	CP4_g26231_DN1_SP0_c.t1	Np001G012890, Np001G012870
OG0000005	CP9_g27889_DN1_SP0_c.t1	Np001G029170
OG0000005	CP4_g26940_DN2_SP0_c.t1	Np008G427710
OG0000005	CP27_g41816_DN1_SP0_c.t1	Np003G170890, Np003G170800
OG0000005	CP15_g35524_DN2_SP0_c.t1	Np003G175080, Np002G106360
OG0000006	CP8_g52162_DN2_SP0_c.t1	Np005G313160
OG0000007	CP18_g11997_DN3_SP0_c.t1	Np007G402900, Np001G003900
OG0000007	CP2_g50571_DN2_SP0_c.t1	Np005G307400
OG0000007	CP3_g14987_DN2_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1	Np003G129790, Np005G315800, Np003G152970
OG0000007	CP1_g40635_DN2_SP0_c.t1, CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1, CP7_g45049_DN1_SP0_c.t1	Np007G402890
OG0000007	CP23_g21424_DN1_SP0_c.t1, CP15_g35529_DN1_SP0_c.t1	Np003G126450
OG0000007	CP2_g50561_DN2_SP0_c.t1	Np004G201210, Np004G226300, Np002G092690, Np001G031480
OG0000007	CP1_g40811_DN1_SP0_c.t1	Np006G356870
OG0000008	CP14_g23480_DN3_SP0_c.t1	Np005G291850
OG0000008	CP7_g44274_DN3_SP0_c.t1	Np001G053530
OG0000010	CP24_g47323_DN2_SP0_c.t1	Np002G095240
OG0000012	CP35_g52033_DN3_SP0_c.t1	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280
OG0000013	CP17_g5825_DN2_SP0_c.t1	Np002G102610, Np001G031780, Np003G168300, Np003G170610, Np003G170420
OG0000013	CP26_g51269_DN2_SP0_c.t1	Np005G297160, Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160, Np004G228140
OG0000013	CP14_g22654_DN2_SP0_c.t1	Np002G102600, Np003G173130
OG0000014	CP12_g31536_DN1_SP0_c.t1	Np001G042570, Np002G073300
OG0000015	CP3_g15767_DN1_SP0_c.t1	Np005G274380
OG0000015	CP22_g17112_DN1_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP9_g27744_DN1_SP0_c.t1	Np007G402630
OG0000015	CP7_g44381_DN2_SP0_c.t1	Np007G409210, Np007G416110
OG0000015	CP12_g31767_DN3_SP0_c.t1	Np007G416100, Np001G036120
OG0000015	CP2_g50727_DN3_SP0_c.t1	Np001G029500
OG0000017	CP6_g9455_DN3_SP0_c.t1	Np005G282110, Np005G282180, Np007G396400
OG0000019	CP18_g11548_DN1_SP0_c.t1	Np001G027630
OG0000019	CP14_g23600_DN3_SP0_c.t1, CP9_g27502_DN3_SP0_c.t1, CP15_g35899_DN2_SP0_c.t1	Np001G027620
OG0000019	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1	Np004G239770
OG0000020	CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1	Np004G226740
OG0000020	CP18_g12572_DN2_SP0_c.t1	Np002G099760
OG0000020	CP1_g40427_DN2_SP0_c.t1	Np005G303330, Np004G208430
OG0000020	CP3_g16164_DN3_SP0_c.t1	Np004G226750
OG0000021	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1	Np005G303890
OG0000021	CP21_g11065_DN2_SP0_c.t1	Np004G199130
OG0000021	CP15_g36147_DN2_SP0_c.t1, CP3_g15821_DN1_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP1_g39884_DN1_SP0_c.t1, CP1_g38521_DN1_SP0_c.t1, CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1, CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1, CP5_g1512_DN1_SP0_c.t1, CP8_g52677_DN2_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1	Np004G199140
OG0000021	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	Np002G120150
OG0000021	CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1	Np002G109960, Np003G148260
OG0000024	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280
OG0000024	CP6_g8243_DN1_SP0_c.t1	Np002G092500
OG0000024	CP3_g16173_DN1_SP0_c.t1	Np002G100170, Np001G029650, Np002G091590, Np007G393480
OG0000024	CP12_g31107_DN1_SP0_c.t1	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770
OG0000026	CP3_g15520_DN1_SP0_c.t1, CP12_g31501_DN2_SP0_c.t1	Np002G101380, Np004G216210
OG0000027	CP2_g48829_DN3_SP0_c.t1	Np004G198060, Np004G198040
OG0000027	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	Np004G214870, Np005G271730, Np004G214850
OG0000027	CP3_g13494_DN2_SP0_c.t1	Np001G057950, Np001G057940
OG0000028	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	Np003G168060, Np003G175100, Np002G106380
OG0000028	CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1	Np006G356860
OG0000028	CP18_g12498_DN1_SP0_c.t1	Np002G105400, Np003G145220, Np003G175090
OG0000029	CP22_g17304_DN2_SP0_c.t1	Np001G054440, Np004G209620, Np002G086870, Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900, Np002G073630, Np002G090000, Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950, Np003G172500, Np002G113330, Np005G304980, Np001G058950, Np007G394270, Np003G168210, Np003G168320, Np002G095530
OG0000029	CP29_g22076_DN3_SP0_c.t1	Np003G172510
OG0000030	CP6_g9916_DN1_SP0_c.t1	Np003G173700
OG0000030	CP26_g51211_DN3_SP0_c.t1	Np002G096140, Np004G216100
OG0000033	CP16_g55465_DN3_SP1_c.t1	Np005G283820, Np005G284140, Np005G284150, Np005G284160
OG0000034	CP15_g35590_DN3_SP0_c.t1	Np006G350340, Np001G040280, Np002G102640, Np002G107950, Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530, Np006G341510, Np006G345750, Np009G431360, Np003G168290, Np001G007970
OG0000035	CP4_g25547_DN2_SP0_c.t1, CP9_g28258_DN1_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1, CP3_g14428_DN3_SP0_c.t1, CP4_g24241_DN1_SP0_c.t1	Np005G313520
OG0000036	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1	Np006G350450, Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000037	CP24_g47339_DN2_SP0_c.t1, CP3_g15633_DN2_SP0_c.t1	Np001G045190
OG0000038	CP7_g45289_DN3_SP0_c.t1	Np001G060270
OG0000038	CP8_g53633_DN2_SP0_c.t1	Np003G157800
OG0000038	CP7_g45140_DN3_SP0_c.t1	Np005G270740, Np005G270650, Np005G270700
OG0000040	CP10_g43326_DN2_SP0_c.t1, CP13_g19590_DN2_SP0_c.t1	Np004G224970, Np004G224940
OG0000041	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1	Np006G342650
OG0000041	CP1_g40152_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1	Np003G171490, Np002G100930
OG0000041	CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1	Np006G346660
OG0000041	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	CP5_g2115_DN2_SP0_c.t1	Np007G420820
OG0000042	CP19_g18411_DN2_SP0_c.t1	Np001G027800
OG0000042	CP13_g20255_DN1_SP0_c.t1	Np004G191660
OG0000044	CP1_g39285_DN1_SP0_c.t1	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	CP15_g34716_DN3_SP0_c.t1	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
