Orthogroup	Conringia_planisiliqua	Odontarrhena_muralis
OG0000000	CP1_g39844_DN3_SP0_c.t1	Om004G142780, Om003G104870, Om003G105610
OG0000000	CP3_g15530_DN1_SP0_c.t1	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450, Om004G154060, Om009G363570, Om004G177240, Om006G269410, Om003G112370, Om003G117250, Om003G105660, Om001G018930, Om008G339880, Om004G149120, Om001G020460, Om008G357940
OG0000002	CP1_g38933_DN1_SP0_c.t1	Om003G106310
OG0000002	CP3_g16175_DN3_SP0_c.t1, CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1, CP13_g20669_DN2_SP0_c.t1	Om007G309520, Om002G043270
OG0000003	CP3_g15228_DN2_SP0_c.t1	Om007G276690
OG0000003	CP12_g30974_DN2_SP0_c.t1	Om001G017050
OG0000004	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1	Om003G114900
OG0000004	CP2_g49699_DN2_SP0_c.t1	Om008G333050
OG0000004	CP36_g50963_DN2_SP0_c.t1	Om004G154430, Om006G235390
OG0000004	CP24_g47044_DN1_SP0_c.t1	Om007G313270
OG0000004	CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1, CP15_g34707_DN2_SP0_c.t1, CP21_g10514_DN2_SP0_c.t1	Om004G159780
OG0000005	CP12_g31672_DN2_SP0_c.t1	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900
OG0000005	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1	Om003G112550
OG0000005	CP15_g34443_DN2_SP0_c.t1	Om004G141520
OG0000005	CP4_g26835_DN2_SP0_c.t1, CP15_g34532_DN1_SP0_c.t1, CP3_g16492_DN1_SP0_c.t1	Om007G299590
OG0000005	CP9_g27891_DN2_SP0_c.t1	Om006G258880
OG0000005	CP4_g26233_DN2_SP0_c.t1	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510
OG0000005	CP18_g12172_DN1_SP0_c.t1	Om003G112530, Om008G348300
OG0000005	CP1_g38969_DN1_SP0_c.t1	Om008G358870
OG0000005	CP9_g27577_DN3_SP0_c.t1	Om003G121930, Om007G313790
