Orthogroup	Conringia_planisiliqua	Alyssum_gmelinii
OG0000000	CP3_g15530_DN1_SP0_c.t1	Ag002G167150
OG0000002	CP13_g20669_DN2_SP0_c.t1	Ag005G410720
OG0000003	CP1_g40746_DN3_SP0_c.t1, CP25_g56009_DN2_SP0_c.t1, CP12_g30974_DN2_SP0_c.t1	Ag003G271610
OG0000003	CP14_g22595_DN2_SP0_c.t1	Ag007G647490
OG0000004	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1	Ag002G133140
OG0000004	CP36_g50963_DN2_SP0_c.t1	Ag005G473260, Ag001G034430, Ag003G239450
OG0000004	CP6_g8147_DN1_SP0_c.t1, CP24_g47044_DN1_SP0_c.t1, CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1	Ag005G427550
OG0000005	CP12_g31672_DN2_SP0_c.t1	Ag005G434290
OG0000005	CP3_g16492_DN1_SP0_c.t1	Ag005G414560, Ag002G110220, Ag005G402610
OG0000005	CP4_g26233_DN2_SP0_c.t1	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760
OG0000005	CP15_g34531_DN3_SP0_c.t1	Ag005G402580, Ag007G622540
OG0000005	CP18_g12172_DN1_SP0_c.t1	Ag003G254650, Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920
OG0000005	CP27_g41816_DN1_SP0_c.t1	Ag004G390840, Ag004G351220, Ag006G508910
OG0000005	CP15_g35524_DN2_SP0_c.t1	Ag003G238120
OG0000005	CP6_g9755_DN1_SP0_c.t1	Ag001G040530
OG0000005	CP9_g27694_DN1_SP0_c.t1	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000005	CP4_g26138_DN1_SP0_c.t1	Ag005G488800
OG0000007	CP18_g11997_DN3_SP0_c.t1	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540
OG0000007	CP2_g50571_DN2_SP0_c.t1	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220
OG0000007	CP3_g14987_DN2_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1	Ag003G269320
OG0000007	CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1	Ag001G051310
OG0000007	CP3_g14603_DN1_SP0_c.t1, CP8_g52821_DN1_SP0_c.t1	Ag008G681210
OG0000007	CP2_g50561_DN2_SP0_c.t1	Ag006G520850, Ag003G220210
OG0000007	CP7_g44193_DN1_SP0_c.t1, CP18_g12259_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1	Ag001G006450, Ag006G516390
OG0000007	CP1_g40811_DN1_SP0_c.t1	Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	CP1_g40809_DN2_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1	Ag002G132800
OG0000008	CP7_g44274_DN3_SP0_c.t1	Ag001G015890
OG0000012	CP35_g52033_DN3_SP0_c.t1	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790
OG0000013	CP26_g51269_DN2_SP0_c.t1	Ag006G559810
OG0000013	CP14_g22654_DN2_SP0_c.t1	Ag004G396400, Ag004G380450
OG0000015	CP18_g12234_DN1_SP0_c.t1, CP7_g44210_DN2_SP0_c.t1, CP7_g44211_DN2_SP0_c.t1	Ag002G110750
OG0000015	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1	Ag008G676660
OG0000015	CP9_g28055_DN1_SP0_c.t1	Ag004G376340
OG0000015	CP12_g31767_DN3_SP0_c.t1	Ag008G675720
OG0000017	CP18_g12312_DN3_SP0_c.t1	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510
OG0000017	CP44_g20955_DN3_SP0_c.t1	Ag002G182860
OG0000019	CP14_g23710_DN2_SP0_c.t1	Ag003G276070
OG0000019	CP18_g11548_DN1_SP0_c.t1	Ag006G545360
OG0000019	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1	Ag007G642200, Ag006G545350
OG0000020	CP44_g20906_DN3_SP0_c.t1	Ag002G113970
OG0000020	CP18_g12572_DN2_SP0_c.t1, CP1_g40427_DN2_SP0_c.t1	Ag005G440730
OG0000020	CP15_g35839_DN1_SP0_c.t1	Ag006G521270
OG0000020	CP15_g34920_DN2_SP0_c.t1, CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1	Ag005G441960
OG0000021	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1	Ag008G685590
OG0000021	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1	Ag002G201670
OG0000024	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1	Ag005G441710, Ag004G351930, Ag005G445160, Ag002G157990, Ag002G117810, Ag003G279100
OG0000024	CP12_g31107_DN1_SP0_c.t1	Ag003G257540
OG0000028	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1, CP4_g26295_DN2_SP0_c.t1, CP5_g2126_DN1_SP0_c.t1, CP3_g14601_DN2_SP0_c.t1, CP25_g55834_DN2_SP0_c.t1, CP28_g34014_DN2_SP0_c.t1, CP17_g5929_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1, CP18_g12498_DN1_SP0_c.t1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	CP22_g17304_DN2_SP0_c.t1	Ag006G523440, Ag006G532500, Ag004G401820, Ag002G114660, Ag004G375950, Ag002G168100, Ag004G354120, Ag002G175390, Ag005G441680, Ag006G519730, Ag001G067390, Ag002G186330, Ag006G491400
OG0000029	CP29_g22076_DN3_SP0_c.t1	Ag003G258710
OG0000030	CP37_g11369_DN1_SP0_c.t1	Ag008G659630, Ag006G491030
OG0000030	CP26_g51212_DN3_SP0_c.t1	Ag002G201000, Ag003G292120
OG0000030	CP8_g52519_DN1_SP0_c.t1	Ag007G611240
OG0000030	CP8_g52167_DN3_SP0_c.t1	Ag008G713150
OG0000033	CP16_g55465_DN3_SP1_c.t1	Ag006G548990, Ag006G547250, Ag006G549400, Ag008G717210, Ag006G547380, Ag006G549570, Ag002G130680, Ag002G130760
OG0000034	CP1_g40470_DN3_SP0_c.t1	Ag007G621770
OG0000034	CP21_g11036_DN2_SP0_c.t1	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870, Ag007G644830, Ag007G637970, Ag004G364410, Ag001G055210
OG0000034	CP15_g35590_DN3_SP0_c.t1	Ag005G424470, Ag007G610710, Ag002G120190, Ag004G354480, Ag008G692130, Ag002G161700, Ag005G442050, Ag005G441910, Ag005G425070, Ag006G549200, Ag003G254420, Ag008G687810, Ag006G548030, Ag002G114610, Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310, Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930, Ag002G118220
OG0000035	CP13_g20135_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP4_g25641_DN3_SP0_c.t1	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040
OG0000035	CP9_g29505_DN2_SP0_c.t1	Ag007G590010
OG0000035	CP4_g25547_DN2_SP0_c.t1, CP9_g28258_DN1_SP0_c.t1	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000037	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1	Ag001G053350
OG0000037	CP15_g35754_DN1_SP0_c.t1, CP6_g8155_DN1_SP0_c.t1	Ag002G136000
OG0000038	CP7_g45289_DN3_SP0_c.t1	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	CP3_g13999_DN3_SP0_c.t1	Ag001G056400
OG0000038	CP7_g45140_DN3_SP0_c.t1	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	CP10_g43043_DN3_SP0_c.t1	Ag005G471060
OG0000038	CP10_g43041_DN3_SP0_c.t1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000040	CP11_g31940_DN3_SP0_c.t1	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	CP10_g43326_DN2_SP0_c.t1	Ag005G483190
OG0000040	CP10_g43630_DN1_SP0_c.t1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000041	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1	Ag003G296430, Ag003G296390, Ag008G683020
OG0000041	CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1	Ag003G251790
OG0000041	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960
OG0000042	CP13_g20255_DN1_SP0_c.t1	Ag005G442270
OG0000044	CP15_g34716_DN3_SP0_c.t1	Ag006G512870
OG0000045	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	CP26_g51323_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP6_g7550_DN1_SP0_c.t1	Ag002G197550, Ag008G703200
OG0000046	CP9_g28234_DN3_SP0_c.t1	Ag002G129690, Ag002G129740
OG0000048	CP10_g42381_DN3_SP0_c.t1	Ag005G486620, Ag005G486520
OG0000049	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1	Ag003G236810
OG0000050	CP18_g11588_DN2_SP0_c.t1, CP1_g38352_DN3_SP0_c.t1, CP18_g12167_DN3_SP0_c.t1	Ag007G641850
OG0000050	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630
OG0000050	CP7_g44165_DN3_SP0_c.t1	Ag006G569990, Ag006G561100, Ag007G641840
OG0000052	CP4_g24481_DN3_SP0_c.t1	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	Ag002G194410, Ag002G194400, Ag002G194390
OG0000053	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1	Ag003G279130
OG0000054	CP5_g2131_DN3_SP0_c.t1	Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080
OG0000055	CP2_g49031_DN3_SP0_c.t1	Ag004G334400, Ag004G379910
OG0000055	CP11_g31796_DN3_SP0_c.t1	Ag004G377140
OG0000055	CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	CP2_g49697_DN3_SP0_c.t1	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	CP12_g31151_DN1_SP0_c.t1, CP14_g23418_DN2_SP0_c.t1	Ag001G076880
OG0000056	CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1	Ag002G181330
OG0000056	CP5_g1872_DN1_SP0_c.t1, CP14_g22894_DN3_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP10_g43900_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1, CP3_g16600_DN2_SP0_c.t1, CP6_g8612_DN2_SP0_c.t1, CP14_g22893_DN2_SP0_c.t1, CP35_g52086_DN1_SP0_c.t1, CP24_g47158_DN2_SP0_c.t1, CP76_g27141_DN3_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP23_g21606_DN1_SP0_c.t1, CP6_g9003_DN1_SP0_c.t1	Ag002G121000, Ag006G542770
OG0000057	CP12_g30730_DN2_SP0_c.t1	Ag003G289060
OG0000058	CP4_g26939_DN1_SP0_c.t1	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110, Ag004G388900
OG0000058	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1	Ag006G516660
OG0000059	CP1_g39495_DN2_SP0_c.t1	Ag006G543980
OG0000059	CP50_g6564_DN3_SP0_c.t1	Ag004G391520
OG0000059	CP12_g31525_DN1_SP0_c.t1	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	CP15_g36037_DN2_SP0_c.t1	Ag002G103440, Ag002G122810
