Orthogroup	Conringia_planisiliqua	Cardamine_hirsuta
OG0000004	CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1	CARHR214930
OG0000005	CP29_g21990_DN1_SP0_c.t1	CARHR077050
OG0000005	CP18_g12171_DN2_SP0_c.t1	CARHR059740
OG0000005	CP15_g34531_DN3_SP0_c.t1	CARHR248000
OG0000006	CP8_g52162_DN2_SP0_c.t1	CARHR111840, CARHR180780, CARHR055190, CARHR182530, CARHR258710, CARHR182520, CARHR057560
OG0000007	CP18_g11997_DN3_SP0_c.t1	CARHR034550
OG0000007	CP18_g12262_DN2_SP0_c.t1	CARHR166210, CARHR219900, CARHR219240
OG0000008	CP5_g2806_DN2_SP0_c.t1	CARHR114970, CARHR117380, CARHR149870
OG0000008	CP64_g21088_DN3_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1	CARHR217630
OG0000008	CP27_g41699_DN2_SP0_c.t1	CARHR159360
OG0000008	CP7_g44274_DN3_SP0_c.t1	CARHR217880, CARHR291920, CARHR221030
OG0000013	CP26_g51269_DN2_SP0_c.t1	CARHR218430, CARHR058120, CARHR259710, CARHR057870, CARHR288340
OG0000013	CP3_g15651_DN3_SP0_c.t1	CARHR183500, CARHR181670
OG0000015	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1	CARHR258200
OG0000015	CP5_g3123_DN1_SP0_c.t1, CP7_g44357_DN2_SP0_c.t1, CP17_g6289_DN1_SP0_c.t1, CP18_g12598_DN2_SP0_c.t1, CP15_g34907_DN2_SP0_c.t1, CP5_g3124_DN2_SP0_c.t1, CP15_g34879_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1	CARHR110600
OG0000017	CP6_g9455_DN3_SP0_c.t1	CARHR049310, CARHR034150
OG0000019	CP14_g23601_DN2_SP0_c.t1, CP9_g27503_DN1_SP0_c.t1, CP50_g6571_DN2_SP0_c.t1, CP14_g23710_DN2_SP0_c.t1, CP47_g21270_DN3_SP0_c.t1	CARHR218510
OG0000019	CP18_g11548_DN1_SP0_c.t1	CARHR259400
OG0000020	CP18_g12572_DN2_SP0_c.t1	CARHR159350
OG0000020	CP1_g40427_DN2_SP0_c.t1	CARHR287070
OG0000020	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1	CARHR159330, CARHR114460, CARHR266440, CARHR182600, CARHR106310, CARHR116050
OG0000020	CP14_g23530_DN1_SP0_c.t1	CARHR217640, CARHR108030
OG0000020	CP15_g35839_DN1_SP0_c.t1	CARHR266450, CARHR035020, CARHR108040, CARHR158140
OG0000020	CP3_g16164_DN3_SP0_c.t1	CARHR287680, CARHR287700
OG0000025	CP10_g43844_DN3_SP0_c.t1	CARHR203520, CARHR028780
OG0000026	CP3_g15520_DN1_SP0_c.t1	CARHR215490
OG0000027	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	CARHR045190, CARHR030410, CARHR030440, CARHR030470
