Orthogroup	Conringia_planisiliqua	Arabidopsis_lyrata_Rawat
OG0000000	CP3_g15530_DN1_SP0_c.t1	AL1G65200
OG0000002	CP13_g20669_DN2_SP0_c.t1	AL1G57360, AL3G37080
OG0000003	CP3_g15228_DN2_SP0_c.t1	AL97U10030, AL8G11290
OG0000004	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1	AL3G48680
OG0000004	CP15_g35744_DN2_SP0_c.t1	AL5G22440, AL6G44150
OG0000004	CP2_g49699_DN2_SP0_c.t1	AL8G17990, AL4G17570
OG0000004	CP24_g47044_DN1_SP0_c.t1	AL5G15620, AL1G31370
OG0000004	CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1	AL3G28120, AL3G23500, AL7G39870, AL47U10020, AL3G43540, AL3G50410
OG0000005	CP12_g31672_DN2_SP0_c.t1	AL2G39630
OG0000005	CP3_g16492_DN1_SP0_c.t1	AL8G14160, AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570
OG0000005	CP9_g27891_DN2_SP0_c.t1	AL2G12600
OG0000005	CP4_g26834_DN1_SP0_c.t1	AL4G10690
OG0000005	CP15_g34531_DN3_SP0_c.t1	AL4G10500, AL6G49130
OG0000005	CP4_g26231_DN1_SP0_c.t1	AL7G37950
OG0000006	CP8_g52162_DN2_SP0_c.t1	AL8G17620, AL8G24640, AL9U10810
OG0000007	CP8_g52615_DN2_SP0_c.t1	AL1G43930
OG0000007	CP6_g8175_DN3_SP0_c.t1	AL1G50800, AL8G39270, AL5G23220, AL8G18100, AL2G19540, AL3G39580
OG0000007	CP2_g50561_DN2_SP0_c.t1	AL6G33910, AL4G36510
OG0000007	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1	AL2G19310
OG0000007	CP7_g44193_DN1_SP0_c.t1, CP18_g12259_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1	AL1G62960
OG0000007	CP3_g14602_DN2_SP0_c.t1	AL4G43860
OG0000007	CP27_g41817_DN2_SP0_c.t1	AL2G12570
OG0000007	CP3_g15795_DN1_SP0_c.t1	AL5G26440, AL3G26530, AL1G56620, AL8G11050, AL8G15150, AL7G49620, AL4G12690, AL8G16910
OG0000007	CP2_g49678_DN3_SP0_c.t1	AL7G35240, AL7G44950
OG0000007	CP17_g5534_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1	AL4G39790
OG0000007	CP28_g33903_DN1_SP0_c.t1	AL7G44730
OG0000010	CP24_g47323_DN2_SP0_c.t1, CP17_g5733_DN1_SP0_c.t1	AL8G19810
OG0000012	CP35_g52033_DN3_SP0_c.t1	AL5G18610, AL1G66070
OG0000013	CP26_g51269_DN2_SP0_c.t1	AL3G45620, AL6G41250
OG0000015	CP12_g31767_DN3_SP0_c.t1	AL25U10010, AL6G22310, AL7G26200
OG0000015	CP44_g20942_DN1_SP0_c.t1	AL6G27260, AL1G29330
OG0000017	CP50_g6576_DN2_SP0_c.t1	AL7G11240, AL7G16690, AL4G42290
OG0000017	CP18_g12312_DN3_SP0_c.t1, CP44_g20955_DN3_SP0_c.t1	AL189U10020
OG0000018	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	AL6G42400
OG0000020	CP15_g35839_DN1_SP0_c.t1, CP5_g2289_DN2_SP0_c.t1, CP3_g16164_DN3_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1, CP15_g34920_DN2_SP0_c.t1, CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1	AL4G17980
OG0000021	CP6_g7966_DN2_SP0_c.t1	AL8G10060
OG0000021	CP3_g15821_DN1_SP0_c.t1	AL5G16490, AL5G19200
OG0000021	CP12_g31265_DN3_SP0_c.t1	AL363U10020
OG0000021	CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1	AL3G42620
OG0000021	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	AL5G10040, AL5G25470
OG0000021	CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1	AL96U10010
OG0000024	CP6_g9610_DN1_SP0_c.t1	AL4G17790, AL4G17810
OG0000024	CP6_g9314_DN1_SP0_c.t1, CP22_g17429_DN2_SP0_c.t1	AL128U10010
OG0000027	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	AL1G46280, AL1G45210
OG0000027	CP3_g13494_DN2_SP0_c.t1	AL5G23680, AL5G39160, AL5G38280, AL5G39170
OG0000028	CP15_g35522_DN1_SP0_c.t1, CP6_g8506_DN2_SP0_c.t1	AL5G20350
OG0000028	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	AL3G41570
OG0000028	CP17_g5930_DN1_SP0_c.t1	nbis-gene-1243
OG0000029	CP22_g17304_DN2_SP0_c.t1	AL26U10050, AL3G41030, AL6G10700, AL7G44460, AL4G17400
OG0000030	CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1, CP27_g41663_DN1_SP0_c.t1, CP9_g27573_DN3_SP0_c.t1, CP37_g11369_DN1_SP0_c.t1	AL1G54660
OG0000030	CP26_g51212_DN3_SP0_c.t1	AL172U10010, AL4G17860
OG0000033	CP16_g55465_DN3_SP1_c.t1	AL7G30350, AL7G30310, AL5G24540, AL6G48800
OG0000034	CP15_g35590_DN3_SP0_c.t1	AL5G21550, AL8G19760, AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890, AL5G17770
OG0000035	CP9_g29505_DN2_SP0_c.t1	AL2G14000, AL2G14020
OG0000035	CP4_g25547_DN2_SP0_c.t1	AL4G27390
OG0000035	CP9_g28258_DN1_SP0_c.t1	AL4G27770
OG0000035	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	AL1G62520
OG0000036	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1	AL4G17610, AL6G45120, AL1G60100, AL3G30200
OG0000036	CP17_g5406_DN1_SP0_c.t1	AL2G27390
OG0000037	CP3_g15633_DN2_SP0_c.t1	AL5G11300, AL4G20550
OG0000037	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1	AL3G27890
OG0000038	CP3_g13999_DN3_SP0_c.t1	nbis-gene-1360
OG0000038	CP8_g53633_DN2_SP0_c.t1	AL8G26900
OG0000038	CP7_g45140_DN3_SP0_c.t1	AL1G14840
OG0000038	CP10_g43041_DN3_SP0_c.t1	AL3G22250, AL3G22230
OG0000040	CP11_g31940_DN3_SP0_c.t1	AL3G27510
OG0000040	CP10_g43630_DN1_SP0_c.t1	AL5G29320, AL5G29310, AL5G29340
OG0000041	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1	AL7G44740
OG0000042	CP5_g2115_DN2_SP0_c.t1	AL8G11480
OG0000042	CP13_g20255_DN1_SP0_c.t1	AL364U10020, AL6G48140
OG0000044	CP1_g39285_DN1_SP0_c.t1	AL6G40760, AL3G44690, AL4G20190
OG0000044	CP15_g34716_DN3_SP0_c.t1	AL5G16920, AL7G43910, AL3G42580
OG0000045	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1	AL2G19770
OG0000045	CP2_g49348_DN2_SP0_c.t1	AL6G36560
OG0000045	CP1_g38484_DN3_SP0_c.t1	AL5G21210
OG0000045	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1	AL3G43240
