Orthogroup	Conringia_planisiliqua	Eutrema_salsugineum
OG0000002	CP3_g16174_DN2_SP0_c.t1	XP_024010270.1
OG0000002	CP13_g20493_DN3_SP0_c.t1	XP_024004011.1
OG0000002	CP25_g55807_DN3_SP0_c.t1, CP1_g39210_DN2_SP0_c.t1, CP42_g27257_DN3_SP0_c.t1, CP4_g26489_DN1_SP0_c.t1	XP_024013349.1, XP_024007240.1
OG0000002	CP9_g27522_DN2_SP0_c.t1	XP_024006459.1
OG0000003	CP72_g12646_DN1_SP0_c.t1	XP_024010454.1, XP_024010649.1, XP_024013240.1
OG0000004	CP2_g49699_DN2_SP0_c.t1	XP_024014707.1
OG0000004	CP36_g50963_DN2_SP0_c.t1	XP_024006398.1
OG0000004	CP6_g8147_DN1_SP0_c.t1, CP24_g47044_DN1_SP0_c.t1, CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1	XP_024014264.1
OG0000004	CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1, CP15_g34707_DN2_SP0_c.t1	XP_024014000.1, XP_024010207.1, XP_024004991.1, XP_024013215.1, XP_024004047.1, XP_024008096.1, XP_024016872.1
OG0000004	CP21_g10514_DN2_SP0_c.t1	XP_024008027.1
OG0000005	CP8_g52568_DN1_SP0_c.t1	XP_024015832.1, XP_024014738.1, XP_024010667.1, XP_024006416.1
OG0000005	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1	XP_024010394.1
OG0000005	CP4_g26233_DN2_SP0_c.t1	XP_024004860.1, XP_024006562.1
OG0000005	CP5_g3355_DN3_SP0_c.t1	XP_006404467.1
OG0000005	CP15_g34531_DN3_SP0_c.t1	XP_024004939.1
OG0000005	CP4_g26231_DN1_SP0_c.t1	XP_024016213.1
OG0000005	CP4_g26940_DN2_SP0_c.t1	XP_024014912.1
OG0000005	CP6_g9755_DN1_SP0_c.t1	XP_024004039.1
OG0000005	CP4_g26138_DN1_SP0_c.t1	XP_024006395.1
OG0000006	CP8_g52162_DN2_SP0_c.t1	XP_024011309.1, XP_024009204.1, XP_024014376.1, XP_024007289.1, XP_024006867.1
OG0000007	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1	XP_024004899.1
OG0000007	CP27_g41817_DN2_SP0_c.t1	XP_024011347.1
OG0000007	CP3_g15795_DN1_SP0_c.t1	XP_024009288.1
OG0000008	CP5_g2806_DN2_SP0_c.t1	XP_024011354.1, XP_024004796.1, XP_024014490.1, XP_024015964.1
OG0000008	CP64_g21088_DN3_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1	XP_024004048.1
OG0000008	CP7_g44274_DN3_SP0_c.t1	XP_024013173.1
OG0000010	CP24_g47323_DN2_SP0_c.t1	XP_024015955.1
OG0000010	CP17_g5733_DN1_SP0_c.t1	XP_024011402.1, XP_024006535.1
OG0000012	CP35_g52033_DN3_SP0_c.t1	XP_024016167.1
OG0000013	CP26_g51269_DN2_SP0_c.t1	XP_024013108.1, XP_024013090.1, XP_024010313.1
OG0000013	CP14_g22654_DN2_SP0_c.t1	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
OG0000015	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1	XP_024006904.1
OG0000015	CP31_g46711_DN2_SP0_c.t1	XP_024007917.1
OG0000015	CP12_g31767_DN3_SP0_c.t1	XP_024014590.1
OG0000015	CP2_g50727_DN3_SP0_c.t1	XP_024006143.1
OG0000017	CP27_g41901_DN3_SP0_c.t1	XP_024010440.1, XP_024007902.1, XP_024013981.1, XP_024010205.1, XP_024014746.1
OG0000017	CP3_g16638_DN2_SP0_c.t1, CP28_g33976_DN2_SP0_c.t1	XP_024016132.1
OG0000019	CP14_g23601_DN2_SP0_c.t1, CP9_g27503_DN1_SP0_c.t1, CP50_g6571_DN2_SP0_c.t1, CP14_g23710_DN2_SP0_c.t1, CP47_g21270_DN3_SP0_c.t1	XP_024003642.1
OG0000019	CP18_g11548_DN1_SP0_c.t1	XP_024016548.1, XP_024004876.1, XP_024003759.1
OG0000019	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1	XP_024016750.1
OG0000020	CP56_g20986_DN2_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1, CP14_g23530_DN1_SP0_c.t1	XP_024005014.1
OG0000020	CP15_g35839_DN1_SP0_c.t1, CP5_g2289_DN2_SP0_c.t1, CP3_g16164_DN3_SP0_c.t1	XP_024007954.1
OG0000020	CP5_g3358_DN2_SP0_c.t1, CP15_g34920_DN2_SP0_c.t1, CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1	XP_024004841.1
OG0000021	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1	XP_024015179.1
OG0000021	CP6_g7966_DN2_SP0_c.t1	XP_024004423.1
OG0000021	CP21_g11065_DN2_SP0_c.t1	XP_024004985.1
OG0000021	CP3_g15821_DN1_SP0_c.t1	XP_024009427.1
OG0000021	CP12_g31265_DN3_SP0_c.t1, CP1_g39884_DN1_SP0_c.t1, CP1_g38521_DN1_SP0_c.t1, CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1, CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1	XP_024006452.1
OG0000021	CP5_g1517_DN2_SP0_c.t1	XP_024010290.1
OG0000021	CP2_g50567_DN2_SP0_c.t1	XP_024004813.1, XP_024004020.1
OG0000024	CP6_g9610_DN1_SP0_c.t1	XP_024010271.1
OG0000024	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1	XP_024007273.1, XP_024009463.1, XP_024016266.1, XP_024013219.1, XP_024015890.1, XP_024015948.1, XP_024009340.1, XP_024009360.1, XP_024016194.1, XP_024010576.1, XP_024016381.1, XP_024014024.1, XP_024007317.1, XP_024007285.1, XP_024006550.1, XP_024006645.1, XP_024013191.1, XP_024009296.1, XP_024010607.1, XP_024010395.1, XP_024010031.1, XP_024014629.1, XP_024013325.1, XP_024009252.1, XP_024005030.1, XP_024010538.1, XP_024013236.1, XP_024009358.1, XP_024006512.1, XP_024010470.1, XP_024015875.1, XP_024007256.1, XP_024014509.1, XP_024014381.1, XP_024013956.1, XP_024015961.1, XP_024014533.1, XP_024010352.1, XP_024014232.1, XP_024016364.1, XP_024013986.1, XP_024016315.1, XP_024010240.1, XP_024015868.1, XP_024009903.1, XP_024009316.1, XP_024013380.1, XP_024010351.1, XP_024014578.1, XP_024004921.1, XP_024004997.1, XP_024016561.1, XP_024015840.1, XP_024015053.1, XP_024011325.1, XP_024010433.1, XP_024010388.1, XP_024007293.1, XP_024004023.1, XP_024010308.1, XP_024014886.1, XP_024013048.1, XP_024014471.1, XP_024014504.1, XP_024013395.1, XP_024005028.1, XP_024007270.1, XP_024014523.1, XP_024009257.1, XP_024015873.1, XP_024006660.1, XP_024016277.1, XP_024015857.1, XP_024013208.1, XP_024009483.1, XP_024004978.1, XP_024009413.1, XP_024010416.1, XP_024006477.1, XP_024004833.1, XP_024013110.1, XP_024014290.1, XP_024011257.1, XP_024015161.1, XP_024010460.1, XP_024010296.1, XP_024015036.1, XP_024013216.1, XP_024010356.1, XP_024010434.1, XP_024016114.1, XP_024010345.1, XP_024014548.1, XP_024004944.1
OG0000026	CP3_g15520_DN1_SP0_c.t1	XP_024014744.1
OG0000027	CP2_g48829_DN3_SP0_c.t1	XP_006393240.1, XP_006393242.1, XP_006393293.1, XP_006393290.1, XP_006393291.1, XP_006393292.2, XP_006393224.2
OG0000027	CP7_g44485_DN2_SP0_c.t1	XP_024007920.1, XP_006415205.2, XP_006415203.1, XP_024009297.1, XP_006415204.1, XP_024010028.1, XP_024007955.1, XP_006415371.1
OG0000027	CP3_g13494_DN2_SP0_c.t1	XP_006402766.1
OG0000028	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	XP_024006637.1, XP_024004809.1, XP_024013054.1, XP_024013055.1, XP_024009554.1, XP_024004858.1, XP_024016120.1
OG0000028	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	XP_024009126.1
OG0000028	CP5_g2126_DN1_SP0_c.t1	XP_024004045.1
OG0000028	CP17_g5929_DN1_SP0_c.t1	XP_024013922.1
OG0000028	CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1	XP_024013800.1, XP_024012069.1
