Orthogroup	Cardamine_glauca	Cardamine_hirsuta
OG0000005	Cg007G268560	CARHR017910
OG0000005	Cg008G308830	CARHR114650
OG0000005	Cg005G185830	CARHR248000
OG0000006	Cg006G206830	CARHR216050, CARHR096020, CARHR060330, CARHR271640, CARHR058320, CARHR060230, CARHR133710, CARHR054400, CARHR257440, CARHR221610, CARHR100290, CARHR029260, CARHR051850, CARHR156010
OG0000006	Cg008G316770	CARHR152010
OG0000006	Cg004G148130	CARHR214540
OG0000007	Cg003G103180	CARHR034550
OG0000008	Cg002G071170	CARHR111800, CARHR114980
OG0000008	Cg007G263310	CARHR103540
OG0000008	Cg007G263320	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770
OG0000008	Cg002G060890	CARHR161340, CARHR161350
OG0000008	Cg002G055170	CARHR161300, CARHR161310, CARHR161290
OG0000013	Cg002G065810	CARHR183500, CARHR181670
OG0000018	Cg003G095700	CARHR146600
OG0000019	Cg008G308170	CARHR218510
OG0000019	Cg008G317890	CARHR259400
OG0000020	Cg001G036750	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870
OG0000023	Cg001G017560	CARHR057450
OG0000023	Cg001G017610, Cg001G017600	CARHR230500
OG0000023	Cg003G082330	CARHR255050
OG0000023	Cg003G082320	CARHR255040
OG0000023	Cg001G017770	CARHR254960, CARHR254930
OG0000023	Cg001G017650	CARHR230410
OG0000023	Cg003G082240	CARHR254870
OG0000023	Cg001G017750	CARHR230390, CARHR230400
OG0000023	Cg001G017690	CARHR230300
OG0000023	Cg001G017670	CARHR230340
OG0000025	Cg003G106740	CARHR100780
OG0000025	Cg001G005300	CARHR244240, CARHR242060
OG0000025	Cg003G102540	CARHR203520, CARHR028780
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	CARHR174240
OG0000027	Cg006G213920	CARHR031540
OG0000027	Cg001G041530	CARHR213730
OG0000027	Cg007G250820	CARHR112760
OG0000027	Cg002G070600	CARHR045190, CARHR030410, CARHR030440, CARHR030470
OG0000027	Cg006G215350, Cg006G215360	CARHR062310
OG0000027	Cg002G048720	CARHR168020
OG0000029	Cg007G253930	CARHR176810, CARHR154270
OG0000029	Cg002G070490	CARHR006310
OG0000029	Cg005G177640	CARHR036950
OG0000029	Cg006G212710	CARHR213600
OG0000030	Cg005G188990	CARHR116060
OG0000031	Cg007G247460	CARHR048770, CARHR051020
OG0000031	Cg007G254230	CARHR048820
OG0000031	Cg007G247230, Cg007G246930	CARHR048440, CARHR047970
OG0000031	Cg007G247710	CARHR049170
OG0000031	Cg001G042060	CARHR213210
OG0000031	Cg004G133170	CARHR091960
OG0000031	Cg007G245660	CARHR046360
OG0000033	Cg001G017700	CARHR230290
OG0000033	Cg001G017780	CARHR230320, CARHR230240, CARHR055320
OG0000033	Cg001G019620	CARHR228010, CARHR228050, CARHR228080, CARHR228070, CARHR228060
OG0000033	Cg001G019630	CARHR289950
OG0000033	Cg001G017790	CARHR230200
OG0000033	Cg003G079950, Cg003G094060	CARHR252350
OG0000038	Cg005G159520	CARHR141500
OG0000038	Cg002G057430	CARHR158480, CARHR158470, CARHR158440
OG0000038	Cg003G103850	CARHR265450
OG0000038	Cg008G320560	CARHR178840
OG0000040	Cg006G217350	CARHR025790, CARHR162370
OG0000040	Cg001G030090	CARHR260760, CARHR260790
OG0000040	Cg002G057370	CARHR158530
OG0000044	Cg001G029670	CARHR159290, CARHR150320
OG0000044	Cg003G096230	CARHR057390, CARHR183570, CARHR116100, CARHR107370
OG0000046	Cg003G097180	CARHR257300
OG0000046	Cg001G038950	CARHR263450
OG0000046	Cg001G022610	CARHR225000, CARHR225010
OG0000046	Cg007G266760	CARHR059270
OG0000046	Cg007G266640	CARHR059130
OG0000048	Cg004G119540	CARHR077930
OG0000048	Cg004G119550	CARHR077940
OG0000048	Cg008G298370	CARHR195020
OG0000048	Cg008G298400, Cg008G298350	CARHR195030, CARHR195060, CARHR194990
OG0000052	Cg006G242960	CARHR002800
OG0000052	Cg005G163550	CARHR137510
OG0000052	Cg005G173390, Cg013G330370	CARHR127280
OG0000052	Cg005G163540	CARHR137550
OG0000052	Cg003G083820	CARHR256260
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	CARHR152130, CARHR102470, CARHR286550
OG0000053	Cg003G084420	CARHR104020
OG0000054	Cg005G189800, Cg005G189790	CARHR056490
OG0000055	Cg007G248480	CARHR050220
OG0000055	Cg002G060080	CARHR155600
OG0000055	Cg007G248390, Cg007G248550	CARHR050320
OG0000055	Cg007G248380	CARHR049990, CARHR050000
OG0000055	Cg007G248360	CARHR049970
OG0000055	Cg007G248570, Cg007G248420, Cg007G248560	CARHR050330
OG0000055	Cg007G248400	CARHR050310
OG0000055	Cg006G223020	CARHR050060
OG0000055	Cg007G248540	CARHR049980, CARHR050290
OG0000055	Cg007G248530	CARHR050280
OG0000056	Cg001G036070	CARHR260200, CARHR119870
OG0000057	Cg004G133200	CARHR092000
OG0000057	Cg004G133930	CARHR092560, CARHR092720
OG0000057	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330	CARHR096180, CARHR096160
OG0000057	Cg004G139250	CARHR098050
OG0000058	Cg007G261210	CARHR154060
OG0000058	Cg006G215030, Cg003G077990	CARHR153550
OG0000061	Cg007G263690, Cg007G267630	CARHR258030
OG0000062	Cg007G260660, Cg005G180090	CARHR100910
OG0000063	Cg002G052800	CARHR273260
OG0000063	Cg003G107650, Cg003G107350	CARHR121870
OG0000064	Cg001G000750	CARHR247830
OG0000064	Cg005G172820	CARHR127180, CARHR260300
OG0000064	Cg008G322800	CARHR176370
OG0000065	Cg001G020190	CARHR184170
OG0000066	Cg007G276160	CARHR069000, CARHR096450, CARHR058350
OG0000066	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880	CARHR068990
OG0000066	Cg001G001890	CARHR202310
OG0000066	Cg008G290840	CARHR202910
OG0000066	Cg008G290850, Cg003G113360	CARHR279310
OG0000067	Cg008G283270, Cg008G283380, Cg002G045260	CARHR210960
OG0000067	Cg008G283860	CARHR210190
OG0000067	Cg007G270520	CARHR064230
OG0000071	Cg008G307480	CARHR055550
OG0000073	Cg004G150010, Cg008G302430	CARHR116330
OG0000073	Cg008G315120	CARHR175090, CARHR175840, CARHR175230
OG0000074	Cg006G222210	CARHR024070
OG0000074	Cg006G222160	CARHR024100
OG0000074	Cg006G222230	CARHR024030
OG0000074	Cg006G222200	CARHR024020
OG0000074	Cg006G222220	CARHR024000
