Orthogroup	Cardamine_glauca	Cardamine_amara
OG0000000	Cg008G288880	evm.model.RL_4.710
OG0000000	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120	evm.model.RL_2.714
OG0000000	Cg002G062380, Cg002G069090, Cg005G186670	evm.model.RL_3.245
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512
OG0000000	Cg014G332090	evm.model.RL_7.1901, evm.model.RL_2.681
OG0000003	Cg006G209840	evm.model.RL_5.2420, evm.model.RL_2.1084
OG0000003	Cg001G032840	evm.model.RL_1.3305
OG0000003	Cg005G163140	evm.model.RL_6.1194
OG0000003	Cg005G184670	evm.model.RL_2.709
OG0000003	Cg004G144140	evm.model.RL_6.671, evm.model.RL_8.1012
OG0000003	Cg001G032830	evm.model.RL_2.708
OG0000003	Cg005G182650	evm.model.RL_1.2633
OG0000004	Cg001G033800, Cg004G154080	evm.model.RL_2.303
OG0000005	Cg007G268560	evm.model.RL_4.402
OG0000005	Cg007G253430	evm.model.RL_8.2917
OG0000005	Cg008G295320, Cg005G188150	evm.model.RL_1.3117
OG0000005	Cg003G087270	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000005	Cg006G213190	evm.model.RL_2.1096
OG0000006	Cg006G203530	evm.model.RL_4.553
OG0000006	Cg001G010040	evm.model.RL_5.578
OG0000007	Cg003G084380	evm.model.RL_2.508
OG0000007	Cg002G061850	evm.model.RL_1.2700, evm.model.RL_2.507, evm.model.RL_2.539
OG0000007	Cg003G086130	evm.model.RL_4.2369
OG0000008	Cg002G060890	evm.model.RL_7.1211
OG0000010	Cg006G205490	evm.model.RL_1.2848, evm.model.RL_7.2062, evm.model.RL_2.395
OG0000011	Cg005G184960	evm.model.RL_6.446
OG0000012	Cg003G089470, Cg006G226210	evm.model.RL_4.165
OG0000012	Cg003G096300	evm.model.RL_2.748
OG0000013	Cg007G257070	evm.model.RL_2.759, evm.model.RL_7.1969
OG0000013	Cg005G184830	evm.model.RL_3.1358
OG0000014	Cg007G281140	evm.model.RL_3.2282
OG0000014	Cg007G266660	evm.model.RL_3.2283
OG0000017	Cg004G142150	evm.model.RL_7.1888
OG0000019	Cg008G317890	evm.model.RL_7.2531
OG0000019	Cg004G134340	evm.model.RL_1.2654
OG0000020	Cg001G036750	evm.model.RL_8.674
OG0000021	Cg006G208570	evm.model.RL_7.92, evm.model.RL_2.444, evm.model.RL_5.2428, evm.model.RL_6.438
OG0000021	Cg007G248010	evm.model.RL_1.1304
OG0000021	Cg005G184870, Cg004G145270	evm.model.RL_7.2168, evm.model.RL_8.1544, evm.model.RL_6.430
OG0000021	Cg002G074750	evm.model.RL_3.586
OG0000021	Cg001G028510	evm.model.RL_1.1352, evm.model.RL_3.1079
OG0000021	Cg006G215630	evm.model.RL_1.2419
OG0000021	Cg003G080250	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	Cg001G017560	evm.model.RL_2.1848
OG0000023	Cg001G017610, Cg001G017600	evm.model.RL_2.1842
