Orthogroup	Cardamine_glauca	Conringia_planisiliqua
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020, Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390, Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	CP3_g15530_DN1_SP0_c.t1
OG0000003	Cg006G209840	CP3_g15228_DN2_SP0_c.t1
OG0000003	Cg004G144140, Cg001G032830	CP72_g12646_DN1_SP0_c.t1
OG0000004	Cg001G033800	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1
OG0000004	Cg004G154080	CP2_g49699_DN2_SP0_c.t1
OG0000004	Cg005G167340	CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1
OG0000005	Cg003G086520	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1
OG0000005	Cg001G022240	CP9_g27891_DN2_SP0_c.t1
OG0000005	Cg005G188160	CP4_g26834_DN1_SP0_c.t1
OG0000005	Cg005G185830	CP15_g34531_DN3_SP0_c.t1, CP3_g15929_DN2_SP0_c.t1
OG0000005	Cg008G295320, Cg005G188150	CP18_g12172_DN1_SP0_c.t1
OG0000005	Cg003G087270	CP4_g26231_DN1_SP0_c.t1
OG0000005	Cg006G213190	CP27_g41816_DN1_SP0_c.t1, CP15_g35524_DN2_SP0_c.t1, CP6_g9755_DN1_SP0_c.t1, CP2_g49698_DN1_SP0_c.t1, CP10_g43899_DN1_SP0_c.t1, CP9_g27694_DN1_SP0_c.t1, CP1_g39707_DN1_SP0_c.t1
OG0000006	Cg006G203530, Cg001G010040, Cg005G192450	CP8_g52162_DN2_SP0_c.t1
OG0000007	Cg003G103180	CP18_g11997_DN3_SP0_c.t1
OG0000007	Cg003G084380	CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1
OG0000007	Cg001G041960, Cg003G089200	CP6_g8175_DN3_SP0_c.t1
OG0000007	Cg002G061850	CP2_g50561_DN2_SP0_c.t1
OG0000007	Cg002G054650	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1
OG0000010	Cg006G205490	CP24_g47323_DN2_SP0_c.t1, CP17_g5733_DN1_SP0_c.t1
OG0000012	Cg003G089470, Cg006G226210	CP35_g52033_DN3_SP0_c.t1
OG0000013	Cg007G257070, Cg005G184830	CP14_g22654_DN2_SP0_c.t1
OG0000013	Cg001G029740	CP33_g3610_DN1_SP0_c.t1
OG0000013	Cg002G065810	CP3_g15651_DN3_SP0_c.t1
OG0000015	Cg008G310160	CP18_g12234_DN1_SP0_c.t1, CP7_g44210_DN2_SP0_c.t1, CP7_g44211_DN2_SP0_c.t1, CP7_g44209_DN2_SP0_c.t1
OG0000015	Cg004G140320	CP26_g51309_DN1_SP0_c.t1, CP22_g17109_DN3_SP0_c.t1, CP9_g28055_DN1_SP0_c.t1, CP1_g39588_DN3_SP0_c.t1
OG0000015	Cg007G254560, Cg001G025880	CP12_g31767_DN3_SP0_c.t1
OG0000018	Cg003G089030	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000019	Cg008G308170	CP50_g6571_DN2_SP0_c.t1, CP14_g23710_DN2_SP0_c.t1, CP47_g21270_DN3_SP0_c.t1
OG0000019	Cg003G084410, Cg008G317890	CP18_g11548_DN1_SP0_c.t1
OG0000021	Cg006G208570	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1
OG0000021	Cg003G084910	CP6_g7966_DN2_SP0_c.t1
OG0000021	Cg006G215630	CP2_g50567_DN2_SP0_c.t1
OG0000021	Cg003G080250	CP3_g15599_DN1_SP0_c.t1
OG0000025	Cg003G102540	CP10_g43844_DN3_SP0_c.t1
OG0000027	Cg002G070600	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	Cg002G048550, Cg002G048720	CP3_g13494_DN2_SP0_c.t1
OG0000028	Cg001G041970	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000029	Cg008G311020, Cg003G107860, Cg007G253930, Cg005G177650, Cg002G070490	CP22_g17304_DN2_SP0_c.t1
OG0000029	Cg006G212710	CP29_g22076_DN3_SP0_c.t1
OG0000030	Cg007G253140	CP8_g52519_DN1_SP0_c.t1
OG0000030	Cg005G188990	CP26_g51211_DN3_SP0_c.t1
OG0000033	Cg001G017580, Cg001G017790, Cg003G079950, Cg003G094060	CP16_g55465_DN3_SP1_c.t1
OG0000034	Cg005G182400	CP6_g8131_DN3_SP0_c.t1
OG0000034	Cg002G066600	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1, CP1_g40470_DN3_SP0_c.t1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	CP13_g20701_DN3_SP0_c.t1
OG0000036	Cg005G182230, Cg005G181070	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000037	Cg007G247800	CP15_g35754_DN1_SP0_c.t1
OG0000037	Cg007G255010	CP6_g8155_DN1_SP0_c.t1
OG0000038	Cg008G285210, Cg008G285280	CP7_g45289_DN3_SP0_c.t1
OG0000038	Cg003G103850	CP8_g53633_DN2_SP0_c.t1
OG0000038	Cg008G320600	CP7_g45140_DN3_SP0_c.t1
OG0000040	Cg001G030090	CP11_g31940_DN3_SP0_c.t1
OG0000040	Cg002G057370	CP13_g19590_DN2_SP0_c.t1
OG0000042	Cg002G059980	CP4_g26084_DN1_SP0_c.t1, CP5_g2115_DN2_SP0_c.t1
OG0000042	Cg003G113100, Cg008G310640, Cg008G309000	CP13_g20255_DN1_SP0_c.t1
OG0000044	Cg001G029670	CP1_g39285_DN1_SP0_c.t1
OG0000045	Cg003G091810	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1, CP6_g7806_DN1_SP0_c.t1, CP2_g49348_DN2_SP0_c.t1, CP1_g38484_DN3_SP0_c.t1, CP16_g55250_DN2_SP0_c.t1, CP34_g51549_DN2_SP0_c.t1, CP26_g51164_DN1_SP0_c.t1, CP16_g55578_DN1_SP0_c.t1
OG0000045	Cg002G064420	CP26_g51323_DN1_SP0_c.t1
OG0000046	Cg003G097180	CP5_g1580_DN2_SP0_c.t1
OG0000048	Cg004G119540	CP10_g42378_DN2_SP0_c.t1
OG0000048	Cg004G119550	CP10_g42381_DN3_SP0_c.t1
OG0000048	Cg008G298370	CP11_g32171_DN3_SP0_c.t1, CP11_g32165_DN3_SP0_c.t1
OG0000049	Cg007G255960	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1
