Orthogroup	Cardamine_glauca	Eutrema_salsugineum
OG0000000	Cg008G288880	XP_024010229.1
OG0000002	Cg005G163330	XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1, XP_024015242.1
OG0000003	Cg006G209840	XP_006391417.2, XP_024011134.1, XP_024010447.1, XP_024013113.1, XP_024016241.1, XP_024013903.1, XP_006404995.2, XP_024013358.1, XP_006402217.2, XP_024016125.1, XP_024003648.1, XP_024013775.1
OG0000003	Cg001G036970	XP_024009759.1, XP_024009236.1, XP_024007306.1
OG0000003	Cg001G032830	XP_024010454.1, XP_024010649.1, XP_024013240.1
OG0000003	Cg004G144080	XP_024016355.1
OG0000003	Cg005G182650	XP_024009493.1
OG0000004	Cg004G154080	XP_024014707.1
OG0000004	Cg005G167340	XP_024014264.1
OG0000005	Cg007G253430	XP_024014307.1, XP_024014469.1, XP_024004940.1
OG0000005	Cg008G308830	XP_024007257.1, XP_024009950.1
OG0000005	Cg003G086520	XP_024010394.1
OG0000005	Cg005G185830	XP_024004939.1
OG0000005	Cg003G087270	XP_024016213.1
OG0000005	Cg005G189270	XP_024016332.1
OG0000005	Cg006G213190	XP_024004039.1
OG0000006	Cg008G312070	XP_024006790.1
OG0000006	Cg006G206830	XP_024014517.1, XP_024016334.1, XP_024006841.1, XP_024006492.1, XP_024006274.1, XP_024008018.1, XP_024010318.1, XP_024013856.1, XP_024014636.1, XP_024004058.1, XP_024010431.1
OG0000007	Cg002G061850	XP_024006886.1, XP_024011324.1
OG0000007	Cg002G054650	XP_024004899.1
OG0000008	Cg008G312650	XP_024015912.1
OG0000010	Cg001G010610	XP_024014048.1
OG0000010	Cg006G205490	XP_024015955.1, XP_024011402.1, XP_024006535.1
OG0000011	Cg005G184960	XP_024004173.1, XP_024008034.1, XP_024010329.1, XP_024010628.1, XP_024004872.1, XP_024007768.1
OG0000012	Cg003G089470, Cg006G226210	XP_024016167.1
OG0000012	Cg007G260780, Cg002G066610, Cg003G088580, Cg007G258900	XP_024013199.1
OG0000012	Cg006G208150, Cg003G096300	XP_024004033.1
OG0000013	Cg007G257070, Cg005G184830	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
OG0000014	Cg008G312030	XP_024016530.1
OG0000014	Cg007G266660	XP_024004866.1, XP_024009964.1
OG0000019	Cg008G308170	XP_024003642.1
OG0000019	Cg003G084410, Cg008G317890	XP_024016548.1, XP_024004876.1, XP_024003759.1
OG0000019	Cg004G134340	XP_024007941.1, XP_024011405.1
OG0000020	Cg007G257890, Cg007G257790	XP_024009309.1
OG0000021	Cg006G208570	XP_024006573.1, XP_024005010.1, XP_024015179.1, XP_024016553.1
OG0000021	Cg003G084910	XP_024004423.1
OG0000021	Cg003G103950	XP_024004072.1
OG0000021	Cg002G074750, Cg001G028510, Cg006G215630	XP_024004813.1, XP_024004020.1
OG0000023	Cg001G017560	XP_006413565.1
OG0000023	Cg003G082360	XP_024009837.1
OG0000023	Cg001G017610, Cg001G017600	XP_006413557.1, XP_024013896.1
OG0000023	Cg003G082330	XP_006396897.2
