Orthogroup	Cardamine_glauca	Raphanus_sativus
OG0000000	Cg003G090030, Cg003G090000	XP_018462401.1, XP_018463541.1, XP_018459749.1
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	XP_018435304.1, XP_018467378.1
OG0000003	Cg006G209840	XP_018448864.1, XP_018453890.1, XP_018463988.1, XP_018464531.1, XP_018459047.1, XP_018459385.1, XP_018453823.1, XP_018473854.1, XP_018462540.1, XP_018459967.1, XP_018479006.1, XP_018454154.1, XP_018436209.1, XP_018460030.1, XP_018460938.1, XP_018463384.1, XP_018435851.1, XP_018435852.1
OG0000003	Cg005G184670	XP_018461854.1
OG0000003	Cg005G182650	XP_018464076.1, XP_018465694.1, XP_018459974.1
OG0000004	Cg004G154080	XP_018462059.1, XP_018453573.1
OG0000004	Cg005G167340	XP_018435931.1
OG0000004	Cg007G260170	XP_018479791.1
OG0000005	Cg007G268560	XP_018479454.1
OG0000005	Cg007G253430	XP_018454182.1
OG0000005	Cg005G186690, Cg003G078000, Cg005G192860	XP_018443533.1, XP_018481184.1, XP_018467418.1
OG0000005	Cg003G086520	XP_018461258.1, XP_018435786.1
OG0000005	Cg005G188160	XP_018436426.1, XP_018436425.1, XP_018463676.1, XP_018474023.1, XP_018479849.1
OG0000005	Cg008G295320	XP_018473658.1
OG0000005	Cg003G087270	XP_018479530.1
OG0000006	Cg008G312070	XP_018480139.1
OG0000006	Cg006G203530, Cg001G010040	XP_018455976.1
OG0000006	Cg005G192450	XP_018466179.1
OG0000007	Cg001G041960, Cg003G089200	XP_018435927.1, XP_018463775.1, XP_018479789.1
OG0000007	Cg002G061850	XP_018473662.1, XP_018488005.1, XP_018487667.1, XP_018479790.1, XP_018488079.1, XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1
OG0000007	Cg002G054650	XP_018453541.1, XP_018474641.1
OG0000008	Cg002G071180	XP_018479533.1, XP_018464955.1, XP_018443584.1, XP_018443555.1, XP_018443557.1, XP_018473874.1, XP_018461035.1, XP_018453833.1, XP_018435951.1, XP_018453621.1, XP_018435954.1, XP_018473912.1, XP_018443581.1, XP_018462136.1
OG0000008	Cg002G055170	XP_018438736.1
OG0000010	Cg001G010610	XP_018461000.1
OG0000011	Cg005G184960	XP_018479604.1, XP_018459024.1, XP_018462958.1
OG0000012	Cg003G089470, Cg006G226210	XP_018480111.1
OG0000012	Cg007G277670, Cg006G218130, Cg003G093950	XP_018448573.1
OG0000014	Cg008G312030	XP_018453670.1
OG0000014	Cg007G266660	XP_018435497.1, XP_018478850.1, XP_018476436.1
OG0000015	Cg008G310160	XP_018448688.1, XP_018443665.1, XP_018458093.1, XP_018463612.1
OG0000015	Cg007G254560	XP_018435929.1
OG0000015	Cg001G025880	XP_018475313.1
OG0000017	Cg004G142150	XP_018463043.1
OG0000018	Cg003G089030, Cg003G095110	XP_018487788.1, XP_018435524.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018442989.1, XP_018473906.1, XP_018479172.1, XP_018473760.1, XP_018465161.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018480047.1, XP_018489333.1, XP_018490274.1, XP_018479751.1, XP_018469035.1, XP_018481163.1, XP_018436132.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018462470.1, XP_018448883.1, XP_018454217.1, XP_018448606.1, XP_018448885.1, XP_018463040.1, XP_018454208.1, XP_018460929.1, XP_018459042.1, XP_018461247.1, XP_018488201.1, XP_018462856.1, XP_018458112.1, XP_018442987.1, XP_018464922.1, XP_018458110.1, XP_018462516.1, XP_018454216.1, XP_018475052.1
OG0000019	Cg008G308170	XP_018475002.1
OG0000019	Cg004G134340	XP_018487710.1, XP_018465525.1, XP_018479350.1
OG0000020	Cg001G036750	XP_018482431.1
OG0000021	Cg006G208570	XP_018479340.1, XP_018474062.1, XP_018473630.1, XP_018473970.1
OG0000021	Cg003G100100	XP_018460019.1
OG0000021	Cg003G084910	XP_018479089.1
OG0000021	Cg002G061370	XP_018473840.1
OG0000023	Cg001G017560	XP_018468520.1, XP_018468522.1
OG0000023	Cg003G082360	XP_018464962.1, XP_018471375.1, XP_018461167.1, XP_018461172.1, XP_018466880.1
OG0000023	Cg001G017610, Cg001G017600	XP_018483343.1, XP_018448955.1, XP_018451939.1
OG0000023	Cg003G082320	XP_018454315.1, XP_018476504.1, XP_018476512.1
OG0000023	Cg003G082240	XP_018454312.1
OG0000023	Cg001G017750	XP_018448922.1, XP_018448923.1
OG0000023	Cg001G017690	XP_018439285.1
OG0000025	Cg001G005300	XP_018448361.1, XP_018448364.1, XP_018435503.1, XP_018465681.1, XP_018448362.1, XP_018475375.1, XP_018475377.1, XP_018475791.1, XP_018475795.1
OG0000025	Cg003G102540	XP_018466544.1, XP_018480011.1, XP_018474193.1, XP_018474191.1, XP_018474185.1
OG0000027	Cg007G250820	XP_018467712.1, XP_018467711.1
OG0000027	Cg002G070600	XP_018448575.1, XP_018448576.1
OG0000027	Cg006G215350, Cg006G215360	XP_018436387.1
OG0000027	Cg002G048550, Cg002G048720	XP_018487153.1
OG0000028	Cg001G041970	XP_018463159.1
OG0000029	Cg003G107860	XP_018479181.1
OG0000029	Cg007G253930	XP_018479572.1, XP_018476055.1
OG0000029	Cg005G177650	XP_018474746.1
OG0000031	Cg007G247710	XP_018452507.1
OG0000031	Cg001G042060	XP_018478989.1
OG0000031	Cg004G133170	XP_018437843.1
OG0000031	Cg007G245660	XP_018493478.1, XP_018487942.1
OG0000033	Cg001G017700	XP_018468503.1, XP_018483350.1
OG0000033	Cg001G017740, Cg001G017730	XP_018448926.1, XP_018448925.1
OG0000033	Cg001G017780	XP_018436206.1, XP_018483352.1
OG0000033	Cg001G019620, Cg001G019630	XP_018484118.1, XP_018484117.1
OG0000033	Cg001G017580	XP_018463089.1, XP_018468501.1
OG0000033	Cg003G079950, Cg003G094060	XP_018455051.1, XP_018454979.1
OG0000034	Cg002G066600	XP_018463355.1, XP_018475106.1, XP_018466240.1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	XP_018457139.1, XP_018435571.1, XP_018462760.1, XP_018467931.1, XP_018461876.1, XP_018487493.1
OG0000037	Cg007G247800, Cg007G255010	XP_018461383.1
OG0000038	Cg008G285210, Cg008G285280	XP_018473908.1
OG0000038	Cg005G159520	XP_018459725.1
OG0000038	Cg001G007650	XP_018443359.1, XP_018479044.1, XP_018477530.1
OG0000038	Cg006G216960	XP_018479935.1
OG0000038	Cg002G052970	XP_018479936.1, XP_018479937.1
OG0000039	Cg005G180100, Cg002G062370, Cg002G062340	XP_018473795.1
OG0000040	Cg004G137150	XP_018435466.1, XP_018464547.1, XP_018443694.1, XP_018488539.1
OG0000040	Cg004G136640	XP_018481995.1, XP_018492454.1
OG0000042	Cg006G198550, Cg003G083590	XP_018448764.1, XP_018454006.1
OG0000042	Cg002G059980	XP_018458169.1, XP_018474020.1, XP_018453898.1
OG0000042	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000, Cg005G175020, Cg003G088120	XP_018443419.1
OG0000042	Cg002G072070	XP_018460803.1, XP_018487809.1
OG0000044	Cg001G029670	XP_018474435.1, XP_018458663.1, XP_018487494.1, XP_018464201.1, XP_018439588.1, XP_018463079.1, XP_018479642.1, XP_018462758.1, XP_018453591.1, XP_018461875.1, XP_018457142.1
OG0000044	Cg003G096230	XP_018461269.1
