Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_NCBI
OG0000000	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120	XP_020880754.1, XP_020873125.1, XP_020875043.1, XP_020881970.1, XP_020882759.1, XP_020871264.1, XP_020886308.1, XP_020866272.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020872490.1, XP_020869697.1
OG0000000	Cg002G062380, Cg002G069090, Cg005G186670	XP_020874412.1, XP_020871267.1, XP_020866323.1, XP_020887737.1
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	XP_020887182.1, XP_020890321.1, XP_020870326.1
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020	XP_020865758.1
OG0000000	Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	XP_020886397.1, XP_020866436.1
OG0000003	Cg006G209840	XP_020866342.1, XP_020871957.1, XP_020887113.1, XP_020877193.1, XP_020866154.1, XP_020872641.1, XP_020872381.1, XP_020877200.1
OG0000005	Cg008G308830	XP_020876464.1, XP_020881689.1
OG0000005	Cg003G086520, Cg005G189290, Cg001G022240, Cg005G188160	XP_020876055.1, XP_020877155.1
OG0000005	Cg006G213190	XP_020885673.1
OG0000006	Cg008G312070	XP_020871008.1
OG0000007	Cg003G086130	XP_020883444.1
OG0000008	Cg007G263310	XP_020881734.1, XP_020879664.1, XP_020882642.1, XP_020882276.1
OG0000008	Cg002G060890	XP_020881885.1, XP_020881611.1
OG0000008	Cg002G055170	XP_020881699.1
OG0000012	Cg007G260780	XP_020888454.1
OG0000012	Cg007G258900	XP_020890011.1
OG0000012	Cg003G096300	XP_020871051.1
OG0000015	Cg001G025880	XP_020865814.1
OG0000017	Cg004G142150	XP_020874114.1, XP_002883754.2, XP_020879010.1
