Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_Rawat
OG0000000	Cg004G132730	AL1G59120
OG0000000	Cg002G062380, Cg002G069090, Cg005G186670	AL2G17020, AL1G64940, AL7G51790
OG0000000	Cg003G090030, Cg003G090000	AL4G11460
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020	AL1G65200
OG0000003	Cg006G209840	AL8G18430, AL97U10030, AL8G11290, AL1G36970, AL4G38100, AL7G13490, AL63U10040, AL4G12740
OG0000003	Cg001G036970	AL7G43820
OG0000003	Cg001G032840	AL3G54340, AL8G29360
OG0000004	Cg001G033800	AL3G48680
OG0000004	Cg004G154080	AL8G17990, AL4G17570
OG0000004	Cg005G167340	AL3G28120, AL3G23500, AL7G39870
OG0000005	Cg008G308830	AL9U10020
OG0000005	Cg001G022240	AL2G12600
OG0000005	Cg005G188160	AL4G10690
OG0000005	Cg005G185830	AL4G10500, AL6G49130
OG0000005	Cg003G087270	AL7G37950
OG0000006	Cg006G203530, Cg001G010040, Cg005G192450	AL9U10810
OG0000006	Cg006G206830	AL4G24120
OG0000007	Cg001G041960, Cg003G089200	AL2G19540, AL3G39580
OG0000007	Cg002G061850	AL6G33910, AL4G36510
OG0000007	Cg003G086130	AL4G24130
OG0000007	Cg002G054650	AL2G19310
OG0000008	Cg007G263310	AL5G20470
OG0000008	Cg002G060890	AL5G32180
OG0000008	Cg002G055170	AL5G32150, AL5G32140
OG0000010	Cg008G314030, Cg006G205490	AL8G19810
OG0000012	Cg007G260780, Cg002G066610, Cg003G088580, Cg007G258900	AL2G19210
OG0000012	Cg006G208150, Cg003G096300	AL2G18620
OG0000014	Cg007G266660	AL1G56800
OG0000015	Cg001G025880	AL25U10010, AL6G22310, AL7G26200
OG0000015	Cg007G249020	AL2G24310
OG0000017	Cg004G142150	AL7G44020, AL3G44050, AL460U10020, AL6G40580
OG0000018	Cg006G204250, Cg003G087690, Cg003G087660	AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440
OG0000018	Cg003G089030, Cg003G095110	AL6G42400
OG0000019	Cg008G308170	AL8G22980
OG0000021	Cg003G100100	AL7G30150, AL5G20380, AL488U10010, AL4G29570
OG0000021	Cg003G084910	AL8G10060
OG0000021	Cg002G061370, Cg003G103950	AL5G16490, AL5G19200
OG0000021	Cg003G080250	AL5G10040, AL5G25470
OG0000023	Cg003G082360	AL6G45910
OG0000023	Cg001G017610, Cg001G017600	AL7G30170
OG0000023	Cg003G082320	AL6G45970
OG0000023	Cg001G017770	AL6G46030
OG0000023	Cg003G082240	AL1G66280
OG0000023	Cg001G017750	AL7G30270
OG0000023	Cg001G017690	AL7G30280
OG0000025	Cg003G106740	AL7G42840
OG0000025	Cg001G005300	AL5G44140
OG0000026	Cg005G183380	AL2G12870, AL5G16730, AL9U11280
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	AL1G45340, AL1G45540, AL1G45230, AL1G45550, AL1G45590, nbis-gene-188, AL1G45600, AL1G45570, nbis-gene-553, nbis-gene-966, AL4G14930, AL1G45510, AL1G45610, AL1G45580
OG0000027	Cg006G213920	AL1G45530
OG0000027	Cg002G070600	AL1G46280, AL1G45210
OG0000027	Cg006G215350, Cg006G215360	AL3G45420, AL4G35160
OG0000027	Cg002G048550, Cg002G048720	AL5G23680
OG0000029	Cg007G253930	AL26U10050, AL3G41030, AL6G10700
OG0000029	Cg002G070490	AL7G44460
OG0000031	Cg007G247230, Cg007G246930	AL2G12780, AL2G12460, AL2G11490
OG0000031	Cg007G247710	AL2G13120
OG0000031	Cg001G042060	AL7G48260
OG0000031	Cg004G133170	AL3G29640
OG0000031	Cg007G245660	AL2G10190
OG0000033	Cg001G017780	AL7G30340
OG0000033	Cg001G019620	AL7G32680
OG0000033	Cg001G019630	AL7G32670
OG0000033	Cg001G017790	AL7G30350
OG0000033	Cg003G079950, Cg003G094060	AL6G48800
OG0000034	Cg002G066600	AL8G16120
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	AL5G26550, AL920U10010, AL3G40670
OG0000038	Cg005G159520	AL2G12050
