Orthogroup	Cardamine_glauca	Erysimum_linariifolium
OG0000000	Cg003G090030, Cg003G090000	El005G264610
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020	El003G159590
OG0000000	Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390, Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	El001G044760
OG0000000	Cg005G186000	El004G209750
OG0000003	Cg006G209840	El003G189560, El002G128770, El004G210360, El007G351530
OG0000003	Cg001G032840	El004G212250
OG0000003	Cg007G261780	El002G128790, El002G128760, El002G138440
OG0000004	Cg004G154080	El002G127280
OG0000004	Cg005G167340	El001G052930, El004G230860, El003G157040
OG0000004	Cg007G260170	El005G268230
OG0000005	Cg007G268560	El001G038630
OG0000005	Cg001G022240, Cg005G188160	El002G096830
OG0000005	Cg005G185830	El002G123530
OG0000005	Cg008G295320, Cg005G188150	El002G120930, El007G348880
OG0000005	Cg003G087270	El002G122720
OG0000005	Cg006G213190	El003G183090, El002G106850, El007G348140, El004G202650
OG0000007	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470	El006G311470
OG0000007	Cg003G103180	El007G349510
OG0000007	Cg003G084380	El007G352010, El006G311480
OG0000007	Cg001G041960, Cg003G089200	El007G348570
OG0000007	Cg002G061850	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	Cg003G086130	El006G310200
OG0000008	Cg008G312650	El005G264190
OG0000008	Cg002G071170	El001G021720
OG0000008	Cg002G060890	El001G021990, El001G021710
OG0000008	Cg002G055170	El003G174670
OG0000012	Cg003G089470, Cg006G226210	El002G120760
OG0000014	Cg007G281140	El006G319390, El001G002640
OG0000018	Cg003G095700	El002G082650
OG0000019	Cg008G308170	El002G122780, El006G281410, El004G213790
OG0000020	Cg001G036750	El003G191190
OG0000021	Cg006G215630	El002G141120
OG0000021	Cg003G080250	El005G277430, El007G325630
OG0000023	Cg001G017750	El003G162170
OG0000023	Cg001G017690	El003G162130
OG0000025	Cg003G106740	El001G014870, El001G014670
OG0000025	Cg001G005300	El007G342330, El007G342400, El007G342390, El007G340950
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950, El002G122790, El002G122410, El002G122550, El002G122530, El002G122520, El002G122750, El002G122400, El002G122390, El001G054180, El001G054190, El006G314050, El006G316880, El002G118120, El002G111110
OG0000027	Cg002G070600	El002G117730
OG0000027	Cg006G215350, Cg006G215360	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820
OG0000028	Cg001G041970	El004G212000, El004G211990, El007G348580
OG0000029	Cg003G107860	El007G359550
OG0000029	Cg007G253930	El001G031910, El006G302870, El002G125750, El008G368530
OG0000029	Cg005G177640	El007G356090, El006G308300, El003G165930, El002G089750
OG0000029	Cg006G212710	El006G307470
OG0000030	Cg008G322770	El002G130810
OG0000030	Cg007G253140	El003G181970
OG0000031	Cg007G247710	El004G197660
OG0000031	Cg001G042060	El003G192370
OG0000031	Cg004G133170	El005G253470
OG0000031	Cg007G245660	El002G127940, El004G193990
OG0000033	Cg001G017700	El003G162150
OG0000033	Cg001G017740, Cg001G017730	El003G162160
OG0000033	Cg001G017780	El003G192480
OG0000033	Cg001G019620	El003G164670
OG0000033	Cg001G017790	El003G162220
OG0000033	Cg003G079950, Cg003G094060	El001G004730
OG0000034	Cg005G182400	El004G208110, El007G350680, El007G350130
OG0000034	Cg002G066600	El001G041330
OG0000036	Cg008G323260	El003G178170
OG0000036	Cg004G147460, Cg007G255830, Cg004G147450, Cg007G253380, Cg004G140700, Cg006G210150	El004G193910
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	El003G186550, El003G186530
OG0000036	Cg002G062800, Cg002G062790	El006G311410, El002G122040, El002G126960
OG0000036	Cg005G182230, Cg005G181070	El006G311420, El002G122030
OG0000038	Cg005G159520	El006G281890, El006G282510
OG0000038	Cg002G057430	El001G019410
OG0000038	Cg003G103850	El007G341120
OG0000038	Cg004G153530	El005G274950
OG0000038	Cg008G320560	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600, El007G360640
OG0000040	Cg006G217350	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320
OG0000040	Cg004G137150	El005G257710
OG0000040	Cg004G136640	El005G257410
OG0000042	Cg006G198550, Cg003G083590	El001G058460
OG0000042	Cg002G059980	El003G192700
OG0000042	Cg008G311300, Cg008G309470	El006G306460, El002G113220
OG0000042	Cg005G183270	El004G194460, El007G344540
OG0000042	Cg008G310640, Cg008G309000	El005G265850
OG0000044	Cg001G029670	El007G357580, El007G365520, El003G186540, El006G308910, El006G308940
OG0000045	Cg003G091810	El005G249570, El003G188840, El005G264730, El002G101480
OG0000045	Cg002G064420	El004G208130
OG0000046	Cg001G022610	El003G168460
OG0000046	Cg001G037990	El003G187000, El003G186990
OG0000046	Cg007G266640	El004G216560, El004G216600
OG0000047	Cg006G206340	El005G264350
OG0000048	Cg004G119540	El005G238400, El005G238360
OG0000049	Cg006G232250	El007G333450
OG0000052	Cg006G242960	El007G364450, El002G116290
OG0000052	Cg005G173390, Cg013G330370	El006G286630
OG0000052	Cg005G163540	El006G286580
OG0000055	Cg007G248480	El004G198780
OG0000055	Cg002G060080	El001G016330, El001G016310, El001G016300
OG0000055	Cg007G248550	El004G198830
OG0000055	Cg007G248380	El004G198610
OG0000055	Cg007G248410	El004G198640
OG0000055	Cg006G223020	El001G016290, El004G208280
OG0000055	Cg007G248370	El004G198790, El004G198540, El004G198800
OG0000055	Cg007G248540, Cg007G248530	El004G198810
OG0000056	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290	El003G179560, El006G285210, El001G008020
OG0000058	Cg007G261210	El005G263190, El006G310300, El005G258260
OG0000062	Cg007G260660, Cg005G180090	El003G186180, El004G203440, El004G203430
OG0000062	Cg010G326150	El001G054390
OG0000063	Cg002G052800	El001G014950
OG0000063	Cg002G060930	El006G304660, El001G015540
OG0000064	Cg001G000750	El003G142390
OG0000064	Cg005G172820	El006G298100
OG0000064	Cg008G325030	El004G232120, El004G232110, El008G368860
OG0000065	Cg001G020190	El002G116640, El002G116630
OG0000066	Cg007G276160	El004G228220, El004G228230, El002G122920
OG0000066	Cg008G290840	El001G071590, El001G071600
OG0000066	Cg008G290850, Cg003G113360	El007G324780
OG0000067	Cg004G154470	El001G050000
OG0000067	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610	El001G015110, El001G015090, El005G241220, El001G019940, El001G019880, El003G151620, El001G050380, El007G338720
OG0000067	Cg008G318950	El001G059350
OG0000070	Cg002G063700	El007G351510
OG0000071	Cg007G264730, Cg003G105600	El002G129500
OG0000071	Cg006G240460	El003G186380
