Orthogroup	Cardamine_glauca	Brassica_oleracea
OG0000000	Cg004G132730	XP_013624387.1, XP_013624852.1, XP_013633000.1
OG0000000	Cg008G288880	XP_013639674.1, XP_013607775.1
OG0000000	Cg003G090030, Cg003G090000	XP_013624478.1, XP_013594857.1, XP_013601901.1, XP_013617473.1, XP_013601242.1, XP_013601368.1, XP_013594627.1
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020	XP_013594978.1
OG0000000	Cg014G332090	XP_013587282.1
OG0000003	Cg006G209840	XP_013632989.1, XP_013624327.1, XP_013594796.1, XP_013624018.1, XP_013626656.1, XP_013589417.1, XP_013639462.1, XP_013624390.1, XP_013624966.1, XP_013601267.1, XP_013617299.1, XP_013617697.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013601292.1, XP_013624493.1, XP_013627530.1, XP_013601768.1, XP_013632538.1, XP_013624806.1, XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013624595.1, XP_013633002.1, XP_013614810.1, XP_013601863.1, XP_013589557.1
OG0000003	Cg005G163140	XP_013617438.1, XP_013613453.1
OG0000003	Cg005G182650	XP_013639562.1
OG0000004	Cg004G154080	XP_013632878.1
OG0000004	Cg005G167340	XP_013601125.1, XP_013639798.1
OG0000005	Cg005G186690, Cg003G078000, Cg005G192860	XP_013589654.1, XP_013633488.1, XP_013588992.1, XP_013601782.1, XP_013589640.1, XP_013595158.1, XP_013608540.1, XP_013633284.1
OG0000005	Cg003G086520	XP_013617184.1, XP_013595190.1
OG0000005	Cg005G188160	XP_013627264.1, XP_013635272.1, XP_013633205.1, XP_013607452.1, XP_013589362.1, XP_013614191.1, XP_013630471.1
OG0000005	Cg005G185830	XP_013583375.1
OG0000005	Cg008G295320	XP_013632594.1
OG0000005	Cg003G087270	XP_013624887.1
OG0000005	Cg005G189270	XP_013589398.1, XP_013601140.1
OG0000006	Cg008G312070	XP_013633055.1
OG0000006	Cg006G206830	XP_013594807.1, XP_013633894.1
OG0000006	Cg008G318730	XP_013617289.1
OG0000006	Cg004G148130	XP_013617071.1
OG0000006	Cg001G021710	XP_013623981.1
OG0000007	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470	XP_013601000.1, XP_013633348.1, XP_013627809.1, XP_013594959.1, XP_013625538.1
OG0000007	Cg003G084380	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1
OG0000007	Cg001G041960, Cg003G089200	XP_013589426.1, XP_013601226.1
OG0000007	Cg002G061850	XP_013633450.1, XP_013624835.1, XP_013594922.1, XP_013624723.1, XP_013632833.1, XP_013594838.1, XP_013639528.1, XP_013617764.1, XP_013628112.1, XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1
OG0000007	Cg002G054650	XP_013595032.1
OG0000008	Cg002G071180	XP_013617721.1, XP_013617143.1, XP_013633025.1
OG0000008	Cg002G055170	XP_013601615.1
OG0000010	Cg001G010610	XP_013613442.1, XP_013608075.1
OG0000010	Cg006G205490	XP_013632708.1, XP_013634434.1, XP_013594557.1, YP_004927512.1
OG0000011	Cg005G184960	XP_013608304.1, XP_013624714.1, XP_013583467.1, XP_013601355.1, XP_013624342.1, XP_013583393.1, XP_013594605.1, XP_013588899.1, XP_013614655.1, XP_013614778.1, XP_013607652.1, XP_013601161.1, XP_013594412.1, XP_013633302.1, XP_013594716.1, XP_013608513.1, XP_013624746.1, XP_013594658.1, XP_013624535.1, XP_013601337.1, XP_013601077.1, XP_013623653.1, XP_013633036.1, XP_013633008.1, XP_013633347.1, XP_013601548.1, XP_013616871.1, XP_013594810.1, XP_013623942.1
OG0000012	Cg003G089470, Cg006G226210	XP_013617060.1
OG0000012	Cg003G096300	XP_013589396.1
OG0000012	Cg007G277670, Cg006G218130, Cg003G093950	XP_013630371.1
OG0000013	Cg007G257070, Cg005G184830	XP_013624890.1, XP_013614189.1
OG0000014	Cg008G312030	XP_013623548.1, XP_013627369.1, XP_013607767.1, XP_013608123.1, XP_013594361.1, XP_013633074.1
OG0000014	Cg007G266660	XP_013633013.1, XP_013623877.1, XP_013615619.1, XP_013615430.1, XP_013639472.1, XP_013614662.1, XP_013617027.1, XP_013601324.1, XP_013639691.1, XP_013589050.1, XP_013594820.1, XP_013634577.1, XP_013624113.1, XP_013594433.1, XP_013594604.1
OG0000015	Cg008G310160	XP_013624517.1, XP_013617189.1, XP_013615586.1, XP_013603434.1
OG0000015	Cg004G140320	XP_013613389.1, XP_013594602.1
OG0000015	Cg007G254560	XP_013639615.1
OG0000015	Cg001G025880	XP_013594858.1
OG0000015	Cg007G249020	XP_013633118.1
OG0000018	Cg003G089030, Cg003G095110	XP_013608093.1, XP_013624295.1, XP_013615260.1, XP_013639781.1, XP_013624942.1, XP_013635359.1, XP_013632716.1, XP_013625589.1, XP_013624309.1, XP_013583343.1, XP_013617328.1, XP_013633276.1, XP_013633321.1, XP_013632330.1, XP_013632740.1, XP_013631302.1, XP_013594507.1, XP_013624087.1, XP_013594600.1, XP_013624037.1, XP_013616795.1, XP_013607721.1, XP_013639694.1, XP_013616959.1, XP_013592110.1, XP_013595678.1, XP_013589433.1
OG0000019	Cg008G308170	XP_013617429.1, XP_013619335.1, XP_013627832.1
OG0000019	Cg003G084410, Cg008G317890	XP_013639582.1
OG0000019	Cg004G134340	XP_013594896.1
OG0000020	Cg007G257890, Cg007G257790	XP_013601359.1
OG0000021	Cg006G208570	XP_013616875.1, XP_013594483.1, XP_013632484.1, XP_013595187.1, XP_013589405.1
OG0000021	Cg003G100100	XP_013624336.1, XP_013624294.1, XP_013607730.1, XP_013595127.1
OG0000021	Cg006G215630	XP_013601139.1
OG0000021	Cg003G080250	XP_013589283.1
OG0000023	Cg001G017560	XP_013598807.1
OG0000023	Cg001G017610, Cg001G017600	XP_013595250.1, XP_013626677.1
OG0000023	Cg003G082330	XP_013608009.1
OG0000023	Cg003G082320	XP_013608654.1
OG0000023	Cg001G017650	XP_013595244.1
OG0000023	Cg003G082240	XP_013617506.1
OG0000023	Cg001G017690	XP_013588839.1
OG0000025	Cg001G005300	XP_013614695.1, XP_013624780.1, XP_013624779.1, XP_013614694.1, XP_013624781.1, XP_013626875.1, XP_013589427.1, XP_013625541.1, XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1
OG0000025	Cg003G102540	XP_013636546.1
OG0000027	Cg007G250820	XP_013592438.1
OG0000027	Cg002G070600	XP_013624897.1
OG0000027	Cg006G215350, Cg006G215360	XP_013632478.1
OG0000027	Cg002G048550, Cg002G048720	XP_013605203.1
OG0000028	Cg001G041970	XP_013639720.1
OG0000029	Cg007G253930	XP_013610927.1, XP_013583311.1, XP_013632868.1, XP_013624005.1, XP_013589271.1, XP_013624507.1, XP_013589176.1, XP_013617829.1, XP_013624934.1, XP_013632493.1
OG0000029	Cg005G177650	XP_013624853.1, XP_013624881.1
OG0000029	Cg005G177640	XP_013619135.1
OG0000030	Cg007G253140	XP_013633216.1
OG0000030	Cg013G330360	XP_013639811.1, XP_013617264.1, XP_013624086.1
OG0000031	Cg007G247710	XP_013606456.1
OG0000031	Cg001G042060	XP_013635968.1
OG0000031	Cg004G133170	XP_013609571.1
OG0000031	Cg007G245660	XP_013603447.1
OG0000033	Cg001G017700	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1
OG0000033	Cg001G017780	XP_013595249.1, XP_013595246.1
OG0000033	Cg001G019630	XP_013594180.1, XP_013598071.1
OG0000033	Cg001G017580	XP_013598971.1
OG0000033	Cg003G079950, Cg003G094060	XP_013607897.1
OG0000034	Cg002G066600	XP_013589352.1
OG0000036	Cg008G323260	XP_013639282.1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	XP_013617146.1, XP_013639508.1, XP_013589295.1, XP_013617228.1, XP_013611257.1, XP_013589048.1, XP_013617878.1, XP_013623959.1, XP_013595076.1
OG0000038	Cg001G007650	XP_013600951.1, XP_013597125.1
OG0000038	Cg006G216960	XP_013633415.1, XP_013633416.1
OG0000038	Cg002G052970	XP_013633414.1
OG0000039	Cg005G180100, Cg002G062370, Cg002G062340	XP_013588982.1, XP_013617440.1, XP_013632928.1, XP_013589052.1
OG0000040	Cg006G217350	XP_013589717.1, XP_013593712.1, XP_013589720.1
OG0000040	Cg004G137150	XP_013608319.1, XP_013628311.1, XP_013628312.1
OG0000040	Cg004G136640	XP_013615042.1
OG0000042	Cg006G198550, Cg003G083590	XP_013607732.1, XP_013608326.1
OG0000042	Cg002G059980	XP_013585161.1
OG0000042	Cg008G311300, Cg008G309470	XP_013639418.1
OG0000042	Cg005G183270	XP_013617799.1
OG0000042	Cg002G072070	XP_013639460.1
OG0000044	Cg001G029670	XP_013620262.1, XP_013632482.1, XP_013611258.1, XP_013589049.1, XP_013617512.1, XP_013633382.1, XP_013596464.1, XP_013617808.1, XP_013617807.1, XP_013594734.1, XP_013594735.1, XP_013589296.1, XP_013617147.1, XP_013591267.1
OG0000044	Cg003G096230	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1
OG0000045	Cg003G091810	XP_013632408.1, XP_013632387.1, XP_013594397.1, XP_013624130.1, XP_013583445.1, XP_013608007.1, XP_013608008.1, XP_013601571.1, XP_013624059.1, XP_013594684.1, XP_013613695.1, XP_013617600.1, XP_013601662.1, XP_013632375.1, XP_013594519.1, XP_013614308.1, XP_013595024.1, XP_013613933.1, XP_013614917.1, XP_013633236.1, XP_013624165.1, XP_013616776.1, XP_013583385.1, XP_013624050.1, XP_013588971.1, XP_013594915.1
OG0000045	Cg002G064420	XP_013631555.1, XP_013632793.1, XP_013623955.1, XP_013632732.1, XP_013615610.1, XP_013628576.1
OG0000046	Cg001G022610	XP_013611234.1
OG0000046	Cg001G037990	XP_013635840.1, XP_013620632.1
OG0000046	Cg007G266760	XP_013613580.1
OG0000046	Cg007G266630	XP_013591996.1
OG0000046	Cg007G266640	XP_013591997.1
OG0000048	Cg008G298370	XP_013608599.1, XP_013621007.1, XP_013609935.1, XP_013626973.1
OG0000049	Cg007G255960	XP_013591364.1, XP_013639502.1, XP_013626063.1
OG0000052	Cg006G242960	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000052	Cg003G083820	XP_013635331.1, XP_013635332.1, XP_013635943.1, XP_013615889.1
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	XP_013597073.1, XP_013627758.1, XP_013610732.1
OG0000053	Cg003G084420	XP_013601178.1, XP_013605214.1, XP_013604150.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013628178.1, XP_013585461.1, XP_013615848.1
OG0000054	Cg001G018970	XP_013615014.1
OG0000054	Cg005G189800, Cg005G189790	XP_013595519.1, XP_013611049.1, XP_013601286.1, XP_013624334.1, XP_013639439.1, XP_013614791.1, XP_013632822.1, XP_013594394.1, XP_013616991.1, XP_013633023.1, XP_013624734.1, XP_013607784.1, XP_013615049.1, XP_013583362.1, XP_013601872.1, XP_013617699.1, XP_013624222.1, XP_013617275.1, XP_013630519.1, XP_013594611.1, XP_013632848.1, XP_013632535.1, XP_013584583.1, XP_013633042.1, XP_013594482.1, XP_013632540.1, XP_013607882.1, XP_013589054.1, XP_013622630.1, XP_013589345.1, XP_013601557.1, XP_013588894.1, XP_013624520.1, XP_013632879.1, XP_013589117.1, XP_013617269.1, XP_013624513.1, XP_013623603.1, XP_013632398.1, XP_013639705.1, XP_013606514.1
OG0000055	Cg002G060080	XP_013628196.1
OG0000055	Cg007G248410	XP_013634799.1
