Orthogroup	Cardamine_glauca	Arabidopsis_arenosa
OG0000000	Cg002G062380, Cg002G069090, Cg005G186670	jg2924, jg12072, jg12472
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	jg1749
OG0000000	Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	jg6905
OG0000000	Cg005G186000	jg27064
OG0000003	Cg006G209840	jg14786
OG0000003	Cg005G184670	jg11917
OG0000003	Cg005G182650	jg11918
OG0000005	Cg003G086520	jg17698
OG0000005	Cg008G295320, Cg005G188150	jg1845
OG0000005	Cg003G087270	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113
OG0000005	Cg006G213190	jg21611, jg16911, jg12161, jg12492
OG0000007	Cg003G084380	jg6465
OG0000008	Cg002G060890	jg15069, jg15062, jg15057, jg15054
OG0000012	Cg003G089470, Cg006G226210	jg12454, jg31920
OG0000012	Cg007G260780	jg26946
OG0000015	Cg004G140320	jg21314, jg11868
OG0000017	Cg004G142150	jg32618
OG0000018	Cg003G095700	jg3954, jg701, jg1978, jg32225, jg20321
OG0000018	Cg006G204250, Cg003G087690, Cg003G087660	jg27179
OG0000019	Cg008G308170	jg13651, jg26287
OG0000019	Cg003G084410, Cg008G317890	jg13840
OG0000019	Cg005G182050	jg13839
OG0000021	Cg006G208570	jg17562
OG0000023	Cg001G017560	jg10174
OG0000023	Cg003G082360	jg7515, jg7514
OG0000023	Cg003G082320	jg7521
OG0000023	Cg003G082240	jg7533, jg7537, jg7530
OG0000023	Cg001G017750	jg10191
OG0000023	Cg001G017690	jg10192
OG0000025	Cg001G005300	jg8748, jg8750, jg23436, jg23431, jg23430, jg23437, jg23433, jg21838, jg4646, jg21837, jg4645
OG0000026	Cg005G183380	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349, jg32153, jg20543, jg27936, jg21506, jg1826, jg1637, jg14016, jg1257
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	jg31698, jg31696, jg31707, jg31681, jg31709, jg31711, jg31710, jg31713, jg32093, jg31714, jg2233, jg31669, jg16932, jg16933, jg31705, jg31715
OG0000027	Cg006G213920	jg31708
OG0000027	Cg001G041530	jg33002, jg33003
OG0000027	Cg002G070600	jg31857
OG0000027	Cg006G215350, Cg006G215360	jg31665, jg31668, jg27402, jg18984
OG0000027	Cg002G048550, Cg002G048720	jg14278
OG0000028	Cg001G041970	jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460
OG0000029	Cg006G212710	jg17949
OG0000030	Cg008G322770	jg20585
