Orthogroup	Arabidopsis_thaliana	Alyssum_gmelinii
OG0000004	AT2G22440.1	Ag005G427550
OG0000005	ATMG01250.1	Ag005G402580, Ag007G622540
OG0000005	AT3G27495.1	Ag005G488800
OG0000008	AT5G28780.1	Ag007G652280
OG0000008	AT3G51700.1, AT3G51690.1	Ag001G015890
OG0000013	AT2G06105.1	Ag006G559810
OG0000018	AT3G31925.1	Ag007G609170
OG0000019	AT1G18050.1	Ag003G276070
OG0000019	AT5G15685.1	Ag001G014440, Ag007G613770, Ag002G147220, Ag003G285010, Ag007G642200, Ag006G545350, Ag003G257300, Ag008G690690
OG0000023	AT4G23320.3, AT4G23290.2	Ag006G545600, Ag006G549030
OG0000023	AT4G11460.1, AT4G23260.1, AT4G23250.2	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	AT4G11470.2, AT4G11480.1	Ag002G145570, Ag002G145600
OG0000023	AT4G11530.1	Ag002G145450
OG0000023	AT4G23190.1, AT4G23300.1	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000024	AT2G09388.1	Ag003G257540
OG0000025	AT4G13680.1, AT5G54450.1	Ag003G230310
OG0000031	AT1G62914.1, AT1G62670.1	Ag001G078560, Ag004G386130
OG0000031	AT1G12700.2	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	AT5G41170.1	Ag002G111150, Ag002G107580
OG0000031	AT1G62720.1, AT1G64583.1, AT1G64580.1, AT1G06580.1	Ag004G401670
OG0000033	AT4G23180.1	Ag006G547230, Ag006G549390
OG0000033	AT4G23230.1, AT4G23140.2	Ag006G543630, Ag006G543880
OG0000033	AT4G21410.3	Ag006G564890, Ag003G210460
OG0000033	AT4G23270.3, AT4G23280.1, AT4G23310.1	Ag006G548990
OG0000033	AT4G23130.2	Ag006G547380, Ag006G549570
OG0000033	AT4G05200.2	Ag002G130680, Ag002G130760
OG0000035	AT3G49440.1	Ag006G499210
OG0000035	AT5G65850.1	Ag005G405240, Ag002G183820
OG0000038	AT1G22000.1, AT1G26890.1	Ag001G003660
OG0000038	AT3G53550.1	Ag001G056400
OG0000038	AT1G05080.1	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	AT3G10750.1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000040	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	AT3G13680.1	Ag002G192690, Ag002G188830
OG0000040	AT1G66490.1, AT3G49510.1, AT3G49520.1, AT1G54550.1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	AT3G20030.1, AT5G60560.2	Ag005G446880, Ag005G447100, Ag005G447140
OG0000042	AT3G25720.1	Ag007G610350, Ag001G022920
OG0000042	AT1G50080.1	Ag005G442270
OG0000046	AT4G18250.1	Ag006G575430
OG0000046	AT1G66930.2, AT1G67000.1	Ag002G129690, Ag002G129740
OG0000048	AT3G03820.1	Ag005G486480
OG0000048	AT3G03850.1	Ag005G486620, Ag005G486520
OG0000052	AT2G42460.1	Ag002G194170
OG0000052	AT2G42470.1	Ag002G194250
OG0000052	AT2G42480.1	Ag002G194410, Ag002G194400, Ag002G194390
OG0000054	AT3G30730.2	Ag002G142440, Ag001G038950, Ag008G708750, Ag008G708710, Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080
OG0000055	AT1G61990.1, AT1G61980.1, AT1G61970.1	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	AT3G31430.1	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	AT3G42140.1	Ag002G121000, Ag006G542770
OG0000057	AT2G18780.1	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000057	AT3G16740.1	Ag005G459490
OG0000057	AT3G17620.1	Ag005G459920
OG0000057	AT3G19470.1, AT3G22770.1	Ag003G289060
OG0000061	AT3G30165.1	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000064	AT4G38940.1	Ag003G295980
OG0000066	AT4G40030.2, AT5G10980.1, AT4G40040.1, AT1G75600.1, AT1G13370.1	Ag003G225470
OG0000066	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1	Ag002G125900
OG0000067	AT3G09160.1	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000067	AT5G05430.2	Ag005G407040, Ag005G407080, Ag005G407050
