Orthogroup	Arabidopsis_thaliana	Cardamine_glauca
OG0000004	AT2G22440.1	Cg005G167340
OG0000005	ATMG01250.1	Cg005G185830
OG0000006	AT2G13770.1	Cg006G203530, Cg001G010040
OG0000008	AT5G28780.1	Cg008G312650
OG0000008	AT3G51700.1, AT3G51690.1	Cg002G055170
OG0000019	AT1G18050.1	Cg008G308170
OG0000021	AT1G40390.1, AT1G43760.1	Cg006G208570
OG0000023	AT4G23320.3	Cg001G017560
OG0000023	AT4G11460.1	Cg003G082360
OG0000023	AT4G23250.2	Cg001G017610, Cg001G017600
OG0000023	AT4G23200.1	Cg001G017650
OG0000023	AT4G11530.1	Cg003G082240
OG0000023	AT4G23190.1	Cg001G017690
OG0000025	AT4G13680.1	Cg003G106740
OG0000025	AT5G55870.1	Cg003G102540
OG0000027	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800
OG0000028	AT5G36225.1	Cg001G041970
OG0000031	AT1G63070.1	Cg007G247230, Cg007G246930
OG0000031	AT1G62680.1	Cg007G247710
OG0000031	AT5G41170.1	Cg001G042060
OG0000031	AT3G16710.1	Cg004G133170
OG0000031	AT1G64583.1	Cg007G245660
OG0000033	AT4G23180.1	Cg001G017700
OG0000033	AT4G23230.1, AT4G23140.2	Cg001G017780
OG0000033	AT4G21400.1	Cg001G019620
OG0000033	AT4G21410.3	Cg001G019630
OG0000033	AT4G23310.1	Cg001G017580
OG0000033	AT4G23130.2	Cg001G017790
OG0000033	AT4G05200.2	Cg003G079950, Cg003G094060
OG0000038	AT3G49480.2	Cg002G057430
OG0000038	AT5G52460.1	Cg003G103850
OG0000040	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1	Cg006G217350
OG0000040	AT4G17200.1	Cg005G160040
OG0000040	AT3G20030.1, AT5G60560.2	Cg004G137150
OG0000042	AT3G25720.1	Cg003G083590
OG0000042	AT1G50080.1	Cg008G310640, Cg008G309000
OG0000044	AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1	Cg001G029670
OG0000046	AT4G18250.1	Cg001G022610
OG0000046	AT5G38280.2	Cg001G037990
OG0000046	AT1G66930.2	Cg007G266760
OG0000048	AT3G03850.1	Cg004G119550
OG0000048	AT5G18050.1	Cg008G298400
OG0000048	AT5G18010.1	Cg008G298350
OG0000052	AT2G42460.1	Cg005G163550
OG0000052	AT2G42480.1	Cg005G163540
OG0000054	AT3G30730.2	Cg005G189800, Cg005G189790
OG0000055	AT3G46950.1	Cg002G060080
OG0000055	AT1G61960.1	Cg007G248550
OG0000055	AT1G62110.1	Cg007G248380
OG0000055	AT1G62150.1	Cg007G248360
