Orthogroup	Cochlearia_excelsa	Raphanus_sativus
OG0000000	g3356, g52410, g4299, g19817, g1668, g30531, g8853, g26158, g9313, g15173, g26116, g9299, g5669, g54140, g38581, g15796, g33257, g33230	XP_018466160.1, XP_018473944.1
OG0000000	g33141	XP_018459207.1, XP_018459208.1
OG0000000	g16586, g15065	XP_018487484.1
OG0000000	g33593, g42788, g3560	XP_018435922.1
OG0000000	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176, g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504	XP_018454350.1
OG0000000	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071	XP_018479771.1
OG0000000	g41929, g42717, g42958, g42647, g20498	XP_018456393.1
OG0000000	g48979, g32855, g33220, g3612, g19851, g19846, g42293, g19831, g19868, g3616	XP_018487754.1
OG0000000	g3617	XP_018463541.1
OG0000000	g46951, g33415, g26941	XP_018464654.1, XP_018453711.1
OG0000000	g42096, g33621, g44445, g20884, g43303, g49080, g9170, g3149, g19945, g30072, g35434, g22069, g48662, g14708, g52301, g34799, g38783, g11427, g3085, g53716, g15011, g34255, g25310, g26425, g35625, g52934, g4708, g33713, g53178, g15498, g41538, g5989, g42919, g49115, g49114, g35494, g42604, g20839, g24900, g24984	XP_018467280.1
OG0000000	g3697, g4199, g3305, g33036, g26838, g35215	XP_018464831.1, XP_018459885.1
OG0000000	g4841, g22231, g34516, g34307	XP_018448535.1, XP_018448678.1
OG0000000	g26620, g4470, g21492, g48652, g52367	XP_018459921.1
OG0000000	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	XP_018458866.1
OG0000002	g26238, g91, g25759, g5461, g22857, g4776, g34979, g16823, g16351, g32695, g11929, g28129, g37738, g26240, g26182, g34796, g19117, g42699, g1903	XP_018436084.1
OG0000002	g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227	XP_018436085.1
