Orthogroup	Cochlearia_excelsa	Arabidopsis_arenosa
OG0000000	g16658, g48700, g28585, g48697, g20926, g15557, g42275, g38565, g15527, g8257, g49005, g8925	jg21340
OG0000000	g43381, g1368, g22041, g30161, g30503, g3478, g21442, g8934, g48064, g32795, g39211, g43269, g30373, g14523, g22546, g24983, g14971, g4315, g25877, g32785, g42245, g9295, g34421, g43335, g33600, g42602, g34365, g35496, g35241, g33195, g30362, g30003, g41664, g49210	jg21092
OG0000000	g34594, g8693, g34396, g42237	jg2924, jg12072, jg12472
OG0000000	g8542	jg27456
OG0000000	g8860, g34135, g42650, g21489, g24928, g49072	jg2001
OG0000000	g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622, g26364	jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262
OG0000000	g34753, g25891, g43643, g52519, g34575, g34572, g21397, g33355, g30249, g32910, g22189, g19921, g16275, g35086, g35102, g33126, g42102, g34033, g34767, g3404, g42813	jg17429
OG0000000	g19788, g26543, g3141, g35622, g3985, g26693, g26442, g42189, g43591, g26823, g34869	jg6893, jg23550
OG0000000	g8483, g19797, g3697, g4199, g3305, g33036, g26838, g35215, g4841, g22231, g34516, g34307, g36940, g30064, g9246, g16755	jg42
OG0000000	g19951, g32653, g34565, g14368, g48258	jg17418
OG0000000	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	jg16482, jg16492
OG0000000	g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287	jg27064
OG0000002	g17598, g51597, g28460, g25506, g14097, g4778, g53950	jg27118
OG0000003	g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558	jg14786
OG0000003	g16106, g21595	jg1672
OG0000003	g21727, g8684	jg11918
OG0000004	g31046, g53414, g36791, g18495	jg17252
OG0000004	g42097, g41297, g24112, g31979, g17136, g25958, g25963, g36901, g52887, g2537, g48210, g53103, g41102, g52585, g51512, g35331, g17773, g42634, g39612, g1968, g10247, g52913, g10640, g36272, g53835, g11809, g16248, g25088, g34228, g25325, g35012, g43391, g51567, g39820, g53930, g25678, g32406, g30140, g42743, g43491, g46292, g5096, g22548, g39581, g13962, g36499, g42759, g10639, g27558, g45059, g29019, g28838, g26174, g47720, g23412, g53102, g25957, g25962, g53418, g4285, g41471, g53645, g14079, g48508, g20088, g38441, g18608, g25306, g42226, g42241, g42207, g37556, g16487, g3215, g24517, g26840, g25601, g54046, g36858, g4615, g36408, g23455, g43652, g3086, g24113, g70	jg27616
OG0000005	g44250	jg12267, jg12278
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	jg1846, jg6872, jg23533
OG0000005	g43359	jg13854, jg1845, jg4267, jg10505
OG0000005	g4402	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113
OG0000005	g43360	jg27468
OG0000007	g45448	jg32942
OG0000007	g22659	jg11905
OG0000007	g4482, g23875	jg14512, jg5404, jg7218, jg32933, jg21574
OG0000008	g49591	jg20324
OG0000010	g43027, g35985	jg11731
OG0000011	g42924	jg27080, jg13807
OG0000011	g26075, g4219, g9033	jg27079
OG0000012	g6328	jg12454, jg31920
OG0000012	g21395	jg1757, jg32331, jg12319, jg3735
OG0000012	g34756	jg32597
OG0000012	g3443, g34444, g34449	jg7019, jg10010, jg11974, jg21172, jg12128, jg11895, jg21243, jg32109, jg17207, jg1599
OG0000013	g24947, g35918, g53893, g41958	jg11978
OG0000014	g53053, g15956, g36000, g14332	jg16959
OG0000014	g17907, g43443, g40836, g15958, g51640, g52235	jg22974
OG0000014	g4147, g48939	jg18640
OG0000015	g42099	jg32444
OG0000015	g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567	jg11869
OG0000015	g10054	jg27710
OG0000015	g26108, g43718, g42171, g26614, g12285	jg21314, jg11868
OG0000015	g35684	jg6954
OG0000017	g5712, g5713	jg6965
OG0000017	g3672, g32994, g27829, g41994	jg7335
OG0000017	g3669, g48346, g48867	jg11431
OG0000017	g4186	jg27353
OG0000017	g14557, g17020, g39315	jg1560
OG0000017	g41997, g33121, g3359, g6214	jg6883
OG0000017	g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979	jg1901, jg1479, jg11614, jg32221, jg11780, jg21044, jg1480, jg14690, jg6982
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069	jg4400, jg32393, jg11989, jg32560, jg26774
OG0000018	g14567, g33125, g25750	jg25715
OG0000019	g36529, g42561, g14492, g51080, g41576	jg13651
OG0000019	g16592, g1020, g46208, g40680, g40322, g46628, g9756	jg26287
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	jg13838, jg27639, jg22122, jg16702
OG0000019	g6080, g43707, g18316, g27825, g2481, g24975	jg13839
OG0000019	g2721, g18071, g42559	jg13487, jg13649, jg11481, jg20674
OG0000020	g20915	jg21068
OG0000020	g25930, g51375	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520
OG0000020	g7451	jg27186
OG0000021	g14063	jg17562
