Orthogroup	Cochlearia_excelsa	Cardamine_amara
OG0000000	g8658, g33256, g11635, g52490, g26594, g26034, g8926, g1669, g8852	evm.model.RL_7.1
OG0000000	g34220, g52830, g15932, g1377, g34249	evm.model.RL_6.432
OG0000000	g16658, g48700, g28585, g48697, g20926, g15557, g42275, g38565, g15527, g8257, g49005, g8925	evm.model.RL_3.1962
OG0000000	g33365, g33163	evm.model.RL_6.1375
OG0000000	g48658, g32763	evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405
OG0000000	g34021, g33293, g26443, g3622, g35407, g2952, g33829, g15061, g43736	evm.model.RL_2.714
OG0000000	g34973, g34594, g8693, g34396, g42237	evm.model.RL_3.245
OG0000000	g26514, g43905, g42346, g48009	evm.model.RL_3.1103
OG0000000	g16751, g15742, g35060, g52726, g32489, g53010, g4267, g15499, g33620, g26661, g8013	evm.model.RL_8.1073
OG0000000	g10043, g968, g4060, g32938, g42541, g48338, g14996, g43379, g52640, g42248, g4445, g8204, g5037	evm.model.RL_3.693
OG0000000	g19951	evm.model.RL_2.738
OG0000000	g32653, g34565, g14368	evm.model.RL_4.733
OG0000000	g48258	evm.model.RL_1.3301
OG0000000	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	evm.model.RL_8.1072
OG0000000	g16215	evm.model.RL_7.1901, evm.model.RL_2.681
OG0000002	g1903	evm.model.RL_5.2510, evm.model.RL_3.454
OG0000002	g35474	evm.model.RL_1.3300, evm.model.RL_1.3293
OG0000002	g51595, g22499, g38313, g49645	evm.model.RL_1.3299
OG0000002	g28460	evm.model.RL_7.2065
OG0000002	g36079	evm.model.RL_2.2031
OG0000002	g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607
OG0000003	g3918, g36376, g25688, g7971	evm.model.RL_8.1049
OG0000003	g14590, g14600, g9490, g15161	evm.model.RL_6.672
OG0000003	g36078	evm.model.RL_2.1084
OG0000003	g26606, g8533, g35008	evm.model.RL_1.2632
OG0000003	g38946, g30982, g38749	evm.model.RL_5.2489
OG0000003	g20074	evm.model.RL_2.684, evm.model.RL_3.815, evm.model.RL_5.2488
OG0000003	g16106, g21595	evm.model.RL_6.633
OG0000003	g8364, g30181, g15105, g19836, g34664, g34657, g34660, g9423, g9443, g48369, g39153	evm.model.RL_5.2494
OG0000003	g33901, g33983, g34112, g42538, g25312, g15593, g42395	evm.model.RL_3.768
OG0000003	g53525, g41900, g41972	evm.model.RL_6.1194
OG0000003	g45643	evm.model.RL_2.548
OG0000003	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560	evm.model.RL_2.708
OG0000003	g38715	evm.model.RL_5.2504
OG0000003	g21626, g21658, g15405, g9357, g42284, g8878, g15438, g21629, g14823	evm.model.RL_6.652
OG0000003	g21330, g20421, g48386, g8588, g16442	evm.model.RL_1.2635
OG0000003	g9440	evm.model.RL_5.2495, evm.model.RL_5.2496, evm.model.RL_1.2659, evm.model.RL_1.2653, evm.model.RL_1.2637
OG0000003	g48250, g7968, g53646, g21207, g42483, g22559, g3632	evm.model.RL_1.2661, evm.model.RL_1.2660, evm.model.RL_2.686
OG0000003	g34632, g8186, g30075, g42471	evm.model.RL_2.668
OG0000003	g19890, g26435, g33523, g34553, g30141	evm.model.RL_3.810
OG0000003	g8684	evm.model.RL_1.2633
OG0000004	g43468, g53079, g36758	evm.model.RL_2.401
OG0000004	g44562, g51061, g1238, g44545, g28474, g44506, g5899, g23419, g2263, g52921, g13894, g34861, g19097, g29058	evm.model.RL_2.402
OG0000005	g22668, g39670, g49313, g181, g25460	evm.model.RL_2.1105
OG0000005	g50155, g5748, g1727	evm.model.RL_1.1903
OG0000005	g43359	evm.model.RL_1.3117
OG0000005	g4402	evm.model.RL_2.461
OG0000006	g24749, g9677	evm.model.RL_1.817, evm.model.RL_2.785
OG0000006	g4635	evm.model.RL_7.1936, evm.model.RL_4.552
OG0000007	g18049, g47718	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223
OG0000008	g52586	evm.model.RL_7.2148, evm.model.RL_2.761
OG0000008	g26783, g43762, g4391, g33124, g29630, g27680	evm.model.RL_4.1914
OG0000010	g26448, g14316	evm.model.RL_7.2083, evm.model.RL_3.1061, evm.model.RL_2.724, evm.model.RL_2.751, evm.model.RL_2.615, evm.model.RL_2.220, evm.model.RL_7.2000, evm.model.RL_3.814, evm.model.RL_7.1970
OG0000010	g47252, g39500, g24132, g5068, g50920	evm.model.RL_6.734, evm.model.RL_8.1076
OG0000010	g43027, g35985	evm.model.RL_2.396
OG0000010	g18104, g51018, g13739, g18387, g3879, g33646, g3728, g41337, g35458, g52306, g43939	evm.model.RL_5.2483
OG0000010	g2094	evm.model.RL_5.2484
OG0000010	g43026	evm.model.RL_4.113
OG0000010	g4565	evm.model.RL_1.2671, evm.model.RL_2.783
OG0000010	g44037, g41767, g15819, g45989, g19859, g27951, g17344	evm.model.RL_8.1074
OG0000010	g52428	evm.model.RL_2.395
OG0000012	g6328, g21395	evm.model.RL_4.165
OG0000012	g22633, g29934, g15083, g22215, g22629, g22646, g15076, g22641, g29927, g22634, g29918, g22636, g22650, g22626, g22643, g29930, g22625, g34876	evm.model.RL_7.2040
OG0000012	g52731	evm.model.RL_2.748
OG0000012	g42216, g42233	evm.model.RL_2.3
OG0000013	g11188, g45668, g27319	evm.model.RL_3.673
OG0000013	g52356	evm.model.RL_6.609
OG0000013	g24947, g35918, g53893, g41958	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397
OG0000014	g10989	evm.model.RL_3.2282
OG0000014	g35462, g22865, g25239, g2403, g43444, g14684, g51667, g10636, g1971, g16696, g10635, g10250, g28380, g40837, g27277, g11042, g6703, g5857, g12182, g17733, g4522, g4817, g28381, g10251, g5946, g32004, g44051, g39722, g1567, g16864	evm.model.RL_1.2917
OG0000014	g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584	evm.model.RL_3.2283
OG0000014	g51640, g52235	evm.model.RL_3.2284
OG0000014	g43420, g26664, g36987, g53052	evm.model.RL_7.2497
OG0000015	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863, g35813, g36776, g26230, g26256, g43592, g5557	evm.model.RL_4.1006
OG0000015	g53567	evm.model.RL_1.3215
OG0000015	g15603, g23354, g2748	evm.model.RL_7.2535
OG0000015	g35217, g34684, g25292, g7329, g39702	evm.model.RL_2.1121
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	evm.model.RL_8.879
OG0000015	g27728, g36346, g32986, g8573	evm.model.RL_4.1007
OG0000017	g18079, g4346, g43594, g39831, g34285	evm.model.RL_2.1821
OG0000017	g14557, g17020, g39315	evm.model.RL_6.717
OG0000017	g41997, g33121, g3359, g6214	evm.model.RL_7.1516
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069	evm.model.RL_4.1915, evm.model.RL_6.190
OG0000018	g33471, g14567, g33125, g25750	evm.model.RL_7.1872
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	evm.model.RL_7.2268
OG0000020	g49592	evm.model.RL_8.674
OG0000020	g8229	evm.model.RL_8.1178
OG0000020	g35344	evm.model.RL_7.1677, evm.model.RL_7.2128
OG0000020	g32772, g14852, g5354, g15953, g41695, g3939, g16600, g31991, g27855, g16029, g32780, g16316, g34338, g35298, g27173, g4384, g8228, g32773, g14853, g1941, g35021, g27176, g4006, g15963, g4751, g26227	evm.model.RL_2.3364
OG0000020	g26122	evm.model.RL_7.2129
