Orthogroup	Cochlearia_excelsa	Brassica_oleracea
OG0000000	g3356, g52410, g4299, g19817	XP_013624193.1
OG0000000	g1668, g30531, g8853	XP_013624132.1, XP_013639070.1, XP_013633191.1
OG0000000	g42971, g27882	XP_013624387.1, XP_013624852.1, XP_013633000.1
OG0000000	g33141	XP_013624469.1, XP_013632641.1, XP_013614693.1
OG0000000	g43381, g1368, g22041	XP_013594448.1
OG0000000	g30161, g30503, g3478, g21442, g8934, g48064, g32795, g39211, g43269, g30373, g14523, g22546, g24983, g14971, g4315, g25877, g32785, g42245, g9295, g34421, g43335, g33600, g42602, g34365, g35496, g35241, g33195, g30362, g30003	XP_013633089.1
OG0000000	g15021, g14313, g26667	XP_013639729.1, XP_013583420.1
OG0000000	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071	XP_013639281.1
OG0000000	g4107, g4095	XP_013601721.1
OG0000000	g33220, g3612	XP_013624916.1
OG0000000	g3617	XP_013594857.1, XP_013601901.1
OG0000000	g46951, g33415, g26941	XP_013632935.1, XP_013608060.1
OG0000000	g3697, g4199, g3305, g33036, g26838, g35215	XP_013617848.1
OG0000000	g4841, g22231, g34516, g34307	XP_013617837.1
OG0000000	g26620, g4470, g21492, g48652, g52367	XP_013616947.1
OG0000000	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	XP_013639843.1
OG0000000	g42663, g35498	XP_013601618.1
OG0000000	g16215	XP_013587282.1
OG0000002	g19117, g42699	XP_013617415.1
OG0000002	g1903	XP_013613445.1, XP_013624612.1
OG0000002	g35474	XP_013632468.1
OG0000002	g48969	XP_013617483.1, XP_013617539.1
OG0000002	g43961, g37679, g4011, g51790, g16350	XP_013639626.1
OG0000002	g28460	XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1
OG0000002	g53784, g34980	XP_013617388.1, XP_013614913.1, XP_013594575.1, XP_013632753.1, XP_013601334.1, XP_013617681.1, XP_013594565.1, XP_013617314.1, XP_013624471.1, XP_013628799.1, XP_013614663.1, XP_013614632.1, XP_013639584.1, XP_013594875.1, XP_013633334.1, XP_013617422.1, XP_013630619.1, XP_013629057.1, XP_013639563.1, XP_013617504.1, XP_013615062.1, XP_013589138.1, XP_013614638.1, XP_013589574.1, XP_013617294.1, XP_013617221.1, XP_013607692.1, XP_013617715.1, XP_013615241.1, XP_013629770.1, XP_013616926.1, XP_013608095.1, XP_013639504.1, XP_013624879.1, XP_013632894.1, XP_013601080.1, XP_013594822.1, XP_013639686.1, XP_013624189.1, XP_013614171.1, XP_013627007.1, XP_013614194.1, XP_013624889.1, XP_013617190.1, XP_013632734.1, XP_013613743.1, XP_013617774.1, XP_013614633.1, XP_013601115.1, XP_013594539.1, XP_013617626.1, XP_013589610.1, XP_013632851.1, XP_013624497.1, XP_013583360.1, XP_013632797.1
OG0000002	g26461	XP_013589153.1
OG0000003	g10483	XP_013624018.1
OG0000003	g36078	XP_013626656.1, XP_013589417.1
OG0000003	g35024, g42010	XP_013639462.1
OG0000003	g53526, g35068	XP_013624390.1
OG0000003	g36656	XP_013601267.1
OG0000003	g46847, g52100, g12379	XP_013617299.1, XP_013617697.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013601292.1, XP_013624493.1
OG0000003	g34343, g34347, g42612	XP_013601768.1
OG0000003	g3007	XP_013632538.1, XP_013624806.1, XP_013639428.1, XP_013607867.1, XP_013615207.1
OG0000003	g19913, g14065	XP_013624595.1
OG0000003	g52866	XP_013633002.1
OG0000003	g25223	XP_013614810.1
OG0000003	g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805	XP_013601450.1
OG0000003	g41900, g41972	XP_013613453.1
OG0000003	g15922	XP_013601099.1
OG0000003	g14576	XP_013624826.1
OG0000003	g12377	XP_013624578.1
OG0000003	g4552	XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1, XP_013639546.1
OG0000003	g34342	XP_013615225.1
OG0000003	g17827, g18936	XP_013639656.1
OG0000003	g41143	XP_013590083.1, XP_013594487.1, XP_013615216.1, XP_013589558.1, XP_013589160.1
OG0000003	g45643	XP_013599594.1
OG0000003	g21043, g21430, g20482, g33723, g20039, g8413, g21011, g34716, g35854, g20765, g15434, g39083, g9494, g38857, g21250, g34167, g20489, g38810, g24943, g34165, g24761, g19816, g43672, g20027, g48040, g20508, g20015, g35092, g20945, g20464, g20029, g9457, g38874, g9378, g39004, g21001, g20545, g9552, g21258, g22061, g25147, g6066	XP_013605027.1
OG0000003	g21054, g49855, g48912, g42470, g38715	XP_013624301.1
OG0000003	g15438, g21629	XP_013616730.1
OG0000003	g15422, g52461, g39056	XP_013628485.1, XP_013601164.1
OG0000003	g33707, g26603	XP_013624657.1
OG0000003	g21259, g39189	XP_013613865.1
OG0000003	g24932, g6068, g34187	XP_013624627.1
OG0000003	g33704, g36951, g8532, g9434, g41752, g35824, g19660	XP_013628848.1, XP_013632777.1
OG0000003	g4529, g49092, g38820	XP_013639715.1, XP_013639588.1, XP_013624597.1
OG0000003	g3653, g9495	XP_013583381.1
OG0000003	g36810	XP_013589090.1
OG0000003	g8684	XP_013639562.1
OG0000004	g10434, g43405, g12783, g14416, g3096	XP_013601024.1, XP_013639767.1
OG0000004	g31287	XP_013633199.1, XP_013608522.1
OG0000004	g25914	XP_013623358.1
OG0000004	g51566	XP_013624623.1
OG0000004	g32052, g40877	XP_013608309.1
OG0000004	g40054	XP_013594561.1
OG0000005	g44957, g41488, g4394, g4401, g11275, g53238	XP_013589654.1, XP_013633488.1, XP_013588992.1, XP_013601782.1, XP_013589640.1, XP_013595158.1, XP_013608540.1, XP_013633284.1
OG0000005	g22668, g39670, g49313, g181, g25460	XP_013614431.1
OG0000005	g9848, g44251	XP_013594815.1, XP_013613616.1
OG0000005	g22013	XP_013627264.1, XP_013635272.1, XP_013633205.1, XP_013607452.1, XP_013589362.1, XP_013614191.1, XP_013630471.1
OG0000005	g32059, g53845	XP_013595203.1
OG0000005	g10582	XP_013583375.1
OG0000005	g43359	XP_013632594.1
OG0000005	g4402	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1
OG0000005	g11774, g4396	XP_013601519.1, XP_013616941.1, XP_013639093.1, XP_013589256.1
OG0000005	g43360	XP_013594364.1, XP_013633351.1
OG0000006	g4033, g47006, g40546, g42738, g32471	XP_013632912.1
OG0000006	g41913, g42739	XP_013633055.1
OG0000006	g24749, g9677	XP_013632892.1
OG0000006	g9032, g4218	XP_013617022.1
OG0000006	g11663, g32442	XP_013632874.1, XP_013601472.1, XP_013594005.1
OG0000006	g4635	XP_013639708.1, XP_013632751.1, XP_013614260.1, XP_013624837.1, XP_013589419.1
OG0000006	g40547	XP_013594807.1
OG0000007	g45448	XP_013595033.1, XP_013616899.1
OG0000007	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316	XP_013595032.1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	XP_013615253.1
OG0000007	g4482, g23875	XP_013631219.1
OG0000008	g25872	XP_013639786.1
OG0000008	g52586	XP_013629664.1
OG0000008	g34273, g35255	XP_013601568.1, XP_013594960.1
OG0000008	g26783	XP_013608259.1, XP_013614821.1
OG0000008	g26784, g43729, g37068	XP_013624474.1
OG0000008	g33123	XP_013624694.1
OG0000008	g13991	XP_013639167.1, XP_013633438.1, XP_013594703.1, XP_013639704.1, XP_013583429.1, XP_013612199.1, XP_013594705.1, XP_013615146.1
OG0000008	g4392	XP_013615550.1
OG0000010	g35163, g21346, g4256, g14841, g35105, g53994, g48055, g21528, g3243, g30443, g48036, g47252, g39500, g24132, g5068, g50920	XP_013613442.1, XP_013608075.1
OG0000010	g25117, g15788, g50988, g43743, g18001	XP_013595642.1, XP_013639554.1
OG0000010	g18104, g51018, g13739, g18387, g3879, g33646, g3728, g41337, g35458, g52306, g43939	XP_013613790.1, XP_013617479.1, XP_013608098.1
OG0000010	g8241, g18650, g26348	XP_013632903.1
OG0000010	g33262	XP_013601086.1
OG0000010	g2094	XP_013607832.1
OG0000010	g28227	XP_013626759.1
OG0000010	g53109, g48054	XP_013616976.1
OG0000010	g26675, g32792	XP_013602381.1
OG0000010	g50938, g49741, g18847, g40897, g22677, g24884	XP_013613796.1
OG0000010	g41825, g42652, g16305, g1432, g43041, g21437	XP_013624494.1
OG0000010	g30462	XP_013594557.1
OG0000010	g25611, g42724, g21558, g24842, g4696, g16438, g14613, g21436, g43840, g44712, g16683, g42926, g35691, g30752, g14081, g41484, g8779, g14842, g11190, g17572, g53675, g54116, g54113, g54241, g6234, g53260, g44812, g24010, g44192, g3068, g39175, g28023, g4887, g47228, g8005, g26725, g35833, g35518, g53673, g3069, g17573, g3504, g9319, g53408, g28022, g39176, g53409, g26698, g35837, g41542, g11588, g8003, g9317, g30067, g3926, g53883, g8253, g20317, g4255, g34376, g4388, g33604, g17636	XP_013624744.1
OG0000011	g42924	XP_013589318.1, XP_013617880.1, XP_013594971.1, XP_013633088.1, XP_013616799.1, XP_013639268.1, XP_013632776.1, XP_013632771.1
OG0000011	g41912	XP_013626733.1
OG0000011	g24832, g50752, g1458, g52713, g37833, g16484	XP_013632980.1, XP_013632658.1, XP_013601976.1, XP_013615145.1, XP_013639263.1, XP_013623879.1, XP_013617543.1
