Orthogroup	Cochlearia_excelsa	Capsella_rubella
OG0000000	g42971, g27882	XP_023638874.1
OG0000000	g16658, g48700, g28585, g48697, g20926, g15557, g42275, g38565, g15527, g8257, g49005, g8925, g33141, g33365, g33163	XP_023632701.1
OG0000000	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176, g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504, g4171, g14802, g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622, g26364, g3780, g17945, g33478, g11402, g42267	XP_023639960.1
OG0000000	g46951, g33415, g26941	XP_023639601.1
OG0000000	g26369, g53691, g29897, g17778, g52768, g3993, g34250, g49067, g39618, g21507, g33660, g48079, g36483, g14733, g38645, g35277, g16169, g53172	XP_023641956.1
OG0000002	g43921, g32761, g36765, g14069, g17547, g14322, g41536, g45709, g24274, g47656, g12054, g47868, g1902, g19537, g26066, g35225, g28127, g22356, g22360, g22520, g44403, g12891, g44628, g35850, g4203, g35639, g26118, g50077, g31091, g4823, g32236, g44742, g2225, g49283, g24145, g22362, g11797, g37739, g31863, g39437, g26239	XP_023640941.1
OG0000002	g22299, g22517, g35849, g15943, g22279, g17546, g39920, g50076, g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989, g16867, g54126, g32227, g12708, g12890, g2531, g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753	XP_023638855.1
OG0000003	g34343, g34347, g42612, g3007	XP_023640321.1
OG0000003	g41973	XP_023639598.1
OG0000003	g33680, g9355, g15407, g21631, g38950, g34586, g21782, g21660, g39023, g15482, g21883, g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805	XP_023639625.1
OG0000003	g8668	XP_023634510.1
OG0000003	g4552	XP_023638126.1
OG0000003	g41143	XP_023633682.1
OG0000003	g21054, g49855, g48912, g42470, g38715	XP_023636063.1
OG0000003	g21626, g21658, g15405, g9357, g42284, g8878, g15438, g21629, g14823	XP_023643044.1
OG0000003	g15422, g52461, g39056	XP_023642453.1
OG0000004	g31287	XP_023633818.1
OG0000004	g2536, g39580	XP_023639065.1
OG0000004	g36335	XP_023643231.1
OG0000004	g53040	XP_023633877.1
OG0000005	g36068	XP_023641325.1
OG0000005	g9847, g53582	XP_023639354.1
OG0000005	g35969, g32059, g53845	XP_023644435.1, XP_023644436.1
OG0000005	g10582	XP_023634342.1
OG0000005	g43360	XP_023640809.1
OG0000006	g41913, g42739	XP_023643663.1
OG0000006	g4635	XP_023640317.1
OG0000006	g35540, g24723, g1457, g1504, g5172	XP_023635150.1
OG0000006	g5266	XP_023634518.1, XP_023644453.1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	XP_023633451.1
OG0000008	g27813	XP_023633645.1
OG0000008	g26783	XP_023641963.1
OG0000008	g43762, g4391, g33124, g29630, g27680	XP_023633617.1
OG0000008	g26784, g43729, g37068, g49593	XP_006299996.2
OG0000008	g25554, g12608, g36094, g19408	XP_006300347.2, XP_006279329.2, XP_023644459.1, XP_023634290.1, XP_006304508.2, XP_023640337.1, XP_023644475.1, XP_023633664.1, XP_023642844.1
OG0000008	g11343	XP_023633344.1
OG0000010	g2094	XP_023639612.1
OG0000010	g53601, g53295	XP_023634279.1, XP_023638462.1
OG0000010	g14831, g34423, g35491, g35669, g35087, g35755, g18651, g26611, g4943, g52427, g52674, g21529, g41485, g33235, g36341, g8788, g16258, g52347, g35846, g35744, g30444, g14379, g42953, g14356, g14384, g52404, g17805, g25898, g25814, g30464, g35692, g16617, g9281, g32574, g26347, g32793, g35940, g14826, g7994, g49794, g8736, g4606, g33305, g14815, g34293, g14527, g14496, g14517, g14547, g14537, g11187, g16004, g53096, g14905, g53882, g22487, g35355, g4138, g42653, g16383, g53565, g43940, g30053, g4300, g16405, g16306, g25793, g26674, g48962, g8176, g30713, g21148, g21439, g22288, g16078, g52575, g42688, g53174, g49808, g18274, g39499, g12078, g35616, g50919, g24841, g33516, g27931, g19968, g46898, g24737, g1435, g4281, g11525, g30755, g47267, g13624, g15004, g21561, g16231, g25610, g53953, g24133, g5069, g6129, g43741, g18000, g35457, g1379, g18846, g35661, g42731, g26143, g18595, g43148, g35809, g16137, g34943, g43958, g3907, g43037, g19791, g52909, g16014, g4016, g43535, g4183, g33671, g41787, g41846, g43093, g53227, g43201, g4531, g16664, g33603, g14840, g43003, g4520, g52875, g24630, g26742, g52545, g53459, g3878, g21347, g41826, g18386, g3729, g13559, g3050, g16142, g44064, g25878, g20318, g15860, g36237, g50939, g25736, g30068, g18103, g14080, g41336, g27919, g3037, g33261, g25224, g28146, g53461, g17330, g43038, g43841, g24783, g17957, g10083, g33273, g44036, g3444, g6177, g25144, g15533, g22676, g52662, g49032, g19839, g12644, g27320, g24782, g24931, g1434, g4257, g2095, g35984, g45228, g14612, g42927, g25054, g53995, g45988, g42723, g37170, g13740, g50987, g44719, g14315, g44935, g40898, g35162, g46753, g17634, g44711, g42947, g14694, g30462, g52428	XP_023636068.1
OG0000010	g34324, g14220, g3040, g52357	XP_023644214.1
OG0000011	g42924	XP_023645773.1, XP_023636126.1
OG0000012	g15121	XP_023636242.1
OG0000012	g15122, g44912	XP_023636237.1
OG0000013	g52620, g48035, g4139, g16474	XP_023644225.1
OG0000013	g52356	XP_023638853.1
OG0000014	g53053, g15956, g36000, g14332	XP_023638088.1
OG0000014	g37854, g44201, g25623	XP_023641911.1
OG0000014	g15957, g36628, g15947, g35046, g34969, g44092, g17909, g17916	XP_023636039.1
OG0000014	g43483, g43482, g50927, g53476, g50930, g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584, g25627	XP_023636038.1
OG0000015	g23355, g634	XP_023644452.1
OG0000017	g5712, g5713	XP_023640323.1
OG0000017	g4190, g3679, g33003	XP_023638851.1, XP_023638850.1
OG0000017	g34543, g3669, g48346, g48867, g4186, g8266, g18079, g4346, g43594, g39831, g34285, g14580, g11710, g15029, g42252, g42255, g27048, g41999, g23596, g2978, g14557, g17020, g39315	XP_006302668.2
OG0000017	g41997, g33121, g3359, g6214	XP_023636109.1
OG0000017	g49587, g25192, g31804, g25430, g49408, g2974, g53154, g46949, g43284, g4232, g36899, g2975, g21115, g46328, g31759, g19143, g51013, g17279, g1555, g46224, g35267, g34284, g6170, g31341, g9914, g35675, g23910, g6802, g4158, g33390, g4583, g24610, g25001, g1556, g34853, g4345, g51012, g14558, g19142, g29187, g49407, g42003, g53153, g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1
