Orthogroup	Cochlearia_excelsa	Brassica_rapa
OG0000000	g42971, g27882	XP_033129333.1
OG0000000	g34220, g52830, g15932, g1377, g34249	XP_033131490.1
OG0000000	g26033	XP_033130947.1
OG0000000	g33593, g42788, g3560	XP_033138897.1
OG0000000	g24983, g14971, g4315, g25877, g32785, g42245, g9295, g34421, g43335, g33600, g42602, g34365, g35496, g35241, g33195, g30362, g30003	XP_033139509.1, XP_033139502.1, XP_033139347.1
OG0000000	g15021, g14313, g26667	XP_033139403.1, XP_033134206.1, XP_033139196.1, XP_033129935.1, XP_033134263.1, XP_033133987.1
OG0000000	g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504	XP_033142456.1
OG0000000	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071	XP_033131609.1
OG0000000	g33220, g3612	XP_033128562.1
OG0000000	g19851, g19846, g42293, g19831, g19868, g3616	XP_018511638.2
OG0000000	g26514, g43905, g42346, g48009	XP_033132417.1
OG0000000	g3697, g4199, g3305, g33036, g26838, g35215	XP_033141158.1
OG0000000	g43020, g17839, g3760, g25775, g53118, g25015, g4429, g35899	XP_033147468.1
OG0000000	g26620, g4470, g21492, g48652, g52367	XP_033140624.1, XP_033129388.1, XP_033130766.1
OG0000000	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1
OG0000002	g35474	XP_033138748.1
OG0000002	g53784, g34980	XP_033142691.1, XP_033144451.1, XP_009118913.2, XP_033131815.1, XP_033139172.1, XP_033147366.1, XP_033134169.1, XP_033148076.1, XP_033134986.1, XP_009123785.2, XP_033128755.1, XP_033148549.1, XP_033134214.1, XP_033135851.1, XP_033147588.1, XP_033138789.1, XP_033134367.1, XP_033136957.1, XP_033143541.1, XP_033148879.1, XP_033129436.1, XP_033136250.1, XP_033134280.1, XP_033139166.1, XP_033139102.1, XP_033129425.1, XP_033138881.1, XP_033129376.1, XP_033139223.1, XP_033129408.1
OG0000003	g36078, g35024, g42010, g53526, g35068	XP_033147287.1
OG0000003	g36656, g46847, g52100, g12379	XP_018514447.1
OG0000003	g3007	XP_033148793.1, XP_033144892.1, XP_018511976.2
OG0000003	g49126	XP_033147058.1
OG0000003	g41900, g41972	XP_009113007.1
OG0000003	g48040, g20508, g20015, g35092, g20945	XP_033139130.1
OG0000003	g15422, g52461, g39056	XP_033139287.1, XP_033139528.1, XP_033141136.1, XP_033139526.1, XP_033139499.1, XP_033139354.1, XP_033139242.1, XP_033139222.1, XP_033138902.1, XP_033139368.1, XP_033139289.1, XP_033139427.1, XP_033139498.1, XP_033139424.1
OG0000003	g33707, g26603, g21259, g39189	XP_033134418.1
OG0000003	g25996, g15300, g35009, g36811, g15547, g19815, g43673, g35853	XP_033139330.1
OG0000003	g48110, g21278, g20466	XP_033139207.1, XP_033131095.1
OG0000003	g4529, g49092, g38820	XP_033139140.1, XP_033139380.1, XP_033139238.1
OG0000003	g8684	XP_033139261.1
OG0000003	g20618, g30193, g21406, g42425, g33817, g15177	XP_033141152.1
OG0000004	g36856	XP_033130110.1
OG0000004	g32052, g40877	XP_033142250.1
OG0000004	g40054	XP_033140697.1
OG0000005	g44957, g41488, g4394, g4401, g11275, g53238	XP_009102722.2, XP_009113005.2, XP_033131870.1, XP_009135550.2, XP_033134013.1, XP_009146774.1, XP_009139318.2, XP_009124848.1, XP_009140864.1, XP_018509100.1, XP_009129720.1, XP_009122880.1, XP_018513613.1, XP_009147334.1, XP_009117702.1
OG0000005	g22668, g39670, g49313, g181, g25460	XP_033128715.1
OG0000005	g44061, g30358, g31394, g54192, g43888, g3832, g32288, g54233, g4, g38135, g43677, g53580, g9848, g44251	XP_018515150.1
OG0000005	g50155, g5748, g1727	XP_009117682.2
OG0000005	g22013	XP_033139816.1, XP_009110782.1
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	XP_033141077.1, XP_009142536.1, XP_009111228.2
OG0000005	g10582	XP_033132529.1
OG0000006	g16483	XP_033143314.1
OG0000006	g51769, g50470, g45886	XP_033131850.1, XP_033128723.1, XP_033132443.1
OG0000006	g35394	XP_033147435.1
OG0000006	g35540, g24723, g1457, g1504, g5172	XP_033131877.1
OG0000007	g13385	XP_033143372.1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	XP_033129351.1, XP_009117187.1
OG0000008	g24450, g27833, g3220, g44274	XP_033147243.1
OG0000008	g26783	XP_033145226.1
OG0000008	g4483	XP_033137451.1
OG0000008	g11343	XP_033138353.1
OG0000008	g33123	XP_033131793.1
OG0000008	g13991	XP_033147955.1, XP_033146635.1
OG0000008	g4392	XP_033131438.1
OG0000010	g35163, g21346, g4256, g14841, g35105, g53994, g48055, g21528, g3243, g30443, g48036, g47252, g39500, g24132, g5068, g50920	XP_033143861.1, XP_033137204.1
OG0000010	g25117, g15788, g50988, g43743, g18001	XP_033138101.1
OG0000010	g43027, g35985, g18104, g51018, g13739, g18387, g3879, g33646, g3728, g41337, g35458, g52306, g43939	XP_033143393.1
OG0000010	g28227, g52910	XP_033138986.1
OG0000010	g42970, g35986, g4942, g43036, g52307, g16140, g44004, g36351, g44065	XP_033136960.1, XP_033131254.1
OG0000010	g30462	XP_033136253.1
OG0000011	g42924	XP_033131635.1
OG0000011	g41912	XP_009107541.1
OG0000011	g24832, g50752, g1458, g52713, g37833, g16484	XP_033131837.1
OG0000011	g26075, g4219, g9033	XP_009150017.2
OG0000012	g14801, g15067	XP_033131374.1
OG0000012	g15121, g53561	XP_033134299.1
OG0000012	g9298	XP_033132919.1, XP_033130737.1
OG0000012	g22633, g29934, g15083, g22215, g22629, g22646, g15076, g22641, g29927, g22634, g29918, g22636, g22650, g22626, g22643, g29930, g22625, g34876	XP_033139020.1
OG0000013	g52620, g48035	XP_033134274.1, XP_033135796.1
OG0000013	g24947, g35918, g53893, g41958	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1
OG0000014	g37854, g44201, g25623	XP_033139578.1
OG0000014	g15957, g36628, g15947, g35046	XP_009124358.2
OG0000014	g34969, g44092, g17909, g17916	XP_009144677.1
OG0000014	g14522, g36331, g48933, g14502, g14513	XP_009150337.1, XP_033145286.1, XP_033138837.1, XP_033143354.1, XP_033139002.1
OG0000014	g43482, g50927, g53476, g50930	XP_009124283.2, XP_009115282.1
OG0000014	g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584	XP_009128583.2, XP_033138826.1
OG0000014	g25627	XP_009120263.2, XP_033148537.1, XP_033143577.1
OG0000014	g28379, g22864	XP_009119511.1
OG0000014	g14683, g17906, g30722, g53391	XP_033133218.1
OG0000014	g14543, g14512, g14521, g36332, g48935, g14510, g14500, g14542, g14551, g42973, g14532	XP_033129820.1
OG0000014	g43420	XP_033138570.1
OG0000014	g50733, g573, g25624, g44199	XP_033145180.1
OG0000015	g24000	XP_033146964.1
OG0000015	g42908	XP_033138269.1, XP_009113103.2
OG0000015	g15603, g23354, g2748	XP_033146229.1, XP_033139829.1
OG0000015	g26108, g43718, g42171, g26614, g12285	XP_018509062.1, XP_009118914.1
OG0000015	g3755, g43029, g21949, g24634, g43716, g41967, g35685, g3173	XP_033130405.1
OG0000015	g8683, g38798	XP_033143221.1
OG0000015	g2048, g25181, g44770, g50053, g53467, g40288, g37977, g5196	XP_009107707.1
OG0000015	g35814, g36777, g17194, g10206, g42100	XP_033148829.1
OG0000015	g35247, g34265, g40661, g36021, g25817, g53143, g53815, g8558, g14879	XP_033148475.1
OG0000017	g3669, g48346, g48867	XP_033132853.1, XP_033139109.1
OG0000017	g49587, g25192, g31804, g25430, g49408, g2974, g53154, g46949, g43284, g4232, g36899, g2975	XP_033132628.1
OG0000017	g21115, g46328, g31759, g19143, g51013, g17279, g1555, g46224, g35267, g34284, g6170, g31341, g9914, g35675, g23910, g6802, g4158, g33390, g4583, g24610, g25001, g1556, g34853, g4345, g51012, g14558, g19142, g29187, g49407, g42003, g53153	XP_033134397.1, XP_033131911.1, XP_033137097.1, XP_033139322.1, XP_033144538.1, XP_033137868.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_018510172.2, XP_009144112.2, XP_033129018.1
OG0000019	g41576	XP_033144010.1
OG0000019	g16592, g1020, g46208, g40680, g40322, g46628, g9756	XP_018509279.1
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	XP_033136826.1, XP_033143864.1, XP_033143559.1, XP_033130890.1, XP_033128834.1
OG0000019	g18942, g2713	XP_033139375.1, XP_033135200.1
OG0000019	g2720, g19256	XP_018515142.1, XP_033129402.1, XP_033134218.1, XP_033140102.1
OG0000019	g2721, g18071, g42559	XP_033144009.1, XP_033140208.1, XP_033129445.1, XP_033136844.1
OG0000020	g35282, g34309, g41784, g25262, g3253, g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955, g29531	XP_033134461.1
OG0000020	g32772, g14852, g5354, g15953	XP_033142724.1
OG0000021	g14063	XP_033145314.1, XP_033133938.1, XP_009145336.1
OG0000021	g45682, g1448	XP_033143250.1
OG0000021	g49020, g50933, g50080, g51436	XP_018510870.2
OG0000021	g35680	XP_033143311.1
OG0000021	g41636, g35681, g14225	XP_009150818.1
OG0000021	g3713	XP_009119509.1
OG0000023	g47441	XP_009139620.1
OG0000023	g23897	XP_009137326.1, XP_009137327.1
OG0000023	g25717, g25713	XP_033142132.1
OG0000023	g25723	XP_033142038.1
OG0000023	g40374	XP_009108162.1
