Orthogroup	Cochlearia_excelsa	Odontarrhena_muralis
OG0000000	g28586, g30059, g16657, g42410, g42971, g27882, g52841, g52848, g34220, g52830, g15932, g1377, g34249, g26033	Om007G305590
OG0000000	g33141	Om008G349060
OG0000000	g43381, g1368, g22041, g30161, g30503, g3478, g21442, g8934, g48064, g32795, g39211, g43269, g30373, g14523, g22546, g24983, g14971, g4315, g25877, g32785, g42245, g9295, g34421, g43335, g33600, g42602, g34365, g35496, g35241, g33195, g30362, g30003, g41664, g49210	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830
OG0000000	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176, g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504, g4171, g14802, g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622, g26364, g3780, g17945, g33478, g11402, g42267	Om005G215690, Om007G308190
OG0000000	g10333	Om003G126140, Om001G002280, Om004G151360
OG0000000	g8680, g2549, g34291	Om007G308180, Om008G324080, Om005G218420
OG0000000	g42096, g33621, g44445, g20884, g43303, g49080, g9170, g3149, g19945, g30072, g35434, g22069, g48662, g14708, g52301, g34799, g38783, g11427, g3085, g53716, g15011, g34255, g25310, g26425, g35625, g52934, g4708, g33713, g53178, g15498, g41538, g5989, g42919, g49115, g49114, g35494, g42604, g20839, g24900, g24984, g3581, g43865, g34852, g32708, g25141, g15594, g11575, g52999, g34558, g52932, g53011, g52987, g52990, g30162, g34848, g27683, g24833	Om004G155360, Om001G016100, Om008G346050, Om007G315370, Om008G345840, Om005G216480, Om008G360230, Om002G080940, Om011G365800
OG0000000	g10043, g968, g4060, g32938, g42541, g48338, g14996, g43379, g52640, g42248, g4445, g8204, g5037	Om008G350840
OG0000000	g53446, g21402, g43378, g33569, g9309, g43377, g33624, g35386, g48663, g21409, g43220, g20888, g26620, g4470, g21492, g48652, g52367, g19951, g32653, g34565, g14368, g48258	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	Om004G154060, Om009G363570, Om004G177240, Om006G269410, Om003G112370, Om003G117250, Om003G105660, Om001G018930, Om008G339880, Om004G149120, Om001G020460, Om008G357940
OG0000000	g3678	Om008G349730
OG0000000	g29885, g42520, g43654, g8678, g51092, g18221, g42791, g16396, g30119, g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287	Om006G263990
OG0000002	g22268, g22354, g53783, g35211, g32330, g19106, g4895, g38552, g40259, g12705, g17829, g45326, g2353, g4579, g19249, g3132, g1175, g18891, g16869, g19554, g30785, g15938, g43320, g3257, g32846, g17951, g36764, g6620, g28463, g44741, g24144, g47321, g49476, g4702, g25505, g40394, g22754, g52049, g56, g5458, g24147, g19235, g36478, g33083, g44743, g20017, g4705, g22706, g51652, g5878, g40197, g22483, g16025, g35637, g22858, g4202, g36769, g6617, g22281, g49477, g50475, g31092, g38312	Om003G106310
OG0000002	g16610, g46300, g35125, g18735, g50561, g37142, g2226, g28809, g44629, g11930, g19637, g46088, g54220, g22302	Om007G305030
OG0000002	g39923, g29768, g37989	Om001G030070
OG0000002	g52214, g39438, g23770, g9964, g31362, g42923, g35831, g54196, g53818, g2533, g18045, g23774, g25411, g5655, g22726, g5204, g26709, g36393, g17831, g22441, g53912, g22482, g23050, g45382	Om002G054700
OG0000002	g22299, g22517, g35849, g15943, g22279, g17546, g39920, g50076, g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989, g16867, g54126, g32227, g12708, g12890, g2531, g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753	Om007G309520, Om002G043270
OG0000002	g28791	Om005G222520, Om004G148400, Om001G016090
