Orthogroup	Cochlearia_excelsa	Conringia_planisiliqua
OG0000000	g52631, g9018, g26280, g14798	CP23_g21716_DN1_SP0_c.t1, CP23_g21756_DN1_SP0_c.t1
OG0000000	g53446, g21402, g43378, g33569, g9309, g43377, g33624, g35386, g48663, g21409, g43220, g20888, g26620, g4470, g21492, g48652, g52367, g19951, g32653, g34565, g14368, g48258, g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706	CP3_g15530_DN1_SP0_c.t1
OG0000002	g35474	CP3_g16174_DN2_SP0_c.t1
OG0000002	g6621, g22481, g22518, g22300	CP4_g26879_DN2_SP0_c.t1
OG0000002	g22268, g22354, g53783, g35211, g32330, g19106, g4895, g38552, g40259, g12705, g17829, g45326, g2353, g4579, g19249, g3132, g1175, g18891, g16869, g19554, g30785, g15938, g43320, g3257, g32846, g17951, g36764, g6620, g28463, g44741, g24144, g47321, g49476, g4702, g25505, g40394, g22754, g52049, g56, g5458, g24147, g19235, g36478, g33083, g44743, g20017, g4705, g22706, g51652, g5878, g40197, g22483, g16025, g35637, g22858, g4202, g36769, g6617, g22281, g49477, g50475, g31092, g38312	CP1_g38933_DN1_SP0_c.t1
OG0000002	g51802, g40654, g518, g12892, g47601, g50078, g23649, g49634, g32237, g28166	CP1_g40005_DN2_SP0_c.t1
OG0000002	g24257, g43934	CP23_g21692_DN2_SP0_c.t1, CP115_g10372_DN3_SP0_c.t1
OG0000002	g33084, g517, g42698, g10421, g38467, g194, g14098	CP4_g26884_DN2_SP0_c.t1
OG0000002	g28460	CP4_g26489_DN1_SP0_c.t1
OG0000002	g35849, g15943, g22279, g17546, g39920, g50076	CP3_g16175_DN3_SP0_c.t1
OG0000002	g12890, g2531	CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1
OG0000002	g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753	CP13_g20669_DN2_SP0_c.t1
OG0000002	g40258, g39577	CP3_g16153_DN2_SP0_c.t1
OG0000002	g26461	CP9_g27522_DN2_SP0_c.t1
OG0000003	g41143	CP12_g30974_DN2_SP0_c.t1
OG0000003	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560	CP72_g12646_DN1_SP0_c.t1
OG0000003	g25996, g15300, g35009, g36811, g15547, g19815, g43673	CP14_g22595_DN2_SP0_c.t1
OG0000004	g36856	CP6_g8147_DN1_SP0_c.t1
OG0000004	g41934	CP24_g47044_DN1_SP0_c.t1
OG0000004	g43298, g44838, g32882, g52577, g35657, g2288, g31764, g34998, g14238, g16629, g1651, g1658	CP24_g47154_DN1_SP0_c.t1
OG0000004	g32052, g40877	CP21_g10514_DN2_SP0_c.t1
OG0000005	g36068	CP15_g34443_DN2_SP0_c.t1
OG0000005	g32288, g54233, g4, g38135, g43677, g53580	CP4_g26835_DN2_SP0_c.t1, CP15_g34532_DN1_SP0_c.t1
OG0000005	g9848, g44251	CP3_g16492_DN1_SP0_c.t1
OG0000005	g10943, g48006	CP9_g27891_DN2_SP0_c.t1
OG0000005	g22013	CP4_g26834_DN1_SP0_c.t1
OG0000005	g32059, g53845	CP29_g21990_DN1_SP0_c.t1
OG0000005	g10582	CP15_g34531_DN3_SP0_c.t1, CP3_g15929_DN2_SP0_c.t1
OG0000005	g43359	CP18_g12172_DN1_SP0_c.t1
OG0000005	g4402	CP4_g26231_DN1_SP0_c.t1
OG0000005	g43360	CP4_g26940_DN2_SP0_c.t1
OG0000005	g14949, g4309	CP15_g35524_DN2_SP0_c.t1
OG0000005	g53018, g11716, g40876	CP1_g39707_DN1_SP0_c.t1
OG0000005	g43361	CP4_g26138_DN1_SP0_c.t1
OG0000006	g4635	CP8_g52162_DN2_SP0_c.t1
OG0000007	g37890	CP8_g52615_DN2_SP0_c.t1
OG0000007	g11781, g52096, g4660, g33143, g43301, g11618, g54172	CP23_g21424_DN1_SP0_c.t1, CP15_g35529_DN1_SP0_c.t1
OG0000007	g45448	CP42_g27277_DN1_SP0_c.t1, CP17_g6015_DN1_SP0_c.t1, CP18_g12501_DN1_SP0_c.t1
OG0000007	g22659	CP7_g45495_DN1_SP0_c.t1, CP1_g39688_DN1_SP0_c.t1
OG0000007	g18049, g47718	CP3_g14603_DN1_SP0_c.t1, CP8_g52821_DN1_SP0_c.t1
OG0000007	g43300	CP25_g55831_DN3_SP0_c.t1, CP28_g34012_DN1_SP0_c.t1
OG0000007	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	CP1_g40809_DN2_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1
OG0000007	g4482, g23875	CP28_g33903_DN1_SP0_c.t1, CP3_g15796_DN1_SP0_c.t1
OG0000008	g52586	CP64_g21088_DN3_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1
OG0000008	g27856, g27175, g5353, g35020	CP27_g41699_DN2_SP0_c.t1
OG0000010	g30462, g52428	CP17_g5733_DN1_SP0_c.t1
OG0000012	g35499, g33137, g3778, g26541, g4713, g35131, g35116, g35362, g42903, g6328, g21395	CP35_g52033_DN3_SP0_c.t1
OG0000013	g43620, g32917, g24858, g11577, g16510	CP17_g5825_DN2_SP0_c.t1
OG0000013	g14200, g48961	CP33_g3610_DN1_SP0_c.t1
OG0000014	g53053, g15956, g36000, g14332	CP12_g31536_DN1_SP0_c.t1
OG0000015	g1783, g40287, g27896	CP7_g44210_DN2_SP0_c.t1
OG0000015	g24000	CP7_g44211_DN2_SP0_c.t1
OG0000015	g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966	CP3_g15512_DN1_SP0_c.t1
OG0000015	g53567	CP3_g15767_DN1_SP0_c.t1
OG0000015	g15603, g23354, g2748, g31975	CP22_g17112_DN1_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP9_g27744_DN1_SP0_c.t1
OG0000015	g10054	CP6_g9041_DN3_SP0_c.t1
OG0000015	g15605, g11217, g21108, g34944, g2750, g34949, g11475	CP8_g52640_DN2_SP0_c.t1
OG0000015	g26108, g43718	CP9_g28055_DN1_SP0_c.t1
OG0000015	g42171, g26614	CP1_g39588_DN3_SP0_c.t1
OG0000015	g47635	CP18_g12598_DN2_SP0_c.t1
OG0000015	g16300	CP15_g34907_DN2_SP0_c.t1, CP5_g3124_DN2_SP0_c.t1
OG0000015	g3315, g8709, g8210, g24633, g3775, g53218, g3753, g42134, g41971	CP7_g44381_DN2_SP0_c.t1
OG0000015	g35217, g34684, g25292, g7329, g39702, g3755, g43029, g21949, g24634, g43716, g41967, g35685, g3173, g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986	CP12_g31767_DN3_SP0_c.t1
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	CP2_g50727_DN3_SP0_c.t1
OG0000015	g23355, g634	CP9_g27629_DN1_SP0_c.t1
OG0000015	g25009, g16301, g35858, g47480, g12631	CP44_g20942_DN1_SP0_c.t1
OG0000015	g2048, g25181, g44770, g50053, g53467, g40288, g37977, g5196	CP12_g31541_DN2_SP0_c.t1
OG0000015	g38534, g41117	CP3_g15510_DN3_SP0_c.t1
OG0000017	g3669	CP3_g16638_DN2_SP0_c.t1
OG0000017	g48346, g48867	CP28_g33976_DN2_SP0_c.t1
OG0000017	g18079, g4346, g43594, g39831, g34285	CP1_g40651_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1
OG0000017	g14580, g11710, g15029	CP6_g8460_DN3_SP0_c.t1
OG0000019	g16593	CP50_g6571_DN2_SP0_c.t1
OG0000019	g41576	CP47_g21270_DN3_SP0_c.t1
OG0000019	g24975	CP15_g35899_DN2_SP0_c.t1
OG0000019	g18942, g2713	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1
OG0000020	g8719	CP27_g41695_DN1_SP0_c.t1
OG0000020	g35299	CP44_g20906_DN3_SP0_c.t1
OG0000020	g20915	CP9_g27772_DN1_SP0_c.t1
OG0000020	g25930, g51375	CP1_g40427_DN2_SP0_c.t1
OG0000020	g35282, g34309, g41784, g25262, g3253	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1
OG0000020	g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955	CP14_g23530_DN1_SP0_c.t1
OG0000020	g7451	CP15_g35839_DN1_SP0_c.t1
OG0000020	g26122	CP5_g3358_DN2_SP0_c.t1
OG0000021	g14063	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1
OG0000021	g49151, g1467	CP15_g36147_DN2_SP0_c.t1
OG0000021	g49844, g38320	CP3_g15821_DN1_SP0_c.t1
OG0000021	g34726	CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1
OG0000021	g25137, g25135	CP5_g1512_DN1_SP0_c.t1
OG0000021	g25134	CP8_g52677_DN2_SP0_c.t1
OG0000021	g41636, g35681, g14225	CP5_g1517_DN2_SP0_c.t1
OG0000021	g40050, g47160, g49473, g26165	CP2_g50567_DN2_SP0_c.t1
OG0000021	g3713	CP5_g2151_DN1_SP0_c.t1
OG0000021	g24107	CP3_g15599_DN1_SP0_c.t1
OG0000021	g3725, g24106, g46643	CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000024	g50024, g36077	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1
