Orthogroup	Cochlearia_excelsa	Cardamine_hirsuta
OG0000004	g15642	CARHR254290
OG0000005	g1512, g23979, g28647, g29131	CARHR055780
OG0000005	g35969	CARHR091740, CARHR034120, CARHR056420
OG0000005	g32059, g53845	CARHR077050
OG0000005	g10582	CARHR248000
OG0000006	g52712	CARHR214530
OG0000006	g51769, g50470, g45886	CARHR029270, CARHR266880, CARHR156020
OG0000006	g23854	CARHR183870
OG0000006	g4635	CARHR180780, CARHR055190, CARHR182530
OG0000006	g25855	CARHR216050
OG0000006	g40547	CARHR060230
OG0000006	g43721	CARHR266890
OG0000008	g27813	CARHR114970, CARHR117380, CARHR149870
OG0000008	g52586	CARHR217630
OG0000008	g27856, g27175, g5353, g35020	CARHR159360
OG0000008	g26784, g43729, g37068	CARHR293430
OG0000008	g25554, g12608, g36094, g19408	CARHR150550
OG0000008	g4483	CARHR056560
OG0000008	g33123	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770, CARHR259120, CARHR257810, CARHR218380, CARHR103530
OG0000008	g13991	CARHR115010
OG0000008	g39484	CARHR215020, CARHR181140, CARHR034850
OG0000008	g4392	CARHR131120, CARHR217020, CARHR164530, CARHR288680
OG0000010	g53564, g44720, g33041	CARHR287490
OG0000011	g24724	CARHR032720
OG0000011	g42924	CARHR190150, CARHR151420, CARHR057040
OG0000011	g1630	CARHR055810
OG0000011	g41912	CARHR256470
OG0000011	g26075, g4219, g9033	CARHR032700
OG0000013	g52620, g48035, g4139, g16474	CARHR116230, CARHR285000
OG0000015	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567	CARHR258200
OG0000015	g11220, g47913, g43577, g47635, g16300, g3315, g8709, g8210, g24633, g3775, g53218, g3753, g42134, g41971	CARHR110600
OG0000017	g41997, g33121, g3359, g6214	CARHR213120
OG0000017	g14581	CARHR113350
OG0000017	g49587, g25192, g31804, g25430, g49408, g2974, g53154, g46949, g43284, g4232, g36899, g2975, g21115, g46328, g31759, g19143, g51013, g17279, g1555, g46224, g35267, g34284, g6170, g31341, g9914, g35675, g23910, g6802, g4158, g33390, g4583, g24610, g25001, g1556, g34853, g4345, g51012, g14558, g19142, g29187, g49407, g42003, g53153, g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979	CARHR049310, CARHR034150
OG0000019	g16593, g27930, g4588, g36529, g42561, g14492, g51080, g41576, g52671, g24908, g42560, g4839, g33386, g45605, g16592, g1020, g46208, g40680, g40322, g46628, g9756, g2482, g2714, g46138, g11450, g50714, g6794, g51199	CARHR218510
OG0000020	g25871	CARHR183140
OG0000020	g49592	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870
OG0000020	g25930, g51375	CARHR287070
OG0000020	g35282, g34309, g41784	CARHR159330, CARHR114460
OG0000020	g25262, g3253	CARHR266440, CARHR182600, CARHR106310, CARHR116050
OG0000020	g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955	CARHR217640, CARHR108030
OG0000020	g29531	CARHR289940
OG0000020	g35344	CARHR154170
OG0000020	g16096	CARHR284230
OG0000020	g7451	CARHR266450, CARHR035020, CARHR108040, CARHR158140
OG0000020	g34311, g35284, g3254, g4129	CARHR266460
OG0000023	g47441	CARHR230510
OG0000023	g23897	CARHR230500
OG0000023	g25717, g25713	CARHR255010
OG0000023	g48946, g43193	CARHR255050
OG0000023	g25723	CARHR255040
OG0000023	g23101	CARHR254960, CARHR254930
OG0000023	g40374	CARHR254870
OG0000023	g23907, g24643	CARHR230300
OG0000023	g25715, g48949	CARHR254990
OG0000025	g972	CARHR104940, CARHR242960
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	CARHR215490
OG0000027	g43469	CARHR030460, CARHR030420, CARHR030890, CARHR031230
OG0000027	g40788	CARHR112760
OG0000027	g28294	CARHR045190
OG0000027	g2269	CARHR168020, CARHR167830
OG0000029	g41853	CARHR287350
OG0000029	g4525, g37385, g6082	CARHR287660
OG0000029	g37850, g28202	CARHR099970
OG0000029	g31822, g37851	CARHR183060
OG0000029	g95	CARHR036950
OG0000029	g1672	CARHR213600
OG0000030	g31170, g6306, g40103, g6175, g48553, g8527, g41465, g35926, g31187, g6307, g53556	CARHR181500
OG0000030	g14858	CARHR262520, CARHR029190, CARHR119670, CARHR035080, CARHR106930, CARHR110000, CARHR102250, CARHR289810, CARHR103350, CARHR112880
OG0000030	g32521, g47920	CARHR155440
OG0000030	g33113	CARHR285900
OG0000030	g43791, g44909	CARHR260310
OG0000031	g45205, g45149, g24844	CARHR048840
OG0000031	g40889	CARHR048810, CARHR051050, CARHR049170
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	CARHR048190, CARHR051150, CARHR047980
OG0000031	g5030	CARHR196550
OG0000031	g13269	CARHR091960
OG0000031	g17118	CARHR234420
OG0000031	g40888	CARHR049120
OG0000031	g40752	CARHR046370
OG0000032	g52952, g35708, g52704, g41922, g17789, g49046, g53468, g32980, g22371, g8174, g41621, g53874, g36360, g32817, g20824, g2573, g13889, g16589, g31930, g15986, g31363, g51888, g23943, g41624, g24203, g4623, g6965, g26176, g32719, g4540, g3145, g3176, g32951, g52374, g52388, g53624, g4562, g32755, g3147, g20823, g26172, g9204, g7013, g46294, g3738, g26774, g53253, g52953, g52389, g43014, g4289, g33014, g53610, g43518, g3146, g4222, g3625, g3120, g22170, g52827, g52845, g26684, g3177, g53505, g49130, g33287, g33250, g33281, g43013, g4288, g43600, g36732, g17256, g16465, g28206, g13544, g36203, g13036, g22171, g29247, g44943, g39409, g42786, g4560, g29246, g36204, g16464, g51006, g28207, g13543, g17439, g17255, g42785, g51007, g26169, g27898, g7014	CARHR257880
OG0000033	g23911	CARHR230270, CARHR230290
OG0000033	g24014	CARHR289950
OG0000033	g23905	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620
OG0000033	g23912	CARHR230230
OG0000033	g40468	CARHR252350
OG0000035	g51285	CARHR054750
OG0000035	g3814	CARHR207670
OG0000035	g29294, g52064, g52069, g52073	CARHR126110
OG0000038	g24239	CARHR158480, CARHR158470, CARHR158440, CARHR222700
OG0000038	g1070	CARHR265450
OG0000038	g41270	CARHR232240
OG0000040	g38367, g38376, g38372, g38380	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000040	g44631	CARHR223790, CARHR158530, CARHR088850
OG0000040	g13797, g13799	CARHR158510, CARHR158520
OG0000043	g14381, g14371, g53175	CARHR288230
OG0000043	g35421, g15787, g15005	CARHR257620
OG0000043	g32961, g3036, g25225, g30461, g4607, g22195	CARHR221160, CARHR034710, CARHR057830, CARHR284340, CARHR219040, CARHR182000, CARHR104410, CARHR218070, CARHR153240
OG0000044	g33267	CARHR117470
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446	CARHR286710, CARHR217190, CARHR273180
OG0000044	g3382, g2931	CARHR152970
OG0000044	g36166, g25959	CARHR057390, CARHR183570, CARHR116100, CARHR107370
OG0000046	g46717	CARHR257300, CARHR257310, CARHR263410
OG0000046	g46719	CARHR059090
OG0000046	g18042	CARHR059270, CARHR059250
OG0000053	g43705, g16122	CARHR148640, CARHR293330, CARHR118340, CARHR151940
OG0000053	g48001, g18941, g54246, g1179, g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139	CARHR044830
OG0000054	g9679, g35281, g34308, g35248, g9678	CARHR266430, CARHR150180
OG0000054	g43613, g52587, g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130, g35345, g4371	CARHR056490
OG0000057	g50182, g50184, g50186	CARHR213520
OG0000057	g48153, g33319, g33329, g48170, g15766, g33340	CARHR111010
OG0000057	g700	CARHR092560, CARHR092720
OG0000057	g27361, g5648	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000058	g50156, g182, g51073, g5874, g10583	CARHR153550
OG0000058	g53630, g30921, g4397	CARHR071180
OG0000061	g51097, g11499, g25472, g32592, g17431, g28656, g13832, g11373, g15781, g584	CARHR117010
OG0000061	g45295, g49162	CARHR217030
OG0000062	g32823, g13726, g11246, g41835	CARHR100910
OG0000065	g21237, g20503	CARHR117850
OG0000066	g5393	CARHR246640, CARHR246630, CARHR069000, CARHR096450, CARHR058350, CARHR068990, CARHR202310
OG0000066	g45535, g29501, g9719	CARHR202910
OG0000066	g156	CARHR279310
OG0000067	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011	CARHR064230
OG0000069	g17549, g12998	CARHR119500
OG0000073	g10944	CARHR116350
OG0000073	g54289	CARHR175090, CARHR175840, CARHR175230
OG0000075	g5026	CARHR010330
OG0000075	g49834, g49840, g49829	CARHR035940
OG0000076	g44053	CARHR157840
OG0000076	g36515	CARHR292090
OG0000076	g19225	CARHR162490
OG0000076	g10535	CARHR121130
OG0000077	g25975, g22716	CARHR247150, CARHR221070, CARHR247140
OG0000079	g2000	CARHR169290
OG0000079	g18915	CARHR186450, CARHR286030, CARHR217340
OG0000080	g41322	CARHR270010
OG0000080	g50013, g23668	CARHR123140
OG0000081	g36469	CARHR040920
OG0000083	g46885	CARHR099030, CARHR099020
OG0000084	g51024	CARHR117220, CARHR116970, CARHR116710, CARHR116720, CARHR117880
OG0000085	g50685, g15804	CARHR187570
OG0000085	g45065, g17068, g32641, g23586, g17797, g646, g39882, g12326, g32434, g40957, g11412, g53404, g14573, g25696, g16012, g23626, g25615, g24420, g4774, g41376, g6725, g47748, g6734, g41005, g28612, g45253, g40136, g37419, g6446, g31882, g42047, g47747, g25209, g14210, g35996, g4263, g50686, g41786, g23625	CARHR259820
OG0000087	g9991	CARHR189700
OG0000087	g5316	CARHR200860
OG0000087	g40485, g11055	CARHR178800
OG0000087	g17371, g24042	CARHR227450
OG0000087	g46232	CARHR020480, CARHR069200
OG0000088	g28933, g28934	CARHR192340, CARHR192330
OG0000089	g29544	CARHR203590
OG0000089	g13323, g11989	CARHR094190
OG0000090	g50123	CARHR020650
OG0000090	g46242	CARHR069500
OG0000090	g10675	CARHR288810, CARHR145520, CARHR145510, CARHR145500, CARHR145480, CARHR010350
OG0000091	g3977	CARHR055470
OG0000093	g2360	CARHR168740
OG0000093	g18958	CARHR168640
OG0000096	g1569	CARHR145620
OG0000096	g1538, g1535	CARHR145650, CARHR145640, CARHR145630, CARHR176420
OG0000096	g18473	CARHR177990
OG0000097	g45182	CARHR252130
OG0000097	g40477, g40479, g40476, g40480, g1561	CARHR252050, CARHR252100, CARHR252070
OG0000098	g24753	CARHR052100, CARHR052120, CARHR052080
OG0000098	g49817	CARHR220990, CARHR220970
