Orthogroup	Cochlearia_excelsa	Aethionema_saxatile
OG0000000	g33141, g33365, g33163	As006G148660, As007G164610, As002G036700, As010G230770
OG0000000	g53446, g21402, g43378, g33569, g9309, g43377, g33624, g35386, g48663, g21409, g43220, g20888, g26620, g4470, g21492, g48652, g52367, g19951, g32653, g34565, g14368, g48258	As001G006630, As006G147610
OG0000000	g8618, g48844, g29953, g30349, g42202, g45346, g33172, g42917, g5670, g4379, g26806, g26418, g3791, g53423, g17359, g46217, g1846, g24660, g16587, g22593, g42663, g35498	As011G257780
OG0000002	g35474	As006G147770, As004G091160
OG0000002	g46798	As006G147780
OG0000002	g41750, g28791	As004G091170
OG0000003	g33680, g9355, g15407, g21631, g38950, g34586, g21782, g21660, g39023, g15482, g21883, g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805	As008G191470
OG0000003	g8364, g30181, g15105, g19836	As003G066710
OG0000003	g33901, g33983, g34112, g42538, g25312, g15593	As003G066750
OG0000003	g42395	As007G166460
OG0000003	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560	As012G280070
OG0000003	g21054, g49855, g48912, g42470, g38715	As012G279580
OG0000003	g21727	As003G066700
OG0000003	g20618, g30193, g21406, g42425, g33817, g15177	As012G279590
OG0000004	g10434, g43405, g12783, g14416, g3096	As009G212350
OG0000004	g31287	As010G231160
OG0000005	g10582	As001G006250
OG0000005	g14417	As012G278720
OG0000005	g53018, g11716, g40876	As007G177090, As005G111430
OG0000006	g52712, g16483, g596, g51769, g50470, g45886, g4033, g47006, g40546, g42738, g32471, g41913, g42739, g49751, g24749, g9677, g9032, g4218, g35394, g34804, g11663, g32442, g47000, g6208, g23854, g4635, g14489, g35540, g24723, g1457, g1504, g5172, g24823, g23855, g25855, g40547, g43721, g48115, g32111, g42023, g40353, g47960, g40914, g52350, g5266	As010G228090
OG0000008	g25872	As009G213820
OG0000008	g43261	As002G039930
OG0000008	g52586	As001G006420
OG0000010	g43027, g35985	As012G280540, As003G067340
OG0000010	g34294, g16618	As005G110910
OG0000010	g8241, g18650, g26348	As011G258980
OG0000010	g2094	As004G091500
OG0000010	g52910	As010G230230
OG0000010	g43026	As010G230410
OG0000010	g53109, g48054	As011G260030, As011G260080
OG0000010	g30462	As002G038660, As004G091490, As006G148670, As002G039770
OG0000010	g52428	As011G259140, As002G039560, As002G039570
OG0000010	g41484, g8779	As010G229600
OG0000010	g14842	As003G066480
OG0000011	g24724	As006G147240
OG0000011	g42924	As007G165830, As002G041210
OG0000011	g595, g39387, g50471, g45887, g31002, g3488, g4325, g42740, g27504, g48116, g37572, g5173, g42024, g1503, g32112	As002G042220
OG0000012	g15121	As007G176710
OG0000013	g24947, g35918, g53893, g41958	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120
OG0000013	g13558	As001G013310
OG0000014	g43483	As007G177950
OG0000014	g53391	As010G230580
OG0000014	g16697, g10634, g1970, g40835, g10249, g44050, g4521, g17734, g32003, g4816, g28378, g1568, g51668, g10565, g27276, g40834, g40838, g10566	As010G232150, As007G177430, As008G192770
OG0000015	g42099	As007G166610
OG0000015	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863, g35813, g36776, g26230, g26256, g43592, g5557	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610
OG0000015	g1783, g40287, g27896, g24000, g1778, g40286	As011G257220
OG0000015	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567, g15603, g23354, g2748, g31975	As010G225860
OG0000015	g16300	As001G010760
OG0000015	g35814, g36777, g17194, g10206, g42100, g35247, g34265, g40661, g36021, g25817, g53143, g53815, g8558, g14879, g27728, g36346, g32986, g8573	As011G260400
OG0000015	g35684	As011G262470
OG0000017	g4190, g3679, g33003	As003G068220
OG0000017	g3672, g32994, g27829, g41994	As009G209200
OG0000017	g3669, g48346, g48867, g4186, g8266, g18079, g4346, g43594, g39831, g34285	As006G147350
OG0000017	g14557, g17020, g39315	As006G144790, As012G280790
OG0000017	g41997, g33121, g3359, g6214	As011G261070, As010G227380
OG0000019	g36529, g42561, g14492, g51080, g41576	As009G203070
OG0000019	g4839	As004G091650
OG0000019	g43707, g18316, g27825	As010G228470
OG0000019	g24975	As001G007070
OG0000019	g18942, g2713	As012G281430, As001G013530
OG0000019	g16516	As001G014580
OG0000020	g35282, g34309, g41784, g25262, g3253	As007G165150, As001G010310, As001G015320
OG0000020	g7451	As009G211210, As012G277620
OG0000020	g26122	As002G039920, As009G211220
OG0000021	g14063	As002G035760, As001G004280
OG0000021	g34726	As001G005040
OG0000021	g3713, g24107, g3725, g24106, g46643	As003G071480, As010G232120
OG0000023	g25720, g40374	As004G084560, As004G084580, As004G084570
OG0000023	g23907, g24643	As003G061270
OG0000026	g27047	As001G006500, As007G166710
OG0000026	g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312	As007G165250
OG0000027	g22601	As003G071460
OG0000029	g29817	As001G005440
OG0000029	g4927, g46312, g4324, g3304, g41853, g35534, g53490, g11876, g35797, g48266, g6083, g35531, g12208, g41968	As004G091740, As005G109110
OG0000029	g31822, g37851	As009G211080
OG0000029	g95	As004G091750, As003G064310
OG0000029	g1672	As008G192170
OG0000030	g6306, g40103, g6175, g48553, g8527, g41465, g35926	As011G260570, As011G260600, As010G228030, As011G258250
OG0000030	g6307, g53556	As001G013020
OG0000031	g40889	As001G032000
OG0000031	g5030	As009G202600
OG0000031	g13269, g17118	As006G134510
OG0000033	g23911	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	g50699, g24014	As003G059410, As003G059430, As003G059400
OG0000033	g23905, g23912	As003G061210, As003G061160
OG0000033	g40468	As004G086230
OG0000034	g15120	As011G258840
OG0000036	g23185, g33000	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900
OG0000037	g1250, g13609	As009G206430
OG0000043	g36350	As010G232350
OG0000043	g48023, g20877, g16667, g2616	As011G260020
OG0000043	g12079, g11527, g13738, g8754, g48037, g48014, g42036	As001G006710
OG0000043	g53889, g53885, g42037	As010G230440, As005G110900
OG0000044	g36166, g25959	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110
OG0000048	g4946, g4940, g29028, g29029, g4944, g4945	As001G017720, As001G017740, As001G017730, As001G017710
OG0000049	g46801	As007G177650, As001G000050
OG0000049	g22934, g376, g47861, g44112, g6602, g36505, g12095, g19466, g919, g7174, g3137, g27324, g24163, g1087, g46399, g46729, g50524, g28511, g54100, g47181, g829, g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343	As002G044530
