Orthogroup	Cochlearia_excelsa	Eutrema_salsugineum
OG0000000	g26033	XP_024014993.1
OG0000000	g42564	XP_024007302.1
OG0000000	g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504	XP_024016564.1
OG0000000	g4171, g14802	XP_024009381.1
OG0000000	g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622	XP_024009341.1
OG0000000	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024009247.1, XP_024014224.1
OG0000000	g43020, g17839, g3760, g25775, g53118, g25015, g4429, g35899	XP_024010601.1
OG0000002	g26238, g91, g25759, g5461, g22857, g4776, g34979, g16823, g16351, g32695, g11929, g28129, g37738, g26240, g26182, g34796	XP_024014502.1, XP_024010212.1
OG0000002	g1903	XP_024010711.1
OG0000002	g35474	XP_024010270.1
OG0000002	g18734	XP_024014438.1
OG0000002	g48969	XP_024006551.1, XP_024009464.1, XP_024006130.1, XP_024014521.1
OG0000002	g43961, g37679, g4011, g51790, g16350	XP_024007921.1
OG0000002	g16610, g46300, g35125, g18735, g50561, g37142, g2226, g28809, g44629, g11930, g19637, g46088, g54220, g22302	XP_024006401.1, XP_024014700.1
OG0000002	g14412	XP_024016328.1
OG0000002	g17598, g51597, g28460, g25506, g14097, g4778, g53950	XP_024013349.1, XP_024007240.1
OG0000002	g39438, g23770, g9964, g31362, g42923, g35831, g54196, g53818, g2533, g18045, g23774, g25411, g5655, g22726, g5204, g26709, g36393, g17831, g22441, g53912	XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1
OG0000002	g22482	XP_024015242.1
OG0000002	g43921, g32761, g36765, g14069, g17547, g14322, g41536, g45709, g24274, g47656, g12054, g47868, g1902, g19537, g26066, g35225, g28127, g22356, g22360, g22520, g44403, g12891, g44628, g35850, g4203, g35639, g26118, g50077, g31091, g4823, g32236, g44742, g2225, g49283, g24145, g22362, g11797, g37739, g31863, g39437, g26239	XP_024006422.1, XP_024016543.1, XP_024005004.1, XP_024009474.1, XP_024010365.1, XP_024014482.1, XP_024016829.1, XP_024013731.1, XP_024013994.1, XP_024004771.1, XP_024016221.1, XP_024016325.1, XP_024006657.1, XP_024009437.1, XP_024011378.1, XP_024004829.1, XP_024013154.1, XP_024004145.1, XP_024004820.1, XP_024014451.1, XP_024013995.1, XP_024004949.1, XP_024009949.1, XP_024010385.1, XP_024016831.1, XP_024010916.1, XP_024012926.1, XP_024007765.1, XP_024010917.1, XP_024004042.1, XP_024004013.1, XP_024004918.1, XP_024015916.1, XP_024013252.1, XP_024016214.1, XP_024016545.1, XP_024004973.1, XP_024004934.1, XP_024010481.1, XP_024011386.1, XP_024014573.1, XP_024016544.1, XP_024004936.1, XP_024015298.1, XP_024014816.1, XP_024013904.1, XP_024016251.1, XP_024011355.1, XP_024009618.1, XP_024016832.1, XP_024015942.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024016563.1, XP_024013919.1, XP_024007222.1, XP_024015214.1, XP_024014701.1, XP_024014765.1, XP_024010367.1, XP_024007242.1
OG0000002	g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989	XP_024016294.1
OG0000002	g47542, g49137, g35212, g4894, g16051	XP_024009486.1
OG0000002	g26461	XP_024006459.1
OG0000003	g3918, g36376, g25688, g7971	XP_024010390.1
OG0000003	g35024, g42010	XP_006391417.2, XP_024011134.1
OG0000003	g34343, g34347, g42612	XP_024010447.1
OG0000003	g3007	XP_024013113.1, XP_024016241.1, XP_024013903.1, XP_006404995.2
OG0000003	g19913, g14065	XP_024013358.1
OG0000003	g43208	XP_006402217.2
OG0000003	g25223	XP_024016125.1
OG0000003	g43589	XP_024003648.1
OG0000003	g41973	XP_024013775.1
OG0000003	g33680, g9355, g15407, g21631, g38950, g34586, g21782, g21660, g39023, g15482, g21883	XP_024016242.1
OG0000003	g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805	XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1
OG0000003	g34585, g38685, g33681, g53237, g30184, g21769, g48097, g15439, g38758, g38943, g35769	XP_024009771.1
OG0000003	g15722, g16106, g21595	XP_024015858.1
OG0000003	g21798, g21724, g20472, g9367, g20087, g21565, g33957, g8861, g52750, g34641, g38687, g43070, g15232, g42420, g42441, g9347, g7984, g26551, g33767, g21045, g20998, g38763, g42487, g21234, g52986	XP_024014001.1
OG0000003	g8364, g30181, g15105, g19836, g34664, g34657, g34660, g9423, g9443, g48369, g39153	XP_024015845.1
OG0000003	g45643	XP_024010571.1, XP_024010572.1
OG0000003	g21043, g21430, g20482, g33723, g20039, g8413, g21011, g34716, g35854, g20765, g15434, g39083, g9494, g38857, g21250, g34167, g20489, g38810, g24943, g34165, g24761, g19816, g43672, g20027, g48040, g20508, g20015, g35092, g20945, g20464, g20029, g9457, g38874, g9378, g39004, g21001, g20545, g9552, g21258, g22061, g25147, g6066	XP_024016386.1, XP_024014880.1
OG0000003	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560	XP_024010454.1, XP_024010649.1, XP_024013240.1
OG0000003	g34916, g35398	XP_024016355.1
OG0000003	g21658, g15405, g9357, g42284, g8878	XP_024016373.1
OG0000003	g15422, g52461, g39056	XP_024013095.1, XP_024007283.1, XP_024009480.1, XP_024009250.1, XP_024016376.1, XP_024010624.1, XP_024013376.1, XP_024007271.1, XP_024009449.1
OG0000003	g34632, g8186, g30075, g42471, g19890, g26435, g33523, g34553, g30141	XP_024014528.1, XP_024014499.1, XP_024006399.1
OG0000003	g8684	XP_024009493.1
