Orthogroup	Cochlearia_excelsa	Noccaea_praecox
OG0000000	g42971, g27882	Np007G401540, Np010G434720
OG0000000	g52841, g52848	Np005G295050
OG0000000	g33141	Np004G209310, Np005G297590, Np007G399430
OG0000000	g34021, g33293, g26443, g3622, g35407, g2952, g33829, g15061, g43736	Np004G220190
OG0000000	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071	Np005G293490
OG0000000	g1731, g15876, g35739, g3800, g30334, g19683, g1406, g19811, g42269, g22234, g34303, g35715, g3557, g50728	Np003G175600
OG0000000	g14846	Np002G107630
OG0000000	g3581, g43865, g34852, g32708, g25141, g15594, g11575, g52999, g34558, g52932, g53011	Np005G303490, Np007G403630, Np002G098520, Np005G296390
OG0000000	g43020, g17839, g3760, g25775, g53118, g25015, g4429, g35899	Np007G396780
OG0000000	g10043, g968, g4060, g32938, g42541, g48338, g14996, g43379, g52640, g42248, g4445, g8204, g5037	Np005G293500
OG0000000	g42663, g35498	Np003G178670
OG0000000	g16215	Np010G434710
OG0000002	g48969	Np008G427560, Np002G102960
OG0000002	g17598, g51597	Np003G178530
OG0000002	g28460	Np001G043410, Np002G102940, Np001G043030
OG0000002	g52214, g39438, g23770, g9964, g31362, g42923, g35831, g54196, g53818, g2533, g18045, g23774, g25411, g5655, g22726, g5204, g26709, g36393, g17831, g22441, g53912, g22482, g23050, g45382	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920
OG0000002	g12890, g2531	Np008G427570
OG0000002	g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753	Np005G296560
OG0000002	g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227	Np001G043040
OG0000002	g53784, g34980	Np002G105650
OG0000002	g41750, g28791	Np006G346800, Np002G102950
OG0000002	g47542, g49137, g35212, g4894, g16051, g40258, g39577, g23771, g3932	Np009G429290
OG0000002	g19116, g52852	Np003G170530, Np002G092490
OG0000002	g43884, g51104, g38468, g47320	Np002G105660
OG0000003	g35025	Np006G360670
OG0000003	g11617	Np008G429060
OG0000003	g8880, g21791, g21805	Np001G031010, Np002G099380
OG0000003	g34585, g38685, g33681, g53237, g30184, g21769, g48097, g15439, g38758, g38943, g35769	Np005G296640, Np003G168980
OG0000003	g26606, g8533, g35008	Np003G172820
OG0000003	g20472, g9367, g20087, g21565, g33957, g8861, g52750, g34641, g38687, g43070, g15232, g42420, g42441	Np006G345580
OG0000003	g9347, g7984, g26551, g33767, g21045, g20998, g38763, g42487, g21234, g52986	Np005G294070
OG0000003	g8364, g30181, g15105, g19836, g34664, g34657, g34660, g9423, g9443, g48369, g39153	Np009G429960, Np003G168500
OG0000003	g53525, g41900, g41972	Np006G354000, Np006G347320, Np006G346740, Np006G353400
OG0000003	g12377	Np001G048700
OG0000003	g4552	Np007G402470
OG0000003	g45643	Np003G170050
OG0000003	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560	Np003G172810
OG0000003	g8878	Np006G346690
OG0000003	g9440	Np012G437010, Np004G222380, Np011G436600, Np011G436790, Np009G430460, Np003G168990, Np004G221780, Np004G221640, Np004G222040
OG0000003	g48250, g7968, g53646, g21207, g42483, g22559, g3632	Np003G172700
OG0000003	g8684	Np003G170760
OG0000004	g10434, g43405, g12783, g14416, g3096	Np002G096870, Np002G110370, Np001G020590
OG0000004	g43468, g53079, g36758	Np006G348510
OG0000004	g32052, g40877	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650
OG0000004	g52608, g29057	Np005G318450
