Orthogroup	Cochlearia_excelsa	Arabis_alpina
OG0000000	g25254, g41562, g42198	Aa_G290190.h1.t1
OG0000000	g16396, g30119, g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287	Aa_G305790.h1.t1
OG0000002	g35474	Aa_G450290.h1.t1, Aa_G55520.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G17980.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G879130.h1.t1, Aa_G871860.h1.t1
OG0000002	g22268	Aa_G973590.h1.t1
OG0000002	g22354, g53783	Aa_G919120.h1.t1, Aa_G523140.h1.t1
OG0000002	g35211, g32330, g19106, g4895, g38552, g40259, g12705, g17829, g45326, g2353, g4579, g19249, g3132, g1175, g18891, g16869	Aa_G544990.h1.t1
OG0000002	g22280, g22501	Aa_G395200.h1.t1
OG0000002	g28460	Aa_G645190.h1.t1
OG0000002	g52214	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1
OG0000002	g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989	Aa_G504380.h1.t1, Aa_G843080.h1.t1
OG0000002	g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227	Aa_G169610.h1.t1, Aa_G497900.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G62810.h1.t1, Aa_G441820.h1.t1, Aa_G1002640.h1.t1, Aa_G934630.h1.t1, Aa_G181880.h1.t1, Aa_G884540.h1.t1, Aa_G945300.h1.t1, Aa_G211950.h1.t1, Aa_G211950.h2.t1, Aa_G294770.h1.t1, Aa_G396950.h1.t1, Aa_G277830.h1.t1
OG0000002	g28791	Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000002	g47542, g49137, g35212, g4894, g16051	Aa_G166190.h1.t1
OG0000003	g36078, g35024, g42010, g53526, g35068, g51377, g36656, g46847, g52100, g12379, g34343, g34347, g42612, g3007, g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558	Aa_G301670.h1.t1
OG0000003	g15922	Aa_G418640.h1.t1
OG0000003	g50217	Aa_G4640.h1.t1, Aa_G834150.h1.t1, Aa_G80970.h1.t1
OG0000003	g12377	Aa_G619980.h1.t1, Aa_G619980.h2.t1, Aa_G409540.h1.t1, Aa_G125480.h1.t1
OG0000003	g34632, g8186, g30075, g42471, g19890, g26435, g33523, g34553, g30141	Aa_G169510.h1.t1
OG0000005	g44250	Aa_G1025960.h1.t1
OG0000005	g35969	Aa_G430190.h1.t1
OG0000006	g51769, g50470, g45886	Aa_G596260.h1.t1
OG0000006	g6208, g23854	Aa_G70820.h1.t1
OG0000006	g48115, g32111, g42023	Aa_G85610.h1.t1
OG0000007	g11781, g52096, g4660, g33143, g43301, g11618, g54172	Aa_G175710.h1.t1
OG0000010	g35163, g21346, g4256	Aa_G227980.h1.t1, Aa_G162930.h1.t1, Aa_G286860.h1.t1
OG0000010	g14841, g35105, g53994	Aa_G7690.h1.t1
OG0000010	g47252	Aa_G848940.h1.t1
OG0000010	g42980, g43765, g53952, g52317, g42680, g43944, g4140	Aa_G102160.h1.t1, Aa_G108660.h1.t1
OG0000010	g30462	Aa_G192810.h1.t1
OG0000010	g17572, g53675, g54116, g54113, g54241, g6234, g53260, g44812, g24010, g44192, g3068, g39175, g28023, g4887, g47228, g8005, g26725, g35833, g35518, g53673, g3069, g17573, g3504, g9319, g53408, g28022, g39176, g53409, g26698, g35837, g41542, g11588, g8003, g9317	Aa_G17450.h1.t1
OG0000011	g42924	Aa_G912630.h1.t1, Aa_G507370.h1.t1, Aa_G95430.h1.t1, Aa_G892370.h3.t1, Aa_G892370.h2.t1, Aa_G892370.h1.t1, Aa_G899650.h2.t1, Aa_G899650.h1.t1, Aa_G20660.h1.t1, Aa_G360660.h1.t1, Aa_G437580.h1.t1, Aa_G200180.h1.t1, Aa_G518970.h1.t1, Aa_G287610.h1.t1, Aa_G948050.h1.t1, Aa_G948050.h2.t1, Aa_G95420.h1.t1, Aa_G378160.h1.t1, Aa_G870430.h1.t1
OG0000012	g6328, g21395	Aa_G297380.h1.t1
OG0000014	g30722	Aa_G871750.h1.t1
OG0000014	g53391	Aa_G482960.h1.t1
OG0000015	g15603, g23354, g2748	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1
OG0000015	g31975	Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1
OG0000015	g15605, g11217, g21108, g34944, g2750, g34949, g11475	Aa_G115590.h1.t1, Aa_G564630.h1.t1, Aa_G260070.h1.t1
OG0000015	g11220, g47913, g43577, g47635, g16300, g3315, g8709, g8210, g24633, g3775, g53218, g3753, g42134, g41971	Aa_G522550.h1.t1
OG0000015	g43716, g41967	Aa_G962140.h1.t1
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	Aa_G183280.h1.t1, Aa_G533220.h1.t1, Aa_G982290.h1.t1
OG0000015	g23355, g634	Aa_G592580.h1.t1, Aa_G121380.h1.t1, Aa_G411050.h1.t1
OG0000015	g24538, g24405, g36461, g34946, g6782, g14951, g15726	Aa_G76160.h1.t1, Aa_G847620.h1.t1, Aa_G384790.h1.t1, Aa_G254670.h1.t1, Aa_G133470.h1.t1, Aa_G73740.h1.t1, Aa_G227990.h1.t1, Aa_G812290.h1.t1, Aa_G811960.h1.t1, Aa_G124950.h1.t1, Aa_G433440.h1.t1, Aa_G596150.h1.t1, Aa_G325800.h1.t1, Aa_G241940.h1.t1, Aa_G11210.h1.t1, Aa_G329640.h1.t1, Aa_G516610.h1.t1, Aa_G43930.h1.t1, Aa_G569340.h1.t1, Aa_G391620.h1.t1, Aa_G57320.h1.t1, Aa_G112930.h1.t1
OG0000015	g35684	Aa_G212210.h1.t1
OG0000019	g27930	Aa_G103560.h1.t1
OG0000019	g36529, g42561, g14492, g51080, g41576	Aa_G277650.h1.t1
OG0000020	g25930, g51375	Aa_G209100.h1.t1
OG0000020	g35282, g34309, g41784, g25262, g3253, g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955, g29531, g13754, g35344, g16096	Aa_G907350.h1.t1
OG0000021	g14063	Aa_G505500.h1.t1
OG0000023	g25717, g25713	Aa_G561100.h1.t1
OG0000023	g48943	Aa_G643320.h1.t1, Aa_G597290.h1.t1
OG0000023	g40374	Aa_G597270.h1.t1
