Orthogroup	Cochlearia_excelsa	Arabidopsis_lyrata_NCBI
OG0000000	g32763	XP_020889539.1
OG0000000	g34021, g33293, g26443, g3622, g35407, g2952, g33829, g15061, g43736	XP_020880754.1, XP_020873125.1, XP_020875043.1, XP_020881970.1, XP_020882759.1, XP_020871264.1, XP_020886308.1, XP_020866272.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020872490.1, XP_020869697.1
OG0000000	g34973	XP_020887737.1
OG0000000	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176, g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504, g4171, g14802, g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622, g26364	XP_020886399.1
OG0000000	g3780, g17945, g33478	XP_020874109.1
OG0000000	g11402, g42267	XP_020881080.1
OG0000000	g19788, g26543, g3141, g35622, g3985, g26693, g26442, g42189, g43591, g26823, g34869	XP_020882672.1
OG0000000	g8680, g2549, g34291	XP_020878681.1
OG0000000	g17238, g19964, g49089, g43385, g3536, g26493, g26492, g26578, g22227, g2551, g30011, g7406, g52467, g49012, g6426, g25006, g43092, g22046, g22537, g16042, g54033, g8939	XP_020876240.1
OG0000000	g21409, g43220, g20888, g26620, g4470, g21492, g48652, g52367	XP_020870151.1, XP_020870162.1
OG0000003	g3918, g36376, g25688, g7971	XP_020880760.1, XP_020877199.1
OG0000003	g34343, g34347, g42612, g3007	XP_020877193.1
OG0000004	g31287	XP_020872418.1, XP_020867739.1
OG0000004	g2536, g39580	XP_020874113.1
OG0000005	g36085, g26760, g14872	XP_020889795.1
OG0000005	g39986, g32058, g10580, g19664, g10935, g10931, g5873, g19587, g30922, g43567, g53629, g36068, g22668, g39670, g49313, g181, g25460, g44061, g30358, g31394, g54192, g43888, g3832, g32288, g54233, g4, g38135, g43677, g53580, g9848, g44251, g50155, g5748, g1727, g10943, g48006, g23664, g22013	XP_020876055.1, XP_020877155.1
OG0000006	g41913, g42739	XP_020871008.1
OG0000006	g43721	XP_020882643.1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	XP_020885936.1
