Orthogroup	Brassica_rapa	Cardamine_amara
OG0000000	XP_033131490.1	evm.model.RL_6.432
OG0000000	XP_033142309.1	evm.model.RL_4.710
OG0000000	XP_033138907.1, XP_033138951.1, XP_009139525.2, XP_033139209.1, XP_033139378.1	evm.model.RL_6.904, evm.model.RL_8.1136
OG0000000	XP_033132417.1	evm.model.RL_3.1103
OG0000000	XP_033146645.1	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1	evm.model.RL_8.1072
OG0000000	XP_033129977.1, XP_033146608.1, XP_033129968.1	evm.model.RL_2.1335
OG0000000	XP_033131705.1	evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374
OG0000002	XP_033138748.1	evm.model.RL_1.3300, evm.model.RL_1.3293
OG0000003	XP_033147287.1	evm.model.RL_2.1084
OG0000003	XP_033145199.1, XP_033139537.1	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013
OG0000003	XP_009113007.1	evm.model.RL_6.1194
OG0000003	XP_033139262.1, XP_033139474.1, XP_033139183.1	evm.model.RL_2.709
OG0000003	XP_033138884.1, XP_033144133.1, XP_033138943.1, XP_033138945.1	evm.model.RL_6.652
OG0000003	XP_033139261.1	evm.model.RL_1.2633
OG0000004	XP_009124577.2	evm.model.RL_2.303
OG0000005	XP_033128715.1	evm.model.RL_2.1105
OG0000005	XP_009117682.2	evm.model.RL_1.1903
OG0000006	XP_033138798.1, XP_033143316.1	evm.model.RL_1.2522
OG0000006	XP_018509939.2, XP_033128792.1, XP_033147221.1, XP_033145376.1	evm.model.RL_2.3087, evm.model.RL_5.3322
OG0000006	XP_009129528.2, XP_033133945.1, XP_033131419.1, XP_009120498.3, XP_033136681.1, XP_033146098.1, XP_033133923.1, XP_033136572.1, XP_018512878.2, XP_033141791.1, XP_033129838.1, XP_033145000.1, XP_033132451.1, XP_033141771.1, XP_033140064.1, XP_033134351.1, XP_033134269.1, XP_033141317.1, XP_033143215.1, XP_033143219.1, XP_033129449.1, XP_033143046.1, XP_033146928.1, XP_009103805.2, XP_033131533.1, XP_033141483.1, XP_033139072.1, XP_033147020.1, XP_033139845.1	evm.model.RL_5.2330
OG0000007	XP_033134315.1	evm.model.RL_2.508
OG0000007	XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2	evm.model.RL_2.539
OG0000007	XP_033131903.1, XP_009103419.1	evm.model.RL_2.2279
OG0000007	XP_009103405.1, XP_009103791.2	evm.model.RL_2.556
OG0000008	XP_033145226.1, XP_018513989.2, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_033129879.1, XP_033140569.1, XP_033140184.1	evm.model.RL_4.1914
OG0000010	XP_033143861.1, XP_033137204.1	evm.model.RL_6.734, evm.model.RL_8.1076
OG0000010	XP_033143393.1	evm.model.RL_5.2592, evm.model.RL_2.396, evm.model.RL_5.2483
OG0000011	XP_033139230.1, XP_033145505.1, XP_018512892.1, XP_033132935.1, XP_033143315.1, XP_018508590.1, XP_033145249.1, XP_033129464.1, XP_033148485.1, XP_033142991.1, XP_018512230.2, XP_033145320.1, XP_009139681.1	evm.model.RL_6.446
OG0000012	XP_033139020.1	evm.model.RL_7.2040
