Orthogroup	Brassica_rapa	Aethionema_saxatile
OG0000000	XP_033138907.1, XP_033138951.1, XP_009139525.2, XP_033139209.1, XP_033139378.1	As002G040030
OG0000000	XP_033140624.1, XP_033129388.1, XP_033130766.1	As001G006630, As006G147610
OG0000000	XP_033129977.1, XP_033146608.1, XP_033129968.1, XP_033131705.1	As011G257780
OG0000002	XP_033138748.1	As004G091160
OG0000003	XP_033138856.1	As008G191470
OG0000003	XP_033141152.1	As012G279590
OG0000004	XP_009124577.2	As007G177100
OG0000005	XP_033132529.1	As001G006250
OG0000006	XP_033136688.1, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009127425.2, XP_033141185.1, XP_033139229.1, XP_018513873.2, XP_009107586.3, XP_009128533.2, XP_033137263.1, XP_033145152.1, XP_009144141.2, XP_033129678.1, XP_033140024.1, XP_033141430.1, XP_009140704.1, XP_033134787.1, XP_033130526.1, XP_033148049.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033136152.1, XP_018510598.1, XP_033138823.1, XP_033143314.1, XP_033142256.1, XP_033131850.1, XP_033128723.1, XP_033132443.1, XP_033131629.1, XP_033138798.1, XP_033143316.1, XP_033145248.1, XP_033143243.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033133985.1, XP_018509939.2, XP_033128792.1, XP_033147221.1, XP_033145376.1, XP_033146627.1, XP_009148795.2, XP_033136956.1, XP_033147656.1, XP_009119788.2, XP_033139554.1, XP_033148586.1, XP_033143305.1, XP_033128729.1, XP_033145261.1, XP_033136521.1, XP_033138843.1, XP_033138840.1, XP_033142517.1, XP_033134626.1, XP_033140906.1, XP_033141011.1, XP_033142956.1, XP_033140904.1, XP_033142476.1, XP_033144081.1, XP_033140537.1, XP_033130701.1, XP_033138324.1, XP_033145377.1, XP_033139980.1, XP_033141330.1, XP_033145193.1, XP_033138181.1, XP_033143318.1, XP_033141627.1, XP_033133382.1, XP_033129473.1, XP_033140161.1, XP_033144151.1, XP_033145061.1, XP_033145057.1, XP_033139538.1, XP_033138178.1, XP_033133272.1, XP_033135986.1, XP_033131606.1, XP_033143548.1, XP_009144908.2, XP_033132046.1, XP_033135405.1, XP_033135997.1, XP_033148269.1, XP_033133922.1, XP_009110769.2, XP_009107562.2, XP_033144206.1, XP_033143434.1, XP_018509717.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033131027.1, XP_033134568.1, XP_033133980.1, XP_033132428.1, XP_033134788.1, XP_009120419.2, XP_018512011.2, XP_033141204.1, XP_009108642.2, XP_033147435.1, XP_033128538.1, XP_033140542.1, XP_009124768.1, XP_033131877.1, XP_009129528.2, XP_033133945.1, XP_033131419.1, XP_009120498.3, XP_033136681.1, XP_033146098.1, XP_033133923.1, XP_033136572.1, XP_018512878.2, XP_033141791.1, XP_033129838.1, XP_033145000.1, XP_033132451.1, XP_033141771.1, XP_033140064.1, XP_033134351.1, XP_033134269.1, XP_033141317.1, XP_033143215.1, XP_033143219.1, XP_033129449.1, XP_033143046.1, XP_033146928.1, XP_009103805.2, XP_033131533.1, XP_033141483.1, XP_033139072.1, XP_033147020.1, XP_033139845.1	As010G228090
OG0000010	XP_033143393.1	As010G230220, As011G259130, As012G279130, As012G280540, As003G067340
OG0000010	XP_033138986.1	As010G230230, As010G226790, As005G110530
OG0000010	XP_033136253.1	As002G038660, As004G091490, As006G148670, As002G039770
OG0000012	XP_033134299.1	As007G176710
OG0000013	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120
OG0000014	XP_033133218.1	As010G230580
OG0000015	XP_033146964.1	As011G257220
OG0000015	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2, XP_033146229.1, XP_033139829.1, XP_033143581.1, XP_018509525.1, XP_033143451.1	As010G225860
OG0000015	XP_009145186.1	As011G262280
OG0000015	XP_033148829.1, XP_033148475.1	As011G260400
OG0000017	XP_033132853.1, XP_033139109.1	As006G147350
OG0000019	XP_033144010.1	As009G203070
OG0000019	XP_033139375.1, XP_033135200.1	As012G281430, As001G013530
OG0000019	XP_033131994.1, XP_033139088.1	As010G228190
OG0000020	XP_033134461.1	As007G165150, As001G010310, As001G015320
OG0000021	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1	As003G071480, As010G232120
OG0000023	XP_009136778.1, XP_009136797.2, XP_033143898.1, XP_009137329.1	As003G061360
OG0000023	XP_009136911.1, XP_033143991.1	As003G061290
OG0000023	XP_009108162.1, XP_009108168.1	As004G084560, As004G084580, As004G084570
OG0000023	XP_009137325.1	As003G061280
OG0000023	XP_009108593.2, XP_033132924.1, XP_033143803.1, XP_009136374.2, XP_009114807.1, XP_009137330.1	As003G061270
OG0000029	XP_009123725.2, XP_033145957.1, XP_033143361.1, XP_033133927.1	As004G091740, As005G109110
OG0000029	XP_033145454.1	As004G091750, As003G064310
OG0000031	XP_009112698.1	As001G032000
OG0000031	XP_009121467.1	As009G202600
OG0000031	XP_009140073.1, XP_009114567.1, XP_009142868.1	As006G134510
OG0000033	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	XP_009137188.1, XP_009134716.1	As003G059410, As003G059430, As003G059400
OG0000033	XP_033137152.1, XP_033143973.1, XP_033143795.1, XP_033143970.1, XP_009137317.1, XP_009108599.1	As003G061210, As003G061160
OG0000033	XP_033136442.1	As004G086230
OG0000037	XP_033139739.1	As009G206430
OG0000044	XP_033141811.1, XP_033147696.1, XP_009145895.1	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110
OG0000048	XP_009131641.1, XP_009121020.1, XP_009121024.1, XP_009121026.2, XP_009121021.2, XP_009131628.1, XP_009126232.1, XP_009126237.2, XP_009126228.2, XP_009126235.1, XP_009126238.1, XP_009121028.1, XP_009121031.2, XP_009126231.2, XP_009131627.1, XP_009126229.1, XP_009121025.2, XP_009131630.2, XP_009131624.1	As001G017720, As001G017740, As001G017730, As001G017710
OG0000049	XP_033147559.1	As007G177650, As001G000050
OG0000049	XP_009120440.2, XP_033138682.1	As002G044530
OG0000053	XP_009145037.2, XP_009111372.1, XP_009117179.1, XP_009103786.3	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110
OG0000054	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1	As004G090600
OG0000054	XP_033135782.1, XP_009130102.2	As011G258570, As001G015330, As001G010290, As001G006440
OG0000055	XP_009149950.1	As001G022050
OG0000056	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1	As007G178620
OG0000066	XP_009104699.1, XP_009131189.1, XP_009130061.1, XP_009125263.1, XP_018511751.1	As002G052230
OG0000066	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1	As005G118450
OG0000067	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1	As011G256070, As011G256050
OG0000073	XP_009136811.1, XP_018513381.1, XP_033140521.1	As006G137430
OG0000073	XP_009123255.2	As002G034500, As002G034570, As002G034640
OG0000078	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3	As004G095030
OG0000079	XP_018510392.1, XP_009132838.1, XP_009117247.1, XP_009116567.1, XP_009116566.1, XP_018509949.2, XP_033130624.1, XP_009104177.1	As012G285110
OG0000083	XP_033133290.1, XP_033133266.1, XP_009108377.1, XP_009105094.1, XP_009104915.1, XP_009104914.1, XP_009127868.1, XP_009106478.1, XP_009105808.2, XP_018515224.2, XP_009107240.1, XP_009124082.1	As006G138550
OG0000085	XP_033148503.1	As001G000080
