Orthogroup	Brassica_rapa	Noccaea_praecox
OG0000000	XP_033129333.1	Np007G401540, Np010G434720
OG0000000	XP_033131609.1	Np005G293490
OG0000000	XP_033147468.1	Np007G396780
OG0000000	XP_033146645.1	Np003G167670, Np002G107260, Np004G207890
OG0000002	XP_033148513.1	Np007G405440
OG0000003	XP_033138856.1	Np005G296980
OG0000003	XP_033145199.1, XP_033139537.1	Np001G030960
OG0000003	XP_009113007.1	Np006G354000, Np006G347320, Np006G346740, Np006G353400
OG0000003	XP_033139261.1	Np003G170760
OG0000004	XP_009124577.2	Np002G100200
OG0000004	XP_033142250.1	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650
OG0000004	XP_033148785.1, XP_033147600.1, XP_033145007.1, XP_033136130.1, XP_033140697.1, XP_033146511.1, XP_033134232.1, XP_033135264.1, XP_033130565.1, XP_033138684.1, XP_033134820.1, XP_033148015.1, XP_033142632.1, XP_033131605.1, XP_033131962.1, XP_033143073.1	Np006G322460, Np007G418310
OG0000005	XP_009109961.2, XP_009139324.1, XP_033148561.1	Np003G178290, Np001G012920
OG0000005	XP_033140104.1, XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2	Np007G395340
OG0000005	XP_033131915.1, XP_009127063.3, XP_033131910.1, XP_009102787.1, XP_018510875.2, XP_033141202.1, XP_009107743.1, XP_033138834.1, XP_033128722.1, XP_009135908.2	Np004G197010
OG0000005	XP_033128715.1	Np006G359670, Np001G029160, Np001G037420
OG0000005	XP_009117682.2	Np001G041480, Np003G174230, Np001G015150, Np001G036410
OG0000005	XP_033146265.1, XP_033134456.1	Np001G068320
OG0000005	XP_033141077.1, XP_009142536.1, XP_009111228.2	Np004G203550, Np005G265280
OG0000006	XP_033136688.1, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009127425.2, XP_033141185.1, XP_033139229.1, XP_018513873.2, XP_009107586.3, XP_009128533.2, XP_033137263.1, XP_033145152.1, XP_009144141.2, XP_033129678.1, XP_033140024.1, XP_033141430.1, XP_009140704.1, XP_033134787.1, XP_033130526.1, XP_033148049.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033136152.1, XP_018510598.1, XP_033138823.1, XP_033143314.1	Np003G145740
OG0000006	XP_018512011.2, XP_033141204.1, XP_009108642.2, XP_033147435.1, XP_033128538.1, XP_033140542.1, XP_009124768.1, XP_033131877.1	Np005G313160
OG0000007	XP_009139680.2	Np006G357400, Np005G299740
OG0000007	XP_033134315.1, XP_033143372.1	Np007G402890
OG0000007	XP_033146952.1	Np002G092690
OG0000007	XP_009103419.1	Np006G356870
OG0000008	XP_018513989.2, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_033129879.1, XP_033140569.1, XP_033140184.1	Np005G307780, Np002G103180
OG0000008	XP_033142381.1	Np007G406420
OG0000008	XP_033138353.1, XP_033131793.1, XP_033147955.1, XP_033146635.1, XP_009115858.3, XP_033131438.1, XP_033131838.1	Np001G053530
OG0000011	XP_033131635.1	Np001G009230, Np006G351190
OG0000011	XP_033143315.1	Np003G163940
OG0000012	XP_033131417.1, XP_033132125.1	Np006G354320, Np004G217870, Np006G359410, Np005G284210
OG0000012	XP_033146615.1, XP_033128492.1	Np002G095110, Np002G111240
OG0000012	XP_033139271.1, XP_033139160.1	Np004G217770
OG0000014	XP_033141144.1, XP_033139578.1, XP_009107741.1	Np001G042570, Np002G073300
OG0000014	XP_009119511.1	Np004G227310
OG0000014	XP_033145180.1	Np003G187370
OG0000015	XP_033146229.1, XP_033139829.1	Np007G402630
OG0000015	XP_033143581.1, XP_018509525.1, XP_033143451.1	Np008G427030
OG0000015	XP_033130405.1	Np007G416100
OG0000018	XP_033143299.1, XP_009113298.1, XP_033129326.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033135948.1, XP_033145970.1, XP_033141768.1, XP_033139918.1, XP_033128905.1, XP_033131029.1	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980
OG0000019	XP_018509279.1	Np004G211950
OG0000019	XP_033128807.1	Np001G027630
OG0000019	XP_033136826.1, XP_033143864.1, XP_033143559.1, XP_033130890.1, XP_033128834.1	Np003G166760, Np002G106220
OG0000019	XP_033139375.1, XP_033135200.1	Np004G239770
OG0000019	XP_018515142.1, XP_033129402.1, XP_033134218.1, XP_033140102.1	Np007G405080, Np001G027610
OG0000020	XP_033134461.1	Np008G428370
OG0000021	XP_033145314.1, XP_033133938.1, XP_009145336.1	Np005G303890
OG0000021	XP_009106506.2	Np007G393560
OG0000021	XP_033143250.1, XP_009123480.1, XP_033129481.1, XP_033134448.1, XP_018510870.2, XP_033134016.1, XP_033145281.1, XP_033147757.1, XP_033143311.1, XP_033133957.1, XP_018509111.1, XP_009150818.1	Np004G199140
OG0000021	XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1	Np007G402490, Np003G147560
OG0000023	XP_009137326.1, XP_009137327.1	Np005G283730
OG0000023	XP_033144191.1	Np005G284120
