Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0000000	Np002G1063700, Np003G1750900	g14949, g4309
OG0000000	Np007G4029000	g6388, g14958
OG0000000	Np003G1264600	g54172, g11781, g52096, g4660, g33143, g43301
OG0000000	Np001G0383200	g40877, g32052, g11718, g40053
OG0000000	Np006G3485200	g53079, g43739, g16627
OG0000000	Np001G0404400, Np005G3184700, Np001G0462400	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263
OG0000000	Np005G3184600	g30907
OG0000000	Np002G1103800, Np006G3557600, Np002G0968700, Np001G0205900	g14416, g10434, g12783, g43405, g3096
OG0000002	Np005G2965700	g54221, g22707, g40366, g33609, g51791, g16254
OG0000002	Np008G4260500, Np002G1057800, Np002G1036100, Np011G4364100	g12053, g52853, g57, g36475, g33085, g32227
OG0000002	Np008G4275700	g2531, g12890
OG0000002	Np002G1017600	g54223, g47322, g50479, g22753, g1903, g3746
OG0000002	Np002G1056700	g51104, g47320, g38468, g39577, g40258, g23771, g52214
OG0000002	Np003G1705400, Np002G0924900	g36079
OG0000002	Np009G4293000	g50077, g3932
OG0000002	Np002G1029600, Np006G3468100	g28791, g41750
OG0000002	Np002G1029300, Np004G2265100, Np002G1017700, Np004G2022100, Np004G2547200	g39437, g26239
OG0000003	Np005G3039000	g14063
OG0000003	Np006G3523600	g42621, g14202, g39352, g43844, g39389
OG0000003	Np003G1349400	g12346, g2655, g14239, g52812
OG0000003	Np003G1737800	g26213, g52072
OG0000003	Np002G1201600, Np007G4024900, Np003G1475700, Np002G1099700, Np003G1482700	g46643, g3725, g24106
OG0000004	Np005G2950600	g42410, g1669, g8852, g8926, g33256, g8658
OG0000004	Np010G4347300, Np007G4015400	g27882, g42971, g52490, g11635, g26594, g26034, g30059
OG0000004	Np004G2079000, Np003G1676800	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000004	Np002G1072700	g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323
OG0000004	Np004G2202000	g54140, g1368, g34921, g5669, g14984, g15061, g20703, g35818, g33600, g26147, g15064, g38611, g51042, g35409, g35603
OG0000004	Np005G2935100	g16396, g30119
