Orthogroup	Noccaea_praecox	Camelina_sativa
OG0000000	Np003G1708100, Np006G3568800	XP_010484733.1, XP_010507009.1
OG0000000	Np004G2263100, Np001G0314800, Np002G0926900, Np004G2012200	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1
OG0000000	Np005G3087900, Np001G0546600	XP_010481146.1, XP_010446169.1, XP_010424493.1, XP_010481092.1
OG0000000	Np005G3184700	XP_010473903.1, XP_010512944.1, XP_019099570.1
OG0000000	Np002G1103800	XP_010419021.1, XP_010490159.1, XP_010474601.1, XP_019095662.1
OG0000000	Np002G1002000	XP_010495165.1, XP_010495244.1
OG0000002	Np005G2965700	XP_010457030.1, XP_010420641.1, XP_019085487.1
OG0000002	Np002G1017600	XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1
OG0000002	Np009G4293000	XP_010506877.1
OG0000002	Np002G1029600, Np006G3468100	XP_010424742.1, XP_010495565.1
OG0000003	Np007G3935700	XP_010418986.1, XP_010424688.1, XP_019085419.1
OG0000003	Np005G3039000	XP_019095265.1, XP_010468638.1, XP_019085542.1, XP_019096508.1, XP_019082748.1
OG0000003	Np005G2849900	XP_010412668.1
OG0000003	Np003G1537900	XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1, XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1
OG0000003	Np006G3546100, Np001G0132800, Np004G1961000, Np002G0878000, Np004G2165400, Np005G2971100, Np004G2177600, Np001G0443800	XP_010467312.1, XP_019082547.1, XP_019085605.1, XP_010412544.1, XP_010446110.1, XP_010474049.1, XP_010462974.1
