Orthogroup	Noccaea_praecox	Arabidopsis_arenosa
OG0000000	Np002G1063700, Np003G1750900	jg16911, jg12161, jg21611
OG0000000	Np001G0039000, Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100	jg7091
OG0000002	Np008G4260500	jg11830
OG0000002	Np002G1017600	jg21988
OG0000002	Np001G0430400, Np007G4054400	jg1034, jg12348, jg27118, jg1783
OG0000003	Np003G1537900	jg27926
OG0000003	Np007G4024900, Np003G1475700	jg17386
OG0000004	Np003G1676800	jg1749
OG0000005	Np003G1685100	jg1672
OG0000008	Np001G0535300	jg15054, jg15062, jg15069, jg15057
OG0000009	Np004G2021700	jg17698, jg17538, jg11602
OG0000011	Np001G0276300	jg13840
OG0000011	Np004G2119600	jg26287
OG0000011	Np002G1062300, Np003G1667700	jg13838, jg27639, jg22122
OG0000011	Np001G0276200	jg6805
OG0000012	Np001G0263200	jg13807
OG0000014	Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900	jg1574
OG0000020	Np003G1663000	jg6965
OG0000020	Np005G2821900, Np005G2821200	jg2142
OG0000020	Np003G1713100	jg6883
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	jg32393, jg11989, jg32560, jg4400, jg26774
OG0000022	Np004G2449100	jg29722, jg29734, jg29678, jg29676
OG0000022	Np005G3189900	jg12744
OG0000023	Np007G4034700	jg27300
OG0000023	Np005G2845400	jg26919
OG0000023	Np003G1695200, Np006G3508300	jg32331
OG0000023	Np007G4040200	jg12319
OG0000023	Np005G3091400	jg1757, jg31920, jg12454
OG0000024	Np004G1980700, Np004G1980500	jg17071
OG0000024	Np002G0932100	jg18272
OG0000024	Np004G2007800	jg31712
OG0000024	Np004G2150800	jg27402, jg18984, jg31665, jg31668
OG0000024	Np001G0579500, Np001G0579400	jg15695, jg15696, jg15770, jg15771, jg14278
OG0000025	Np003G1727000	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
OG0000027	Np003G1806500	jg7517, jg7516
OG0000027	Np005G2841300	jg10205
OG0000027	Np005G2840800	jg10199
OG0000027	Np005G2838800	jg10190
OG0000028	Np003G1643200	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	jg22250, jg22247, jg22219, jg12583, jg12582
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	jg8750, jg8748, jg4646, jg4645, jg21837, jg21838
OG0000028	Np001G0479800, Np001G0480000	jg14606
OG0000028	Np003G1832500	jg14605, jg28212
OG0000028	Np003G1604900	jg22006, jg22007, jg22259, jg22445, jg22074, jg22278, jg22269, jg22270, jg22279, jg22262, jg22242, jg22244
OG0000029	Np006G3568700	jg1778
OG0000030	Np001G0090700	jg31203, jg31202
OG0000030	Np004G2249500, Np004G2249800	jg29499, jg25408, jg10900, jg11085
OG0000030	Np004G2250000	jg25272
OG0000030	Np007G4070000	jg738, jg25360
OG0000032	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000034	Np005G2840700, Np005G2840600	jg10193, jg10203, jg10197
OG0000034	Np005G2841400	jg10204
OG0000034	Np005G2839700, Np005G2840900	jg10200
OG0000034	Np005G2841500	jg10198
OG0000034	Np005G2841700	jg10202, jg10195
OG0000035	Np004G2088100, Np005G3165600	jg32621, jg13872
OG0000035	Np002G0910400	jg6998, jg7008, jg32675, jg6987, jg1581
OG0000035	Np005G2829500, Np004G2306200, Np004G2311400	jg13724, jg27973, jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502
OG0000035	Np004G2256500	jg17311, jg27930
OG0000038	Np007G3978400	jg27503, jg21532, jg17779
OG0000040	Np001G0278000	jg17939
OG0000041	Np002G1205400	jg28661
OG0000042	Np004G2298700	jg33373
OG0000042	Np003G1737100	jg6977
OG0000042	Np006G3478400	jg33374, jg32294, jg32380
OG0000043	Np006G3675100	jg33537, jg17159
OG0000046	Np004G2388700, Np001G0160700	jg12140, jg13501, jg20886
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	jg14086
OG0000050	Np005G2619700, Np002G0988200, Np001G0256300, Np007G3953400, Np006G3570900	jg19949, jg4268
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	jg29349
OG0000051	Np006G3285300, Np006G3285400	jg19557
OG0000051	Np002G1229200	jg497
OG0000051	Np002G1168000, Np002G1055900, Np002G1071800	jg24823
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	jg19553, jg19551, jg19550, jg907, jg19552, jg19554, jg18423
OG0000051	Np003G1730300	jg19560
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	jg19561, jg19562, jg19563, jg19564
OG0000052	Np001G0218600	jg13388, jg13390, jg13373
OG0000052	Np002G0839600	jg13389, jg13391
OG0000052	Np007G4239500	jg20319
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	jg25886, jg26868
OG0000055	Np007G3923100, Np007G3922500	jg26019, jg12073
OG0000055	Np005G2851900	jg17788
OG0000055	Np007G3753300	jg27919
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	jg747, jg744, jg745, jg746
OG0000056	Np005G3136000, Np001G0467300	jg14491
OG0000058	Np004G2334500	jg16618
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	jg27640, jg13837
OG0000061	Np003G1795500	jg32841, jg32864, jg32857, jg32551
OG0000061	Np006G3342300	jg12190
OG0000061	Np006G3280900	jg18012
OG0000061	Np005G3181500, Np005G3181600, Np002G1245500	jg18005
