Orthogroup	Noccaea_praecox	Brassica_oleracea
OG0000000	Np006G3574100, Np005G2997500	XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1
OG0000000	Np001G0689700	XP_013601491.1, XP_013625599.1, XP_013589527.1, XP_013629098.1, XP_013639526.1, XP_013595181.1, XP_013594888.1
OG0000000	Np001G0039000, Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100	XP_013639285.1, XP_013616974.1
OG0000000	Np001G0383200	XP_013627230.1
OG0000000	Np004G2263100	XP_013639528.1
OG0000000	Np001G0314800	XP_013601638.1
OG0000000	Np002G0926900, Np004G2012200	XP_013628112.1, XP_013632833.1, XP_013594838.1, XP_013624723.1, XP_013617764.1
OG0000000	Np007G4183100, Np006G3224700	XP_013617633.1
OG0000000	Np005G3184700	XP_013601125.1
OG0000000	Np001G0462400	XP_013617255.1, XP_013624915.1, XP_013595166.1
OG0000000	Np002G1103800	XP_013601024.1, XP_013601437.1
OG0000000	Np006G3557600, Np002G0968700, Np001G0205900	XP_013639767.1
OG0000000	Np002G1002000	XP_013632878.1
OG0000002	Np002G1057700, Np008G4275500	XP_013624587.1
OG0000002	Np002G1017600	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1
OG0000002	Np003G1705400, Np002G0924900	XP_013608132.1, XP_013617459.1
OG0000003	Np007G3935700	XP_013589605.1, XP_013624294.1
OG0000003	Np005G3039000	XP_013624336.1, XP_013594483.1, XP_013632484.1, XP_013616875.1, XP_013589405.1, XP_013595187.1
OG0000003	Np005G2704000	XP_013607730.1, XP_013595127.1
OG0000003	Np003G1537900	XP_013639726.1
OG0000003	Np004G2165300	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1
OG0000003	Np006G3523600	XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1, XP_013632772.1, XP_013616902.1, XP_013627293.1, XP_013639645.1, XP_013583424.1, XP_013639347.1
OG0000003	Np004G2027900	XP_013613468.1, XP_013617596.1, XP_013617356.1
OG0000003	Np003G1349400	XP_013595094.1, XP_013633631.1, XP_013601807.1, XP_013589218.1, XP_013633247.1, XP_013601581.1, XP_013594653.1, XP_013617757.1, XP_013594768.1, XP_013615239.1, XP_013601482.1, XP_013633133.1, XP_013613644.1, XP_013607894.1, XP_013589311.1, XP_013607484.1, XP_013601145.1, XP_013617846.1, XP_013632539.1, XP_013630775.1, XP_013589202.1, XP_013595008.1
OG0000003	Np003G1737800	XP_013617246.1
OG0000003	Np007G4024900, Np003G1475700	XP_013617855.1
OG0000004	Np005G2950600, Np010G4347300, Np007G4015400	XP_013624852.1, XP_013624387.1, XP_013633000.1
OG0000004	Np002G1072700	XP_013588715.1
OG0000004	Np005G2935100	XP_013616947.1
OG0000004	Np005G2935000	XP_013639281.1
OG0000004	Np004G2093200	XP_013608060.1, XP_013632935.1
OG0000004	Np005G3035100, Np002G0985300	XP_013632641.1, XP_013624469.1, XP_013614693.1
OG0000005	Np006G3606800	XP_013624326.1
OG0000005	Np006G3467000	XP_013616730.1
OG0000005	Np007G4024700	XP_013639546.1, XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1
OG0000005	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100	XP_013617438.1
OG0000005	Np001G0487000	XP_013613453.1
OG0000005	Np006G3440400	XP_013624826.1
OG0000005	Np006G3465300	XP_013614903.1
OG0000005	Np002G1043100	XP_013624602.1
OG0000005	Np012G4370200, Np004G2223900	XP_013601164.1, XP_013628485.1, XP_013624301.1
OG0000005	Np004G2216500, Np004G2220500, Np004G2217900	XP_013589090.1
OG0000007	Np003G1457500	XP_013594005.1, XP_013601472.1, XP_013632874.1, XP_013594943.1, XP_013601489.1, XP_013632690.1, XP_013589492.1, XP_013634243.1, XP_013594807.1, XP_013601610.1, XP_013595036.1, XP_013632892.1, XP_013617022.1, XP_013601509.1, XP_013596032.1, XP_013617093.1, XP_013589320.1, XP_013608313.1, XP_013624232.1, XP_013634404.1, XP_013639187.1, XP_013608445.1, XP_013632862.1, XP_013639373.1, XP_013595054.1, XP_013617368.1, XP_013589618.1, XP_013632912.1, XP_013594580.1, XP_013607658.1, XP_013594930.1
OG0000008	Np005G2918600	XP_013614821.1
OG0000008	Np002G1031900, Np005G3077900	XP_013608259.1, XP_013584735.1, XP_013639639.1
OG0000008	Np002G0964800	XP_013624474.1
OG0000008	Np007G4064200	XP_013616794.1
OG0000008	Np001G0535300	XP_013601615.1
OG0000009	Np005G2652900, Np004G2035600	XP_013616938.1
OG0000009	Np004G2021700	XP_013617184.1, XP_013595190.1
OG0000009	Np006G3596800, Np001G0374200, Np001G0291600	XP_013614431.1
OG0000009	Np004G1970200	XP_013608016.1
OG0000009	Np001G0683200	XP_013624886.1
OG0000009	Np003G1663900, Np001G0129200, Np003G1783000	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1
OG0000009	Np006G3566400	XP_013616789.1, XP_013617492.1, XP_013624812.1, XP_013607654.1, XP_013615193.1, XP_013583289.1, XP_013617990.1, XP_013633184.1
OG0000009	Np002G0744000, Np002G0917100, Np003G1736600, Np001G0291400, Np001G0374300, Np001G0414900	XP_013616754.1, XP_013615524.1
OG0000011	Np001G0276300	XP_013639582.1
OG0000011	Np004G2119600	XP_013627832.1, XP_013615711.1
OG0000011	Np004G2397800	XP_013596669.1, XP_013607541.1, XP_013607552.1
OG0000011	Np002G1062300, Np003G1667700	XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1
OG0000011	Np001G0298900, Np004G2255700, Np001G0314400	XP_013615397.1
OG0000011	Np001G0493800	XP_013632920.1, XP_013617587.1, XP_013633062.1
OG0000011	Np001G0276200	XP_013589498.1, XP_013632628.1, XP_013633248.1
OG0000012	Np003G1639500	XP_013613562.1
OG0000012	Np005G2960400, Np001G0263300, Np005G2658400	XP_013626733.1, XP_013624299.1, XP_013624561.1, XP_013634210.1, XP_013594779.1, XP_013607542.1, XP_013608275.1, XP_013589468.1, XP_013632839.1, XP_013617712.1, XP_013632406.1, XP_013624874.1, XP_013601001.1, XP_013624747.1, XP_013601114.1, XP_013607586.1, XP_013589385.1, XP_013607529.1, XP_013600651.1, XP_013616890.1, XP_013623900.1, XP_013589412.1, XP_013594746.1, XP_013616772.1, XP_013608363.1, XP_013617609.1, XP_013608342.1, XP_013601794.1, XP_013624259.1, XP_013632501.1, XP_013583330.1, XP_013607785.1, XP_013617815.1, XP_013614616.1, XP_013589476.1, XP_013624721.1, XP_013594775.1, XP_013639344.1, XP_013633221.1, XP_013589682.1, XP_013601622.1, XP_013607812.1, XP_013607760.1, XP_013607871.1, XP_013601396.1, XP_013639326.1, XP_013617062.1, XP_013601516.1, XP_013639230.1, XP_013624899.1, XP_013615219.1, XP_013589030.1, XP_013624901.1, XP_013624711.1, XP_013601366.1, XP_013617850.1, XP_013632873.1, XP_013617433.1, XP_013614555.1, XP_013595035.1, XP_013608334.1, XP_013632509.1, XP_013632737.1, XP_013595071.1, XP_013594774.1, XP_013625577.1, XP_013589568.1, XP_013589219.1, XP_013594946.1, XP_013617311.1, XP_013633380.1, XP_013617905.1, XP_013633195.1, XP_013589495.1, XP_013624371.1, XP_013589324.1, XP_013594626.1, XP_013616810.1, XP_013601384.1, XP_013607609.1, XP_013624196.1, XP_013624162.1, XP_013624137.1, XP_013639852.1, XP_013589446.1, XP_013615322.1, XP_013624918.1, XP_013639160.1, XP_013601474.1, XP_013594401.1, XP_013617958.1, XP_013616931.1, XP_013608215.1, XP_013617313.1, XP_013639496.1, XP_013607597.1, XP_013633158.1, XP_013589431.1, XP_013601007.1, XP_013633295.1, XP_013624353.1, XP_013607750.1, XP_013632893.1, XP_013624149.1, XP_013608386.1, XP_013608475.1, XP_013583261.1, XP_013629270.1, XP_013583255.1, XP_013608429.1, XP_013617667.1, XP_013600999.1, XP_013624439.1, XP_013608304.1, XP_013594412.1, XP_013614778.1, XP_013588899.1, XP_013601161.1, XP_013607652.1, XP_013624688.1, XP_013614655.1, XP_013589438.1, XP_013601311.1, XP_013594004.1, XP_013639324.1, XP_013594716.1, XP_013608513.1, XP_013589531.1, XP_013623942.1, XP_013601548.1, XP_013633347.1, XP_013633008.1, XP_013623653.1, XP_013616871.1, XP_013633036.1, XP_013594810.1, XP_013607496.1, XP_013633302.1, XP_013594605.1, XP_013624714.1, XP_013601355.1, XP_013583467.1, XP_013624002.1, XP_013624342.1, XP_013583393.1, XP_013594658.1, XP_013624746.1, XP_013623738.1, XP_013614361.1, XP_013589530.1, XP_013617310.1, XP_013632383.1, XP_013601077.1, XP_013601337.1, XP_013624535.1
OG0000012	Np001G0263200	XP_013633088.1, XP_013616799.1, XP_013617880.1, XP_013594971.1, XP_013639268.1, XP_013633385.1, XP_013595041.1, XP_013589318.1
OG0000014	Np002G0952400	XP_013594557.1
OG0000014	Np004G2216700	XP_013624744.1
OG0000014	Np001G0275400, Np002G0982600	XP_013607986.1, XP_013594427.1, XP_013632760.1, XP_013631670.1
OG0000015	Np007G4161000	XP_013607754.1, XP_013632959.1, XP_013639368.1
OG0000015	Np007G4026300	XP_013639551.1, XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1, XP_013617324.1
OG0000015	Np008G4270200	XP_013613391.1, XP_013614315.1, XP_013634793.1, XP_013594601.1, XP_013615211.1, XP_013615599.1, XP_013615204.1
OG0000015	Np008G4270300	XP_013601204.1
OG0000016	Np006G3533200	XP_013601237.1
OG0000016	Np002G0990500	XP_013639478.1, XP_013601287.1, XP_013614061.1
OG0000016	Np007G3999600	XP_013624264.1
OG0000016	Np001G0355900	XP_013589577.1
OG0000016	Np002G1011300	XP_013601273.1
OG0000016	Np009G4311500	XP_013589195.1, XP_013588937.1, XP_013639541.1, XP_013615067.1
OG0000018	Np007G3967900	XP_013602970.1
OG0000020	Np005G2821900, Np005G2821200	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1
OG0000020	Np003G1713100	XP_013624038.1, XP_013608147.1
OG0000021	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400	XP_013608093.1, XP_013624295.1, XP_013632740.1, XP_013632330.1, XP_013594600.1, XP_013624087.1, XP_013616795.1, XP_013624037.1, XP_013635359.1, XP_013624942.1, XP_013639781.1, XP_013601073.1, XP_013632716.1, XP_013615260.1, XP_013639694.1, XP_013616959.1, XP_013633321.1, XP_013617328.1, XP_013633276.1, XP_013583343.1, XP_013624309.1, XP_013625589.1, XP_013592110.1, XP_013589433.1, XP_013595678.1, XP_013607721.1, XP_013608306.1, XP_013594522.1, XP_013608090.1
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1
OG0000022	Np004G2449100	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1
OG0000022	Np005G3189900	XP_013635968.1
OG0000023	Np002G1180000	XP_013624598.1
OG0000023	Np002G1103400	XP_013589397.1, XP_013632474.1
OG0000023	Np004G2177800	XP_013630371.1
OG0000023	Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800	XP_013608049.1
OG0000023	Np003G1712400	XP_013613476.1, XP_013607705.1
OG0000023	Np006G3415100	XP_013620254.1, XP_013624411.1, XP_013639572.1
OG0000023	Np004G2391200, Np010G4349100	XP_013608082.1
OG0000023	Np005G3091400	XP_013617060.1
OG0000024	Np004G1980700, Np004G1980500	XP_013597425.1
OG0000024	Np004G2150800	XP_013632478.1
OG0000024	Np001G0579500, Np001G0579400	XP_013605203.1
OG0000024	Np004G2148800, Np004G2148600, Np005G2717400	XP_013624897.1
OG0000025	Np006G3544700	XP_013617956.1
OG0000026	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1
OG0000027	Np003G1806500	XP_013618611.1, XP_013608009.1
OG0000027	Np005G2839100	XP_013595244.1
OG0000027	Np005G2841300	XP_013625142.1
OG0000027	Np005G2838800	XP_013598637.1
OG0000028	Np003G1643200	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1, XP_013608214.1
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	XP_013614694.1, XP_013624781.1, XP_013626875.1, XP_013614695.1, XP_013624780.1, XP_013624779.1, XP_013625541.1, XP_013589427.1, XP_013589428.1, XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1
OG0000028	Np003G1604900	XP_013617015.1, XP_013617014.1
OG0000029	Np003G1708000, Np003G1897700, Np004G2071400	XP_013607525.1, XP_013639568.1, XP_013639826.1, XP_013617608.1, XP_013614597.1, XP_013589628.1, XP_013614066.1, XP_013614116.1, XP_013594786.1, XP_013583341.1, XP_013607550.1, XP_013607779.1, XP_013594365.1, XP_013588999.1, XP_013608305.1, XP_013597550.1, XP_013617618.1, XP_013589355.1, XP_013617349.1, XP_013595192.1, XP_013617982.1
OG0000029	Np003G1680700, Np003G1751100	XP_013617135.1, XP_013615424.1
OG0000029	Np002G1063900	XP_013639720.1
OG0000029	Np006G3568700	XP_013617097.1
OG0000030	Np001G0090700	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	Np004G2249500, Np004G2249800	XP_013614569.1
OG0000030	Np004G2250000	XP_013634175.1, XP_013615698.1, XP_013593493.1
OG0000030	Np007G4070000	XP_013633602.1
OG0000031	Np005G2850000	XP_013624050.1
OG0000032	Np004G2267500	XP_013638158.1
OG0000032	Np008G4283700	XP_013630351.1, XP_013601247.1, XP_013624230.1, XP_013632617.1, XP_013614355.1
OG0000032	Np004G2267700	XP_013607685.1
OG0000034	Np005G2840700	XP_013595252.1, XP_013595253.1
OG0000034	Np005G2840600	XP_013598717.1
OG0000034	Np005G2841400	XP_013598740.1, XP_013598782.1
OG0000034	Np005G2839700, Np005G2840900	XP_013595246.1, XP_013595249.1
OG0000034	Np005G2841500	XP_013595245.1
OG0000034	Np005G2841700	XP_013593131.1
OG0000035	Np004G2088100, Np005G3165600	XP_013607885.1, XP_013618965.1
OG0000035	Np002G0894300	XP_013591294.1, XP_013589634.1, XP_013619342.1, XP_013609967.1, XP_013610013.1, XP_013613456.1, XP_013608076.1
OG0000035	Np007G3930700	XP_013591120.1
