Orthogroup	Noccaea_praecox	Conringia_planisiliqua
OG0000000	Np002G1063700, Np003G1750900	CP15_g35524_DN2_SP0_c.t1
OG0000000	Np007G4029000	CP42_g27277_DN1_SP0_c.t1
OG0000000	Np003G1264600	CP7_g44628_DN3_SP0_c.t1
OG0000000	Np006G3574100, Np005G2997500, Np001G0689700	CP24_g46939_DN1_SP0_c.t1
OG0000000	Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1
OG0000000	Np003G1708100, Np006G3568800, Np003G1709000	CP27_g41816_DN1_SP0_c.t1
OG0000000	Np001G0314800	CP2_g50561_DN2_SP0_c.t1
OG0000000	Np002G0926900, Np004G2012200	CP3_g14989_DN1_SP0_c.t1
OG0000000	Np006G3485200	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1
OG0000000	Np002G1002000	CP2_g49699_DN2_SP0_c.t1
OG0000002	Np002G1017600	CP35_g52018_DN2_SP0_c.t1
OG0000002	Np002G1056700	CP3_g16153_DN2_SP0_c.t1
OG0000003	Np005G3039000	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	Np003G1537900	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1
OG0000003	Np004G2165300	CP26_g51160_DN1_SP0_c.t1
OG0000003	Np006G3523600	CP9_g27953_DN3_SP0_c.t1, CP3_g16740_DN2_SP0_c.t1, CP5_g1881_DN3_SP0_c.t1, CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1, CP5_g3316_DN2_SP0_c.t1
OG0000003	Np003G1349400	CP17_g5083_DN2_SP0_c.t1, CP13_g20572_DN1_SP0_c.t1
OG0000003	Np003G1737800	CP4_g26010_DN1_SP0_c.t1
OG0000003	Np002G1201600, Np007G4024900, Np003G1475700	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000003	Np004G1991400	CP21_g11065_DN2_SP0_c.t1
OG0000004	Np003G1676800	CP1_g39844_DN3_SP0_c.t1
OG0000005	Np006G3440400	CP1_g38464_DN1_SP0_c.t1
