Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_Rawat
OG0000000	Np002G1063700, Np003G1750900	AL6G27580
OG0000000	Np003G1708100, Np006G3568800, Np003G1709000	AL5G18640
OG0000000	Np004G2263100, Np001G0314800, Np002G0926900, Np004G2012200	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270
OG0000000	Np006G3485200	AL3G48680
OG0000000	Np001G0404400, Np005G3184700, Np001G0462400	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180
OG0000000	Np002G0913600, Np003G1515800, Np003G1649400, Np001G0236600, Np003G1751900, Np003G1819000, Np006G3224000, Np005G3184600	AL8G39910, AL1G63670
OG0000000	Np002G1103800	AL7G47010
OG0000000	Np002G1002000	AL8G17990, AL4G17570
OG0000002	Np008G4260500	AL3G37080
OG0000002	Np002G1057800, Np002G1036100, Np011G4364100	AL1G57360
OG0000002	Np002G1056700, Np003G1705400, Np002G0924900, Np009G4293000, Np002G1029600, Np006G3468100	AL8G20200
OG0000002	Np001G0430400, Np007G4054400	AL8G36900, AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020, AL6G39770, AL8G20740, AL987U10010, AL4G19260, AL4G18310, AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800, AL1G67410, AL1G66540, AL4G21030, AL5G12150
OG0000003	Np007G3935700	AL7G30150, AL5G20380, AL488U10010, AL4G29570
OG0000003	Np003G1537900	AL433U10010
OG0000003	Np006G3546100, Np001G0132800, Np004G1961000, Np002G0878000, Np004G2165400, Np005G2971100, Np004G2177600, Np001G0443800	AL7G45130, AL6G42590, AL2G14550, AL9U11720, AL4G19380, AL5G12450, AL2G12980, AL1G66530
OG0000003	Np006G3523600	AL3G39680, AL5G39250, AL5G19450, AL2G17040, AL6G19270, AL1G54810, AL3G36170, AL3G42970
OG0000003	Np003G1349400	AL3G46190, AL8G18370
OG0000004	Np005G2950600, Np010G4347300, Np007G4015400	AL1G59120
OG0000004	Np004G2079000, Np003G1676800, Np002G1072700, Np004G2202000	AL7G43300
OG0000004	Np004G2093200, Np007G3994400, Np005G2976000, Np005G3035100, Np002G0985300	AL6G45170
OG0000005	Np006G3606800	AL8G18430
OG0000005	Np001G0309600, Np006G3467000, Np003G1728300	AL2G18790
OG0000005	Np003G1689900, Np005G2966500	AL7G43820, AL7G43690
OG0000005	Np004G2216500, Np004G2220500, Np004G2217900	AL3G45600, AL1G65770
OG0000005	Np003G1727100, Np005G2940800, Np006G3455900, Np009G4299700, Np003G1685100	AL3G44970
OG0000007	Np008G4270000, Np002G0921200	AL1G53130
OG0000007	Np003G1457500	AL8G18310, AL1G37680, AL3G20440, AL2G22610, AL5G31160, AL1G46310, AL5G15300, AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130, AL5G42560, AL4G15130, AL1G41850, AL7G40730, AL6G17970
OG0000008	Np002G1031900, Np005G3077900	AL2G17460, AL6G27010, AL5G18950, AL7G45220
OG0000008	Np002G0964800	AL5G20470
OG0000008	Np001G0535300	AL5G32180, AL5G32140, AL5G32150
OG0000009	Np002G0805000	AL6G10570
OG0000009	Np004G1970100	AL5G14390, AL5G21470
OG0000009	Np006G3596800, Np001G0374200, Np001G0291600	AL7G37950
OG0000009	Np004G1970200	AL4G34770
OG0000009	Np003G1663900, Np001G0129200, Np003G1783000	AL2G39630
OG0000009	Np002G0744000	AL1G62100
OG0000011	Np004G2119600	AL8G22980
OG0000011	Np002G1062300, Np003G1667700	AL1G50520, AL5G34620, AL5G17780
OG0000011	Np001G0298900, Np004G2255700, Np001G0314400	AL1G17050
OG0000011	Np001G0276200	AL2G23260
OG0000011	Np007G4050800, Np001G0276100	AL2G22330
OG0000012	Np001G0263200	AL5G20450, AL971U10010, AL5G12390
OG0000014	Np001G0363000, Np006G3544600, Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900	AL9U11460
OG0000014	Np009G4305300	AL8G23060
OG0000015	Np001G0295000, Np001G0361200	AL25U10010, AL6G22310, AL7G26200
OG0000015	Np008G4270200	AL3G46060
OG0000016	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400	AL5G12380, AL5G12270
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000022	Np004G2449100	AL1G23630, AL1G24180, AL1G23620
OG0000022	Np005G3189900	AL7G48260
OG0000023	Np002G1180000	AL2G18620
OG0000023	Np002G1103400	AL8G19620
OG0000023	Np004G2177800	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450
OG0000023	Np003G1695200, Np006G3508300	AL5G18610
OG0000023	Np007G4040200	AL1G66070
OG0000023	Np005G3091400	AL2G22450
OG0000024	Np004G1980700, Np004G1980500	AL4G16470
OG0000024	Np004G2150800	AL3G45420, AL4G35160
OG0000024	Np001G0579500, Np001G0579400	AL5G38280, AL5G39160, AL5G39170, AL5G23680
OG0000024	Np004G2148800, Np004G2148600, Np005G2717400	AL1G45210
OG0000025	Np003G1727000	AL9U11280, AL5G16730, AL2G12870
OG0000027	Np003G1806500	AL6G45930
OG0000027	Np005G2838800	AL7G30260
OG0000028	Np003G1643200	AL594U10010, AL7G42840
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	AL8G29780
OG0000028	Np003G1604900	nbis-gene-2112, nbis-gene-2113, AL8G29920, AL8G28780, AL8G29950
OG0000029	Np003G1680700, Np003G1751100	AL5G20350, AL3G41570
OG0000029	Np006G3568700	nbis-gene-1243
OG0000030	Np001G0090700	AL1G40180, AL1G40160, AL1G40170
OG0000030	Np004G2249500, Np004G2249800	AL1G21870
OG0000030	Np004G2250000	AL3G24770
OG0000030	Np007G4070000	AL3G25930, AL3G25710, AL3G25690
OG0000031	Np005G2850000	AL1G56200
OG0000032	Np004G2267700	AL4G17980
OG0000034	Np005G2840700, Np005G2840600	AL7G30290
OG0000034	Np005G2841700	AL7G30310
OG0000035	Np004G2088100, Np005G3165600	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000035	Np002G0910400	AL1G64690
