Orthogroup	Noccaea_praecox	Raphanus_sativus
OG0000000	Np001G0689700	XP_018443468.1, XP_018460143.1, XP_018436074.1, XP_018458626.1, XP_018487800.1, XP_018461381.1, XP_018487582.1
OG0000000	Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100	XP_018453653.1
OG0000000	Np004G2263100	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1
OG0000000	Np001G0314800	XP_018453689.1
OG0000000	Np002G0926900, Np004G2012200	XP_018479455.1
OG0000000	Np007G4183100, Np006G3224700	XP_018443671.1, XP_018488129.1, XP_018462308.1, XP_018448539.1
OG0000000	Np005G3184700	XP_018479791.1
OG0000000	Np001G0462400	XP_018461587.1, XP_018479550.1, XP_018473616.1
OG0000000	Np002G1103800	XP_018466708.1, XP_018454128.1
OG0000000	Np002G1002000	XP_018453573.1, XP_018462059.1
OG0000002	Np003G1705400, Np002G0924900	XP_018436085.1, XP_018453671.1, XP_018459832.1
OG0000003	Np005G3039000	XP_018479340.1, XP_018473970.1, XP_018474062.1
OG0000003	Np005G2704000	XP_018460019.1
OG0000003	Np003G1537900	XP_018479479.1, XP_018458947.1
OG0000003	Np004G2165300	XP_018460607.1
OG0000003	Np006G3523600	XP_018458309.1, XP_018477029.1, XP_018462918.1, XP_018474005.1, XP_018435481.1, XP_018443265.1, XP_018453463.1
OG0000003	Np004G2027900	XP_018443742.1
OG0000003	Np003G1349400	XP_018467654.1, XP_018473851.1, XP_018453891.1, XP_018443595.1, XP_018453583.1, XP_018479683.1, XP_018473762.1, XP_018467635.1, XP_018479294.1, XP_018448761.1, XP_018448579.1, XP_018474183.1, XP_018474353.1, XP_018474345.1, XP_018454022.1, XP_018443637.1
OG0000003	Np003G1737800	XP_018487950.1, XP_018479095.1
OG0000003	Np004G1991500, Np007G4180900	XP_018435547.1
OG0000003	Np002G1201600, Np007G4024900, Np003G1475700	XP_018473666.1
OG0000003	Np004G1991400	XP_018473849.1
OG0000004	Np005G2950600, Np010G4347300, Np007G4015400	XP_018466160.1, XP_018473944.1
OG0000004	Np003G1676800	XP_018467378.1
OG0000004	Np002G1072700	XP_018461339.1
OG0000004	Np005G2935100	XP_018454350.1
OG0000004	Np004G2093200	XP_018464654.1
OG0000004	Np007G3994400, Np005G2976000	XP_018459208.1, XP_018459207.1
OG0000004	Np005G3035100, Np002G0985300	XP_018448535.1
OG0000005	Np006G3606800	XP_018435852.1, XP_018435851.1
OG0000005	Np007G4024700	XP_018463109.1
OG0000005	Np002G1022400, Np007G4025000	XP_018443683.1
OG0000005	Np006G3465300	XP_018448581.1
OG0000005	Np002G1043100	XP_018460386.1, XP_018463188.1
OG0000005	Np012G4370200, Np004G2223900	XP_018464823.1, XP_018479521.1, XP_018458647.1
OG0000007	Np008G4270000, Np002G0921200	XP_018448723.1, XP_018448724.1
