Orthogroup	Noccaea_praecox	Cardamine_hirsuta
OG0000000	Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100	CARHR219240, CARHR166210
OG0000007	Np002G0921200	CARHR115290, CARHR256390, CARHR262640
OG0000007	Np003G1457500	CARHR150730, CARHR052510, CARHR024460, CARHR221620, CARHR060220, CARHR271650, CARHR286510, CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840, CARHR032440, CARHR057030
OG0000008	Np005G2918600	CARHR183140
OG0000008	Np002G0964800	CARHR293430, CARHR035430, CARHR217860, CARHR215010, CARHR103540, CARHR118900
OG0000008	Np001G0535300	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350
OG0000009	Np004G1970100	CARHR160220
OG0000009	Np006G3566400	CARHR114650
OG0000009	Np002G0744000	CARHR153540
OG0000009	Np002G0917100, Np003G1736600, Np001G0291400, Np001G0374300, Np001G0414900	CARHR055780
OG0000011	Np001G0276300	CARHR259400
OG0000015	Np001G0486700, Np005G2743900	CARHR258200, CARHR258330
OG0000015	Np007G4092100, Np007G4161100	CARHR110600
OG0000020	Np005G2821900, Np005G2821200	CARHR113350, CARHR034150, CARHR049310
OG0000020	Np003G1713100	CARHR213120
OG0000022	Np005G3189900	CARHR213210
OG0000024	Np002G0932100	CARHR030400
OG0000024	Np004G2007800	CARHR030420
OG0000024	Np004G2150800	CARHR062310
OG0000024	Np001G0579500, Np001G0579400	CARHR168020, CARHR167830
OG0000024	Np004G2148800, Np004G2148600, Np005G2717400	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	Np006G3544700	CARHR288360
OG0000026	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400, Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700, Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	CARHR104160
OG0000027	Np003G1806500	CARHR264010, CARHR255080, CARHR255070, CARHR255050
OG0000027	Np005G2840800	CARHR055330
OG0000027	Np005G2838800	CARHR230440
OG0000028	Np003G1643200	CARHR285330, CARHR220000, CARHR100780
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	CARHR267520, CARHR267660
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	CARHR242050, CARHR244240
OG0000028	Np003G1832500	CARHR028780, CARHR203520
OG0000028	Np007G3822800, Np007G3818000, Np007G3823400	CARHR281120
OG0000028	Np003G1604900	CARHR267840, CARHR267700
OG0000029	Np003G1680700, Np003G1751100	CARHR056480, CARHR153130
OG0000030	Np004G2249500, Np004G2249800	CARHR223790, CARHR088850
OG0000032	Np004G2267500	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000032	Np008G4283700	CARHR289940
OG0000032	Np002G1024100	CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550
OG0000032	Np004G2267600	CARHR108040, CARHR035020, CARHR158140
OG0000034	Np005G2840700, Np005G2840600	CARHR230270, CARHR230290
OG0000034	Np005G2839700, Np005G2840900	CARHR055320, CARHR230240
OG0000034	Np005G2841700	CARHR230230, CARHR230200
OG0000035	Np004G2088100, Np005G3165600	CARHR034500, CARHR120350, CARHR104490
OG0000035	Np005G2830800, Np002G1134400, Np004G2299800	CARHR216710
OG0000038	Np007G3978400	CARHR187570, CARHR259820
OG0000039	Np003G1689500	CARHR184170
OG0000042	Np004G2161100, Np002G0961400	CARHR116060
OG0000042	Np006G3478400	CARHR181500
OG0000043	Np002G1248100	CARHR216370
OG0000046	Np004G2388700, Np001G0160700	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470
OG0000047	Np002G1005500	CARHR257880
OG0000048	Np006G3644800, Np002G0926400	CARHR207670
OG0000049	Np002G1103100	CARHR220930
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	CARHR154060
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300, Np001G0374100, Np006G3597400	CARHR071180, CARHR153550
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	CARHR002800
OG0000051	Np002G1168200	CARHR109310
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	CARHR127280
OG0000051	Np003G1730300	CARHR137540
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	CARHR260850
OG0000052	Np001G0218600	CARHR148060
OG0000052	Np007G4239500	CARHR148050, CARHR278920, CARHR148010, CARHR065350
OG0000054	Np005G2924500	CARHR153240
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	Np007G3923100, Np007G3922500	CARHR092560, CARHR092720, CARHR094260, CARHR107830, CARHR149830, CARHR108270
OG0000055	Np007G4191600, Np007G4191200, Np005G2851900	CARHR149840
OG0000055	Np007G3753300	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000056	Np002G1194100, Np002G0830700	CARHR050310
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	CARHR050280, CARHR049980, CARHR050290, CARHR050160
OG0000056	Np005G3136000, Np001G0467300	CARHR155600
OG0000059	Np001G0402100, Np005G3113000, Np006G3274400	CARHR044830
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	CARHR286550, CARHR102470, CARHR152130
OG0000060	Np003G1523200	CARHR273610
OG0000061	Np003G1795500	CARHR039590
OG0000061	Np006G3342300	CARHR215660
OG0000061	Np004G2405700, Np006G3280900	CARHR123140
OG0000061	Np005G3181500, Np005G3181600, Np002G1245500	CARHR123070
OG0000061	Np002G1245100, Np002G1245200	CARHR151510, CARHR219570
OG0000065	Np002G0937300	CARHR059200
OG0000065	Np005G3146600	CARHR263400, CARHR263410
OG0000066	Np004G2500100, Np003G1367200	CARHR279320, CARHR202900
OG0000066	Np007G3771600	CARHR202310
OG0000066	Np002G0777800	CARHR246640
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	CARHR210960
OG0000068	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800	CARHR064230
OG0000069	Np006G3679100, Np006G3678800, Np004G1971900	CARHR264460
OG0000070	Np007G3899300, Np001G0248800	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	Np004G2353400	CARHR020650
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	CARHR069500
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	Np005G2617200, Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200	CARHR247180
OG0000075	Np005G2617300	CARHR247150, CARHR221070, CARHR247140
OG0000075	Np004G2247300	CARHR164670, CARHR164660, CARHR174400
OG0000076	Np005G2608900	CARHR247830
OG0000076	Np001G0369900	CARHR260300
OG0000077	Np001G0381300	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080
OG0000077	Np001G0348700	CARHR112200
OG0000077	Np002G1125900	CARHR054510
OG0000077	Np001G0247700	CARHR288740, CARHR145630
