Orthogroup	Noccaea_praecox	Euclidium_syriacum
OG0000000	Np002G1063700, Np003G1750900	ESY9_g43741_DN1_SP0_c0.t1
OG0000000	Np007G4029000	ESY11_g54832_DN1_SP0_c0.t1, ESY5_g3140_DN1_SP0_c0.t1, ESY8_g59650_DN3_SP0_c0.t1
OG0000000	Np003G1264600	ESY22_g40756_DN3_SP0_c0.t1
OG0000000	Np006G3574100, Np005G2997500, Np001G0689700	ESY7_g16163_DN2_SP0_c0.t1
OG0000000	Np006G3485200	ESY17_g39043_DN1_SP0_c0.t1
OG0000002	Np002G1057700, Np008G4275500, Np005G2965700, Np008G4260500, Np002G1057800, Np002G1036100, Np011G4364100, Np008G4275700, Np002G1017600, Np002G1056700, Np003G1705400, Np002G0924900, Np009G4293000, Np002G1029600, Np006G3468100, Np002G1029300, Np004G2265100, Np002G1017700, Np004G2022100, Np004G2547200, Np001G0430400, Np007G4054400	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	Np007G3935700	ESY7_g19226_DN2_SP0_c46.t1
OG0000003	Np003G1537900	ESY9_g43283_DN2_SP0_c0.t1
OG0000003	Np004G2027900	ESY9_g43824_DN1_SP0_c0.t1
OG0000003	Np007G4024900, Np003G1475700	ESY9_g43536_DN2_SP0_c0.t1
OG0000004	Np005G2950600	ESY9_g43878_DN2_SP0_c0.t1
OG0000004	Np004G2079000, Np003G1676800	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1
OG0000005	Np006G3440400	ESY1_g7388_DN1_SP0_c0.t1
OG0000007	Np008G4270000, Np002G0921200, Np003G1457500, Np005G3131700	ESY9_g43616_DN3_SP0_c12.t1
OG0000009	Np005G2652900, Np004G2035600	ESY2_g34470_DN1_SP0_c0.t1
OG0000009	Np002G1195700	ESY2_g34418_DN2_SP0_c0.t1
OG0000009	Np002G0805000	ESY6_g47366_DN1_SP0_c0.t1
OG0000009	Np004G1970100	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1
OG0000011	Np001G0276300	ESY5_g2565_DN1_SP0_c0.t1
OG0000011	Np002G1062300, Np003G1667700, Np001G0298900, Np004G2255700, Np001G0314400	ESY8_g60782_DN3_SP0_c0.t1
OG0000011	Np001G0493800	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1
OG0000011	Np001G0276200	ESY6_g46861_DN2_SP0_c63.t1
OG0000015	Np001G0295000	ESY7_g16245_DN2_SP0_c0.t1
OG0000015	Np007G4026300	ESY5_g1619_DN2_SP0_c2.t1
OG0000015	Np007G4092100, Np007G4161100	ESY6_g46006_DN2_SP0_c14.t1
OG0000016	Np008G4282100	ESY1_g8220_DN1_SP0_c0.t1
OG0000016	Np002G1011300, Np009G4311500	ESY1_g9010_DN1_SP0_c0.t1
OG0000020	Np007G3964100, Np003G1663000, Np005G2821900, Np005G2821200	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
OG0000020	Np003G1713100	ESY6_g46671_DN2_SP0_c83.t1
OG0000021	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400, Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000023	Np006G3526600, Np006G3415000, Np002G1065700, Np005G3185500, Np002G1007500, Np002G0951100, Np002G1112500, Np002G1180000, Np002G1070000, Np007G4015700, Np002G1103400, Np004G2177800, Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800, Np003G1712400, Np006G3415100, Np004G2391200, Np010G4349100, Np007G4034700	ESY11_g53222_DN2_SP0_c100.t1
OG0000023	Np003G1695200, Np006G3508300	ESY8_g61320_DN3_SP0_c0.t1
OG0000024	Np004G1980700, Np004G1980500	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1
OG0000024	Np002G0932100	ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1
OG0000024	Np004G2007800	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000026	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000026	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	ESY8_g58625_DN1_SP0_c0.t1
OG0000027	Np005G2839100	ESY23_g74_DN3_SP0_c34.t1
OG0000027	Np005G2840800, Np005G2838800, Np005G2840200	ESY9_g42607_DN2_SP0_c68.t1
OG0000028	Np003G1643200	ESY3_g32269_DN2_SP0_c54.t1
OG0000028	Np001G0479800, Np001G0480000	ESY20_g13267_DN3_SP0_c0.t1
OG0000028	Np003G1832500	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1
OG0000029	Np003G1680700	ESY1_g6329_DN2_SP0_c0.t1
OG0000029	Np006G3568700	ESY10_g14733_DN2_SP0_c0.t1
OG0000030	Np001G0090700	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1
OG0000030	Np004G2249500, Np004G2249800	ESY3_g30317_DN3_SP0_c0.t1, ESY3_g30319_DN3_SP0_c0.t1, ESY2_g38589_DN3_SP0_c0.t1, ESY7_g17512_DN3_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1, ESY3_g30320_DN1_SP0_c0.t1, ESY3_g30284_DN2_SP0_c0.t1
OG0000030	Np004G2250000	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1
OG0000031	Np002G0985700	ESY23_g31_DN2_SP0_c0.t1
OG0000032	Np004G2267500	ESY15_g65701_DN1_SP0_c88.t1
OG0000035	Np005G2976300, Np005G2976500, Np004G2088100, Np005G3165600	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1
OG0000035	Np002G1060000, Np001G0383600, Np002G0991100, Np005G2830800, Np002G1134400, Np004G2299800, Np002G1000600	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1
OG0000035	Np002G0894300, Np002G1040100, Np006G3284300, Np007G3930600, Np002G0953600, Np003G1528700, Np001G0239800, Np002G1120800, Np004G2470200	ESY10_g13892_DN3_SP0_c0.t1
OG0000035	Np007G3930700	ESY10_g13797_DN1_SP0_c0.t1
OG0000035	Np002G1076200	ESY10_g13893_DN3_SP0_c0.t1
OG0000038	Np007G3978400	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1, ESY21_g55396_DN1_SP0_c0.t1, ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1
OG0000040	Np002G0854800	ESY8_g60365_DN2_SP0_c0.t1
OG0000040	Np007G4208200	ESY7_g17207_DN1_SP0_c0.t1
OG0000041	Np002G1205400, Np004G2543000	ESY1_g6062_DN3_SP0_c100.t1
OG0000042	Np004G2298700	ESY1_g9008_DN2_SP0_c16.t1
OG0000042	Np006G3309000, Np007G4027400, Np003G1737200, Np007G4178400, Np007G4238800, Np007G3908200, Np003G1737100, Np002G0963100	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1
OG0000043	Np004G2434100, Np001G0206600, Np003G1577100, Np005G2957000, Np002G0951900, Np006G3382800, Np003G1722000, Np002G0941700, Np003G1677700, Np006G3278600, Np006G3675100, Np002G1248100, Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100	ESY4_g23863_DN2_SP0_c100.t1
OG0000046	Np004G2388700, Np001G0160700	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	ESY15_g65758_DN2_SP0_c100.t1
