Orthogroup	Noccaea_praecox	Arabis_alpina
OG0000000	Np003G1264600	Aa_G175710.h1.t1
OG0000002	Np008G4260500	Aa_G417360.h1.t1, Aa_G109850.h1.t1
OG0000002	Np002G1029600, Np006G3468100	Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000002	Np001G0430400, Np007G4054400	Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1
OG0000003	Np005G3039000	Aa_G505500.h1.t1
OG0000005	Np006G3440400	Aa_G249080.h1.t1, Aa_G249080.h2.t1
OG0000007	Np003G1457500	Aa_G188000.h1.t1, Aa_G596260.h1.t1, Aa_G437570.h1.t1
OG0000007	Np005G3131700	Aa_G727680.h1.t1
OG0000008	Np001G0535300	Aa_G302250.h1.t1
OG0000009	Np002G1195700	Aa_G326720.h1.t1
OG0000012	Np003G1639500, Np005G2960400, Np001G0263300, Np005G2658400	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000012	Np001G0263200	Aa_G1031570.h1.t1
OG0000015	Np001G0295000	Aa_G982290.h1.t1
OG0000015	Np007G4026300	Aa_G12580.h1.t1, Aa_G1870.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1, Aa_G413430.h1.t1, Aa_G252900.h1.t1
OG0000016	Np009G4311500	Aa_G590.h1.t1
OG0000020	Np007G3964100, Np003G1663000, Np005G2821900, Np005G2821200	Aa_G135640.h1.t1
OG0000022	Np004G2449100	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1
OG0000022	Np005G3189900	Aa_G97120.h1.t1
OG0000023	Np005G2845400, Np003G1695200, Np006G3508300, Np007G4040200, Np005G3091400, Np004G2182900, Np006G3436400, Np002G1005200	Aa_G297380.h1.t1
OG0000024	Np002G0932100	Aa_G565560.h1.t1, Aa_G381220.h1.t1
OG0000024	Np004G2007800	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	Np001G0579500, Np001G0579400	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000024	Np004G2148800, Np004G2148600, Np005G2717400	Aa_G230140.h1.t1
OG0000025	Np003G1713300, Np006G3544700, Np003G1727000	Aa_G387540.h1.t1
OG0000026	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	Np005G2839100	Aa_G522580.h1.t1
OG0000027	Np005G2840800	Aa_G191740.h1.t1
OG0000027	Np005G2840200	Aa_G200830.h1.t1
