Orthogroup	Noccaea_praecox	Cardamine_glauca
OG0000000	Np006G3574100, Np005G2997500, Np001G0689700	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500
OG0000000	Np003G1708100, Np006G3568800	Cg006G1881000
OG0000000	Np006G3485200	Cg001G0315700
OG0000000	Np001G0404400, Np005G3184700, Np001G0462400	Cg007G2381100
OG0000000	Np002G1002000	Cg004G1415700
OG0000002	Np002G1017600	Cg001G0121200
OG0000002	Np002G1056700, Np003G1705400, Np002G0924900, Np009G4293000, Np002G1029600, Np006G3468100	Cg002G0472400, Cg005G1504200
OG0000003	Np007G3935700	Cg008G2696300, Cg007G2280100
OG0000003	Np005G3039000	Cg006G1905700
OG0000003	Np003G1737800	Cg001G0323400, Cg008G2981700
OG0000004	Np005G2950600, Np010G4347300, Np007G4015400	Cg014G3042600
OG0000004	Np004G2079000, Np003G1676800	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	Np005G2935100, Np005G2935000	Cg004G1187900
OG0000005	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100	Cg005G1502300
OG0000005	Np006G3440400	Cg008G2853000, Cg008G2868800, Cg006G1917300
OG0000005	Np003G1689900, Np005G2966500	Cg004G1316700, Cg001G0326200, Cg001G0340800
OG0000005	Np001G0487100	Cg006G1917000, Cg006G1876300
OG0000007	Np008G4270000, Np002G0921200	Cg008G2926400
OG0000008	Np005G2918600, Np002G1026800, Np002G1031900, Np005G3077900	Cg002G0653600
OG0000008	Np002G0964800	Cg007G2406600, Cg002G0593900
OG0000008	Np001G0535300	Cg002G0512100, Cg002G0565700
OG0000009	Np001G0683200	Cg005G1711000
OG0000009	Np003G1663900, Np001G0129200, Np003G1783000	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000009	Np006G3566400	Cg008G2845600
OG0000011	Np001G0276300	Cg003G0778000
OG0000011	Np001G0493800, Np007G3831300, Np007G4255400	Cg005G1679200
OG0000011	Np001G0276200	Cg005G1679100
OG0000012	Np005G2960400, Np001G0263300, Np005G2658400	Cg005G1703300
OG0000012	Np001G0263200	Cg004G1402400
OG0000015	Np001G0295000, Np001G0361200	Cg001G0251200
OG0000016	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400	Cg002G0591300
OG0000016	Np002G0990500	Cg005G1715500
OG0000018	Np003G1756100, Np007G3967900, Np007G4036300, Np002G0985200, Np005G3035000, Np005G2964000, Np002G1076400	Cg003G0814300
OG0000022	Np005G3189900	Cg001G0385000
OG0000023	Np006G3415000	Cg003G0880200
OG0000023	Np002G1065700, Np005G3185500	Cg007G2371000
OG0000023	Np004G2177800	Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300
OG0000023	Np005G3091400	Cg006G2067800
OG0000024	Np004G2150800	Cg006G1963900, Cg006G1963800
OG0000024	Np001G0579500, Np001G0579400	Cg002G0447000, Cg002G0448700
OG0000025	Np003G1727000	Cg005G1690200, Cg004G1264500
OG0000027	Np003G1806500	Cg003G0758800, Cg003G0758600
OG0000027	Np005G2841300	Cg001G0172400
OG0000027	Np005G2840800, Np005G2838800	Cg001G0171700
OG0000027	Np005G2840200	Cg001G0171600
OG0000028	Np003G1643200	Cg003G0981300
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	Cg007G2581000, Cg001G0051700
OG0000028	Np001G0479800, Np001G0480000	Cg006G2183100
OG0000028	Np003G1832500	Cg003G0941300
OG0000030	Np001G0090700	Cg006G1982700
OG0000030	Np004G2249500, Np004G2249800	Cg006G2154000
OG0000031	Np002G0985700, Np005G2850000	Cg003G0842000
OG0000032	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400	Cg001G0339700
OG0000034	Np005G2840700, Np005G2840600	Cg001G0172000
OG0000034	Np005G2841400	Cg001G0172200, Cg001G0172300
OG0000034	Np005G2839700, Np005G2840900	Cg001G0172500
OG0000034	Np005G2841700	Cg001G0172700
OG0000038	Np007G3978400	Cg007G2341500, Cg007G2278200
OG0000039	Np003G1689500	Cg001G0195900
OG0000040	Np001G0278000	Cg007G2426000, Cg008G2852000, Cg008G2867800
OG0000040	Np003G1817100	Cg003G0810800, Cg002G0661400
OG0000040	Np006G3694800, Np006G3353400	Cg003G0770800, Cg006G1822500, Cg003G0954000
OG0000042	Np003G1737100	Cg013G3025700
OG0000042	Np006G3478400	Cg007G2325300
OG0000043	Np006G3278600	Cg007G2421300, Cg006G1860500
OG0000043	Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100	Cg008G2905100
OG0000046	Np004G2388700, Np001G0160700	Cg003G0881700, Cg001G0284200
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	Cg007G2389100, Cg006G1872200
OG0000050	Np002G0988200	Cg002G0525300, Cg008G2715000
OG0000050	Np001G0256300	Cg001G0215700
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300	Cg006G1961200, Cg003G0717600
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	Cg005G1737200
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	Cg006G2232100
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	Cg013G3025800, Cg005G1600400
OG0000051	Np003G1730300	Cg005G1723400
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	Cg003G0782100
OG0000052	Np001G0218600	Cg002G0657800
OG0000054	Np008G4269300	Cg003G0830800
OG0000055	Np007G3923100, Np007G3922500	Cg004G1239300
OG0000056	Np002G1194100, Np002G0830700	Cg007G2283700
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	Cg007G2284900, Cg007G2285100
OG0000056	Np005G3136000, Np001G0467300	Cg002G0557700
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100	Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300
OG0000058	Np006G3504600	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	Cg003G0778100
OG0000060	Np001G0460200	Cg006G2185800
OG0000061	Np006G3342300	Cg005G1455400
OG0000061	Np004G2405700, Np006G3280900	Cg005G1634900
OG0000061	Np005G3181500, Np005G3181600, Np002G1245500	Cg005G1631000
OG0000065	Np002G0937300	Cg007G2435300
OG0000066	Np004G2500100, Np003G1367200	Cg008G2671000
OG0000066	Np007G3771600	Cg008G2677200, Cg001G0018800
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400
OG0000068	Np003G1442200, Np003G1442100	Cg008G2928700
OG0000069	Np006G3706900, Np006G3707500	Cg001G0395000
OG0000069	Np007G3833600	Cg006G2225100
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	Cg004G1201400
OG0000070	Np007G3899300, Np001G0248800	Cg006G2161100, Cg002G0680500
OG0000070	Np004G2353400	Cg006G2064200
