Orthogroup	Arabidopsis_arenosa	Arabis_alpina
OG0000002	jg11830	Aa_G417360.h1.t1, Aa_G109850.h1.t1
OG0000002	jg21985	Aa_G973590.h1.t1
OG0000002	jg1034, jg12348, jg27118, jg1783	Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1
OG0000004	jg27064, jg6905	Aa_G305790.h1.t1
OG0000008	jg15054, jg15062, jg15069, jg15057	Aa_G302250.h1.t1
OG0000011	jg33383, jg21637	Aa_G396980.h1.t1
OG0000011	jg13651	Aa_G277650.h1.t1
OG0000012	jg27079	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000012	jg27473, jg29119	Aa_G727670.h1.t1
OG0000015	jg11869	Aa_G962140.h1.t1
OG0000020	jg6965, jg21095, jg27354, jg2142, jg32618	Aa_G135640.h1.t1
OG0000022	jg5495	Aa_G447870.h1.t1
OG0000022	jg29675	Aa_G319760.h1.t1
OG0000022	jg29722, jg29734, jg29678, jg29676	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1
OG0000022	jg12744, jg25741	Aa_G97120.h1.t1
OG0000023	jg26919, jg32331, jg12319, jg1757, jg31920, jg12454, jg3735	Aa_G297380.h1.t1
OG0000024	jg18272	Aa_G565560.h1.t1, Aa_G381220.h1.t1
OG0000024	jg31712, jg31673, jg31700, jg31701, jg31702, jg31695, jg7351, jg31682, jg31706, jg31676, jg31674, jg31678, jg31679, jg31677, jg31671	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	jg15695, jg15696, jg15770, jg15771, jg14278	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000025	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980, jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257, jg27352	Aa_G387540.h1.t1
OG0000027	jg10174, jg10184, jg10183, jg10189	Aa_G200970.h1.t1
OG0000027	jg10191	Aa_G200900.h1.t1
OG0000027	jg7537, jg7533, jg7530	Aa_G597270.h1.t1
OG0000027	jg10199	Aa_G191740.h1.t1
OG0000028	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	jg23436, jg23431, jg8750, jg8748, jg4646, jg4645, jg21837, jg21838, jg23433, jg23437, jg23430, jg14606, jg29584, jg14605, jg28212	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000028	jg22006, jg22007, jg22259, jg22445, jg22074, jg22278, jg22269, jg22270, jg22279, jg22262, jg22242, jg22244	Aa_G553200.h1.t1
OG0000029	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	Aa_G248570.h1.t1
OG0000029	jg21311	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	jg25272	Aa_G152820.h1.t1
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	Aa_G209100.h1.t1
OG0000034	jg10193, jg10203, jg10197	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	jg10200	Aa_G191730.h1.t1
OG0000034	jg10426	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1
OG0000034	jg10425	Aa_G58920.h1.t1
OG0000034	jg10202, jg10195, jg10208	Aa_G191690.h1.t1
OG0000034	jg10177	Aa_G92800.h1.t1, Aa_G474070.h1.t1
OG0000035	jg32621, jg13872	Aa_G7660.h1.t1, Aa_G44290.h1.t1
OG0000035	jg6998, jg7008, jg32675, jg6987, jg1581	Aa_G9270.h1.t1
OG0000035	jg11910, jg27526, jg7415, jg23144, jg12740, jg13724, jg27973, jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502, jg17311, jg27930, jg1081, jg11470, jg12280	Aa_G246010.h1.t1
OG0000035	jg1580	Aa_G104090.h1.t1
OG0000042	jg11609	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1
OG0000042	jg12236, jg6978	Aa_G67230.h1.t1
OG0000042	jg17129	Aa_G392560.h1.t1, Aa_G500830.h1.t1
OG0000044	jg21039	Aa_G685510.h1.t1
