Orthogroup	Arabidopsis_arenosa	Capsella_rubella
OG0000000	jg7218	XP_023632598.1
OG0000000	jg26753, jg25591	XP_023637681.1
OG0000000	jg27616	XP_023636065.1, XP_023634315.1, XP_023640349.1, XP_023633451.1, XP_023633818.1
OG0000000	jg25786	XP_023635799.1
OG0000002	jg11830, jg12347, jg21985, jg21988	XP_023638855.1
OG0000003	jg13879	XP_023644456.1
OG0000008	jg15054, jg15062, jg15069, jg15057	XP_023638567.1
OG0000011	jg33383, jg21637	XP_023638113.1, XP_023633028.1
OG0000011	jg13840	XP_023644226.1
OG0000011	jg13651	XP_023641372.1
OG0000011	jg28177	XP_023633409.1, XP_023641370.1
OG0000011	jg18104	XP_023636084.1
OG0000011	jg33105, jg17517, jg32960, jg20959	XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1
OG0000011	jg14168	XP_006298993.2, XP_023637233.1
OG0000011	jg21692	XP_023641182.1
OG0000012	jg22437, jg1376, jg33243	XP_023633714.1
OG0000012	jg13807	XP_023645773.1
OG0000014	jg11731	XP_023638462.1, XP_023634279.1
OG0000020	jg6965	XP_023640323.1
OG0000020	jg27354	XP_006279199.1
OG0000020	jg2142	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1
OG0000020	jg32618	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1
OG0000020	jg11431	XP_006302668.2
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954	XP_023637954.1
OG0000021	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287	XP_006303531.2, XP_023644562.1, XP_023641377.1
OG0000021	jg27179	XP_023638098.1
OG0000021	jg25715	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1
OG0000022	jg9770	XP_006283550.1
OG0000022	jg5495	XP_023636761.1
OG0000022	jg572	XP_006301194.2, XP_006300860.1
OG0000022	jg642	XP_006302102.1
OG0000022	jg638	XP_006301814.1
OG0000022	jg29724	XP_006306232.1
OG0000022	jg29708, jg29704, jg29712	XP_006303680.2, XP_006303621.1
OG0000022	jg29722, jg29734, jg29678, jg29676	XP_006306401.2, XP_006303167.1
OG0000022	jg372	XP_023643559.1
OG0000022	jg12744	XP_023635463.1
OG0000022	jg25741	XP_006297483.1
OG0000024	jg31700, jg31701, jg31702, jg31695, jg7351, jg31682, jg31706	XP_023643300.1, XP_023632994.1
OG0000024	jg31676, jg31674, jg31678, jg31679, jg31677	XP_023633131.1
OG0000024	jg31671	XP_023632981.1, XP_023645579.1, XP_023645581.1
OG0000024	jg31709, jg31713, jg31711, jg31710	XP_023632988.1
OG0000024	jg31714	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1
OG0000024	jg33003, jg33002	XP_023644529.1
OG0000024	jg31857	XP_023633039.1
OG0000024	jg31665	XP_023632980.1
OG0000024	jg31668	XP_023632970.1
OG0000024	jg15695, jg15696, jg15770	XP_023633004.1, XP_023639207.1
OG0000025	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980	XP_023644235.1, XP_023636040.1, XP_023641958.1, XP_023644550.1, XP_023644451.1, XP_023634078.1
OG0000025	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257	XP_023636110.1
OG0000025	jg27352	XP_023641784.1, XP_023644446.1, XP_023636071.1
OG0000027	jg7518, jg7519	XP_023635857.1
OG0000027	jg7517	XP_023635858.1, XP_006289355.2
OG0000027	jg7516	XP_006286462.1
OG0000027	jg7521	XP_006287218.1
OG0000027	jg7523	XP_023635866.1
OG0000027	jg10174	XP_006284983.1
OG0000027	jg10181	XP_023634683.1
OG0000027	jg10205	XP_006285954.1
OG0000027	jg7526	XP_006287240.1
OG0000027	jg10199	XP_006282816.1
OG0000027	jg10187	XP_023634698.1
OG0000027	jg10190	XP_023634685.1
OG0000028	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952	XP_023634475.1
OG0000028	jg8750	XP_006285133.1
