Orthogroup	Arabidopsis_arenosa	Eutrema_salsugineum
OG0000000	jg27616	XP_024016239.1, XP_024006398.1
OG0000002	jg13863	XP_024013294.1
OG0000002	jg2023, jg27584	XP_024016289.1, XP_024016302.1, XP_024016271.1, XP_024010360.1, XP_024015836.1
OG0000002	jg11830	XP_024006551.1
OG0000002	jg12347	XP_024010911.1, XP_024010912.1
OG0000002	jg1034, jg12348, jg27118, jg1783	XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1, XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1
OG0000003	jg27926	XP_024010659.1, XP_024010914.1
OG0000004	jg13997, jg27064, jg6905, jg12072, jg12472, jg1749	XP_024007302.1
OG0000004	jg17418, jg2001, jg27456	XP_024009381.1, XP_024016564.1, XP_024011370.1
OG0000004	jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197	XP_024009341.1
OG0000005	jg14786	XP_024003648.1
OG0000005	jg11918	XP_024013092.1
OG0000005	jg1672	XP_024010905.1, XP_024015845.1
OG0000008	jg20324	XP_024009261.1
OG0000008	jg15054, jg15062, jg15069, jg15057	XP_024013173.1
OG0000009	jg3218, jg20691	XP_006391314.1
OG0000011	jg13840	XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	jg33095	XP_024007764.1
OG0000011	jg13838, jg27639, jg22122	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1
OG0000011	jg4342	XP_024004159.1, XP_024015297.1
OG0000011	jg14168	XP_024004160.1
OG0000011	jg6805	XP_024013228.1
OG0000012	jg27079	XP_024010329.1
OG0000012	jg27473, jg29119, jg9712, jg17246	XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1
OG0000012	jg22437, jg1376, jg33243, jg13806	XP_024006310.1, XP_024010246.1, XP_024010847.1, XP_024006789.1, XP_024013645.1
OG0000015	jg11868, jg21314	XP_024007917.1
OG0000020	jg6965	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1
OG0000020	jg21095, jg27354	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	jg11846	XP_024016132.1
OG0000020	jg11431	XP_024015881.1
OG0000020	jg27353	XP_024014745.1
OG0000020	jg27355, jg11845	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1
OG0000021	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287	XP_024013384.1
OG0000021	jg25715	XP_024008232.1
OG0000022	jg9770	XP_006413138.1
OG0000022	jg5495	XP_006400202.2
OG0000022	jg645, jg586, jg583, jg572, jg642	XP_006391833.2
OG0000022	jg29675, jg638	XP_006391829.2
OG0000022	jg26478	XP_006406159.2, XP_006418847.2
OG0000022	jg29724, jg29708, jg29704, jg29712	XP_006417237.2
OG0000022	jg29722, jg29734, jg29678, jg29676, jg29711	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	jg12744	XP_024014798.1
OG0000022	jg25741	XP_024015415.1
OG0000023	jg1757, jg31920, jg12454	XP_024016167.1
OG0000024	jg17071	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	jg31857	XP_024006555.1
OG0000024	jg15695, jg15696, jg15770, jg15771	XP_024004275.1
OG0000024	jg14278	XP_006402766.1
OG0000025	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257	XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1
OG0000025	jg27352	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1
OG0000027	jg7517, jg7516	XP_024009838.1, XP_006396897.2
OG0000027	jg7521	XP_006396896.1
OG0000027	jg7523	XP_024010236.1
OG0000027	jg10174	XP_006413565.1
OG0000027	jg7515	XP_024009837.1
OG0000027	jg10191	XP_006413569.1
OG0000027	jg7537, jg7533, jg7530	XP_006396890.1
OG0000027	jg7526	XP_006396908.2
OG0000027	jg10192	XP_024004623.1
OG0000027	jg10199	XP_006413573.1
OG0000028	jg8748	XP_006411607.2
OG0000029	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	jg21311	XP_024013922.1
OG0000029	jg32932	XP_024013800.1
OG0000030	jg26153, jg26152	XP_006391637.1
OG0000030	jg30787, jg31203, jg31202, jg25536	XP_024008003.1
OG0000030	jg25377, jg1071	XP_024009293.1
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	XP_024016186.1
OG0000030	jg2112	XP_024010547.1, XP_024015244.1
OG0000031	jg21124	XP_024014022.1
OG0000031	jg21055	XP_024010455.1, XP_024016318.1, XP_024006123.1, XP_024006531.1, XP_024015844.1, XP_024010635.1, XP_024009411.1, XP_024011373.1, XP_024016250.1
OG0000034	jg10193, jg10203, jg10197	XP_006413571.1, XP_024010975.1
OG0000034	jg10200	XP_006413574.2
OG0000034	jg10426, jg10425	XP_024005104.1
OG0000034	jg10175, jg10176	XP_006413567.2
OG0000034	jg10198	XP_024004626.1
OG0000034	jg10202, jg10195	XP_006413576.1
OG0000035	jg32621, jg13872	XP_024010425.1, XP_024007977.1
OG0000035	jg32484, jg7027, jg13873	XP_024007976.1, XP_024016141.1
OG0000035	jg6998, jg7008, jg32675, jg6987	XP_006393440.2
OG0000038	jg17779	XP_024013061.1
OG0000040	jg17939	XP_024014479.1, XP_024004874.1, XP_024006081.1, XP_024004163.1, XP_024009299.1
OG0000041	jg28661, jg10344	XP_024011200.1
OG0000042	jg33373	XP_024009659.1
OG0000042	jg6977	XP_024009944.1
OG0000042	jg33374, jg32294, jg32380	XP_024006466.1
OG0000044	jg21834	XP_024004579.1
OG0000044	jg20443, jg20442, jg20416	XP_024013343.1
OG0000044	jg20412, jg20415	XP_006398345.1
OG0000044	jg21833	XP_024009767.1
OG0000046	jg12140, jg13501, jg20886	XP_024015030.1
OG0000046	jg1572	XP_024009472.1, XP_024009471.1
OG0000046	jg1555, jg21339	XP_024009726.1, XP_024010419.1
OG0000048	jg20748, jg20747	XP_024005913.1
OG0000048	jg18309, jg18271	XP_006410338.1
OG0000048	jg33607	XP_006406533.1
OG0000048	jg740	XP_006407903.2
OG0000050	jg19949, jg4268	XP_024011305.1, XP_006403065.1, XP_006396164.1, XP_024016108.1, XP_024010449.1, XP_006414856.2
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	XP_024015913.1, XP_024007981.1
OG0000051	jg29349	XP_006418389.2, XP_024008111.1
OG0000051	jg19557	XP_006411503.1
OG0000051	jg497, jg24823	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	jg19560	XP_024004184.1
OG0000052	jg1458, jg1459, jg1457, jg13394, jg13392, jg13393	XP_024007553.1
OG0000052	jg15039	XP_024008507.1
OG0000052	jg14729	XP_006404188.1, XP_024010967.1
OG0000055	jg26196, jg26181	XP_024012536.1
OG0000055	jg26019, jg12073	XP_006398121.1, XP_006406735.1
OG0000055	jg27919	XP_024016535.1
OG0000056	jg14491	XP_006405761.2
OG0000058	jg16618	XP_024013600.1
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000059	jg27640, jg13837	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1
OG0000061	jg5088	XP_024006504.1, XP_024006267.1
OG0000062	jg21178	XP_024009412.1
OG0000062	jg32622	XP_024011371.1, XP_024013346.1
OG0000062	jg13871, jg7029	XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	jg2189	XP_024014567.1
OG0000065	jg2209, jg2212, jg2195	XP_006391458.1
OG0000065	jg12337	XP_024014561.1
OG0000065	jg12464, jg12463	XP_024014419.1
OG0000066	jg1404, jg13471, jg4871, jg4870, jg29279	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	jg4927	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000067	jg14038	XP_024013907.1
OG0000067	jg14037	XP_024014292.1
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	XP_024014925.1
OG0000068	jg4679	XP_006406656.1
OG0000069	jg16351	XP_006404944.1
OG0000070	jg28225, jg28226, jg13116, jg13115	XP_006395735.1
OG0000070	jg16631, jg30544, jg4483	XP_006416426.1
OG0000070	jg3251	XP_006390250.1
OG0000072	jg12110	XP_024009686.1
OG0000072	jg7100, jg12084, jg27349, jg7332, jg11849	XP_024004060.1, XP_024006592.1
OG0000072	jg20178	XP_024014710.1
OG0000073	jg7033	XP_024006136.1
OG0000073	jg11572, jg10937, jg20466	XP_024009769.1, XP_024016097.1
OG0000073	jg13828	XP_024007936.1
OG0000075	jg21647	XP_024009720.1, XP_024009721.1
OG0000075	jg26472, jg32685, jg32682, jg32692, jg8427	XP_006396818.1, XP_006396813.1
OG0000076	jg8362	XP_006411683.1
OG0000076	jg18482	XP_006410525.1
OG0000077	jg20644	XP_024004738.1
OG0000077	jg13131	XP_006395717.2, XP_006395727.1
OG0000077	jg13128	XP_006395720.2
OG0000077	jg902, jg1249	XP_006392390.2
OG0000078	jg24239	XP_024014979.1
OG0000078	jg5644, jg5634	XP_006400347.1, XP_006400352.1, XP_006400344.1
OG0000079	jg7377	XP_006405230.2, XP_024010130.1
OG0000081	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799	XP_024014389.1, XP_024004223.1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	XP_024014942.1, XP_024013908.1
OG0000086	jg12259	XP_006405821.2
OG0000086	jg12281	XP_024014475.1, XP_006405815.1
OG0000086	jg2128, jg2129	XP_006390991.1
OG0000089	jg6235	XP_006394642.1
OG0000089	jg17972	XP_006410012.1
OG0000089	jg5068	XP_006399740.1
OG0000089	jg20749	XP_006403108.1
OG0000089	jg10485	XP_006413842.1
OG0000089	jg18593	XP_006410628.1
OG0000089	jg3235	XP_006390273.1
OG0000090	jg20882, jg6910	XP_024004922.1, XP_024014456.1
OG0000091	jg14545, jg14558	XP_024011698.1
OG0000091	jg17633	XP_006404361.1, XP_006398110.2, XP_006398111.1
OG0000091	jg5910	XP_024011446.1
OG0000095	jg17289	XP_006405019.2
OG0000095	jg17005, jg20640	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000096	jg26888, jg26886	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000096	jg25957	XP_006408882.1, XP_024014982.1
OG0000096	jg6740, jg25958	XP_024004907.1, XP_024007223.1
OG0000097	jg13803	XP_024005015.1
OG0000097	jg17571	XP_024011316.1
OG0000098	jg27107	XP_024009712.1, XP_006403292.2
OG0000098	jg2306	XP_006395726.1
OG0000098	jg17595, jg31284, jg16872	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000100	jg1396	XP_024014529.1
OG0000100	jg1380, jg1381	XP_006404831.1
OG0000100	jg471	XP_024014029.1, XP_024004369.1
OG0000101	jg27510	XP_024007307.1, XP_024013940.1, XP_024010678.1, XP_024008063.1, XP_024004951.1
OG0000102	jg21543, jg7817	XP_006405546.1
OG0000102	jg7818, jg11552	XP_006396592.1
OG0000102	jg7810	XP_006417793.2
OG0000105	jg14191, jg14194	XP_024011529.1
OG0000105	jg12094	XP_006414517.2
OG0000106	jg15329	XP_024004087.1
OG0000106	jg17558, jg25723	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1
OG0000107	jg26161	XP_024015177.1
OG0000108	jg15311	XP_006410952.1, XP_006403657.1
OG0000108	jg14433, jg22870	XP_006400969.1, XP_006418890.1
OG0000108	jg4799	XP_006399464.1
OG0000108	jg19509, jg19508	XP_006405819.1
OG0000109	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1
OG0000110	jg25795, jg13800, jg13799, jg25794	XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1
OG0000111	jg7195, jg7197, jg7196, jg7198	XP_006405203.2, XP_006405200.2
OG0000111	jg3144	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	XP_024013163.1, XP_024014535.1
OG0000114	jg6733	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
OG0000116	jg6813, jg6561	XP_006404698.2, XP_006415357.2
OG0000117	jg30922	XP_024008618.1
OG0000117	jg30923, jg30924	XP_024008035.1
OG0000117	jg30934	XP_024008031.1
OG0000117	jg30938	XP_024008246.1
OG0000117	jg30929	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2
OG0000118	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773	XP_006416096.1
OG0000118	jg24182, jg26523	XP_024010220.1, XP_024009977.1, XP_006410257.2
OG0000118	jg24305, jg26630, jg26627, jg26631, jg26628, jg7233	XP_006408206.1
OG0000119	jg22962	XP_024009951.1
OG0000119	jg14325	XP_006419033.2
OG0000120	jg32086, jg21202, jg10180, jg12955, jg6735, jg10767	XP_024016282.1
OG0000122	jg31888	XP_024012533.1
OG0000122	jg21685	XP_024014583.1, XP_024014445.1
OG0000122	jg22486	XP_024012350.1
OG0000122	jg22508	XP_006401333.2
OG0000123	jg21770	XP_024012107.1
OG0000124	jg12674	XP_024014203.1
OG0000124	jg27681, jg17603	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1
OG0000125	jg17890, jg17891, jg17887	XP_024003754.1
OG0000125	jg33004	XP_024006051.1
OG0000125	jg33352, jg33355, jg33354	XP_006392987.1
OG0000125	jg33347	XP_024006272.1
OG0000125	jg26323	XP_006406282.1
OG0000125	jg33349	XP_024006009.1
OG0000126	jg17588	XP_024016126.1
OG0000126	jg1403, jg17368	XP_024009117.1, XP_024009113.1
OG0000127	jg6123	XP_006400797.1
OG0000127	jg15301	XP_006403666.1
OG0000127	jg22931	XP_006400898.1
OG0000127	jg17851	XP_006409905.1
OG0000128	jg15969	XP_024012970.1
OG0000128	jg15965	XP_024012967.1
OG0000128	jg13485	XP_006412145.2
OG0000128	jg15959	XP_006402712.2
OG0000128	jg15960	XP_006402710.1
OG0000128	jg1161, jg11381	XP_006402715.1
OG0000129	jg1820	XP_006408194.2
OG0000129	jg1832	XP_024011911.1
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	XP_024006771.1, XP_006394457.2, XP_024007354.1
OG0000132	jg15428	XP_006403516.1
OG0000132	jg7387, jg7388	XP_006405758.2, XP_024014449.1
OG0000132	jg23313, jg23312	XP_006396648.1, XP_006391408.1, XP_006391409.1
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1
OG0000134	jg20706	XP_024011055.1
