Orthogroup	Arabidopsis_arenosa	Noccaea_praecox
OG0000000	jg16911, jg12161, jg21611	Np002G1063700, Np003G1750900
OG0000000	jg7091	Np001G0039000, Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100
OG0000002	jg11830	Np008G4260500
OG0000002	jg21988	Np002G1017600
OG0000002	jg1034, jg12348, jg27118, jg1783	Np001G0430400, Np007G4054400
OG0000003	jg27926	Np003G1537900
OG0000003	jg17386	Np007G4024900, Np003G1475700
OG0000004	jg1749	Np003G1676800
OG0000005	jg1672	Np003G1685100
OG0000008	jg15054, jg15062, jg15069, jg15057	Np001G0535300
OG0000009	jg17698, jg17538, jg11602	Np004G2021700
OG0000011	jg13840	Np001G0276300
OG0000011	jg26287	Np004G2119600
OG0000011	jg13838, jg27639, jg22122	Np002G1062300, Np003G1667700
OG0000011	jg6805	Np001G0276200
OG0000012	jg13807	Np001G0263200
OG0000014	jg1574	Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900
OG0000020	jg6965	Np003G1663000
OG0000020	jg2142	Np005G2821900, Np005G2821200
OG0000020	jg6883	Np003G1713100
OG0000021	jg32393, jg11989, jg32560, jg4400, jg26774	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000022	jg29722, jg29734, jg29678, jg29676	Np004G2449100
OG0000022	jg12744	Np005G3189900
OG0000023	jg27300	Np007G4034700
OG0000023	jg26919	Np005G2845400
OG0000023	jg32331	Np003G1695200, Np006G3508300
OG0000023	jg12319	Np007G4040200
OG0000023	jg1757, jg31920, jg12454	Np005G3091400
OG0000024	jg17071	Np004G1980700, Np004G1980500
OG0000024	jg18272	Np002G0932100
OG0000024	jg31712	Np004G2007800
OG0000024	jg27402, jg18984, jg31665, jg31668	Np004G2150800
OG0000024	jg15695, jg15696, jg15770, jg15771, jg14278	Np001G0579500, Np001G0579400
OG0000025	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257	Np003G1727000
OG0000027	jg7517, jg7516	Np003G1806500
OG0000027	jg10205	Np005G2841300
OG0000027	jg10199	Np005G2840800
OG0000027	jg10190	Np005G2838800
OG0000028	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952	Np003G1643200
OG0000028	jg22250, jg22247, jg22219, jg12583, jg12582	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300
OG0000028	jg8750, jg8748, jg4646, jg4645, jg21837, jg21838	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700
OG0000028	jg14606	Np001G0479800, Np001G0480000
OG0000028	jg14605, jg28212	Np003G1832500
OG0000028	jg22006, jg22007, jg22259, jg22445, jg22074, jg22278, jg22269, jg22270, jg22279, jg22262, jg22242, jg22244	Np003G1604900
OG0000029	jg1778	Np006G3568700
OG0000030	jg31203, jg31202	Np001G0090700
