Orthogroup	Arabidopsis_arenosa	Cardamine_glauca
OG0000000	jg26753, jg25591	Cg002G0506900
OG0000002	jg21985, jg21988	Cg001G0121200
OG0000004	jg6905	Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400
OG0000004	jg12072, jg12472, jg1749	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	jg17418, jg2001, jg27456, jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197	Cg004G1187900
OG0000008	jg15054, jg15062, jg15069, jg15057	Cg002G0565700
OG0000009	jg1846, jg6872	Cg003G0834900
OG0000009	jg28095	Cg003G0797000
OG0000011	jg13840	Cg003G0778000
OG0000011	jg4342, jg1809, jg13975, jg14168, jg21692, jg32528	Cg005G1679200
OG0000011	jg6805	Cg005G1679100
OG0000015	jg11868, jg21314	Cg004G1297400
OG0000018	jg42, jg2924	Cg003G0814300
OG0000020	jg21095, jg27354	Cg004G1313600
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287	Cg006G1871200
OG0000021	jg25715	Cg006G1912000, Cg004G1333000
OG0000022	jg9770	Cg001G0134600
OG0000022	jg642	Cg007G2277400
OG0000022	jg372	Cg007G2258400
OG0000022	jg12744	Cg001G0385000
OG0000022	jg25741	Cg004G1232100
OG0000023	jg7019, jg10010, jg11895, jg12128, jg11974, jg21172, jg31034, jg12143, jg17365, jg32719, jg31024, jg26946	Cg001G0296000
OG0000023	jg12454	Cg006G2067800
OG0000024	jg32093, jg31696, jg31707, jg31681, jg31709, jg31713, jg31711, jg31710, jg31714, jg2233, jg31669, jg16933, jg16932, jg31715, jg31705	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300
OG0000024	jg33003, jg33002	Cg001G0380300
OG0000024	jg31857	Cg002G0647900
OG0000024	jg27402, jg18984	Cg006G1963900, Cg006G1963800
OG0000024	jg15695, jg15696, jg15770, jg15771, jg14278	Cg002G0447000, Cg002G0448700
OG0000025	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257	Cg005G1690200, Cg004G1264500
OG0000027	jg7517, jg7516	Cg003G0758600
OG0000027	jg7521	Cg003G0758500
OG0000027	jg10174	Cg001G0170600
OG0000027	jg7515	Cg003G0758900
OG0000027	jg10205	Cg001G0172400
OG0000027	jg7537, jg7533, jg7530	Cg003G0757800
OG0000027	jg10192	Cg001G0171900
OG0000027	jg10199, jg10187, jg10190	Cg001G0171700
OG0000028	jg8750	Cg007G2581000
OG0000028	jg4646, jg4645, jg21837, jg21838	Cg001G0051700
OG0000028	jg14606	Cg006G2183100
OG0000028	jg14605, jg28212	Cg003G0941300
OG0000029	jg6737, jg11997	Cg007G2405400, Cg007G2364600
OG0000029	jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	Cg001G0384100
OG0000030	jg26153, jg26152	Cg004G1270000
OG0000030	jg2274	Cg004G1261500
OG0000030	jg30787, jg31203, jg31202	Cg006G1982700
OG0000030	jg25536	Cg001G0286900
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	Cg002G0532900
OG0000030	jg29499	Cg006G2154000
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	Cg001G0339700
OG0000032	jg27186	Cg007G2361600
OG0000034	jg10193, jg10203, jg10197	Cg001G0172000
OG0000034	jg10204	Cg001G0172200, Cg001G0172300
OG0000034	jg10200	Cg001G0172500
OG0000034	jg10426	Cg001G0190400
OG0000034	jg10425	Cg001G0190500
OG0000034	jg10207	Cg001G0172600
OG0000034	jg10202, jg10195, jg10208	Cg001G0172700
OG0000040	jg17939	Cg001G0375200, Cg007G2426000, Cg008G2852000, Cg008G2867800, Cg005G1448100
OG0000042	jg6977	Cg013G3025700
OG0000042	jg33374, jg32294, jg32380	Cg007G2325300
OG0000044	jg21834	Cg001G0233900
OG0000044	jg20587	Cg004G1386600
OG0000044	jg20417	Cg008G2973700
OG0000044	jg20420	Cg008G2897600
OG0000044	jg20412, jg20415	Cg008G2973900
OG0000044	jg6091, jg1752, jg21037	Cg004G1380900
OG0000046	jg12140	Cg003G0881700
OG0000046	jg13501, jg20886	Cg001G0284200
OG0000050	jg11604	Cg005G1710800
OG0000050	jg14086	Cg007G2389100, Cg006G1872200
OG0000050	jg19949, jg4268	Cg002G0525300, Cg008G2715000, Cg001G0215700
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	Cg005G1737200
OG0000051	jg29349	Cg006G2232100
OG0000051	jg19555	Cg005G1506300
OG0000051	jg19551, jg19550, jg907, jg19552, jg19554, jg18423	Cg013G3025800, Cg005G1600400
OG0000051	jg19560	Cg005G1723400
OG0000051	jg19561, jg19562, jg19563, jg19564	Cg003G0782100
OG0000052	jg13373	Cg002G0657800
OG0000052	jg1458, jg1459, jg1457	Cg007G2494300
OG0000052	jg20913, jg15189	Cg002G0501500
OG0000052	jg14762	Cg002G0537500
OG0000055	jg26780	Cg004G1287600
OG0000055	jg25759, jg25744	Cg004G1232400
OG0000056	jg748	Cg007G2285200
OG0000056	jg721	Cg007G2283300
OG0000056	jg726	Cg007G2283500
OG0000056	jg745	Cg007G2284900, Cg007G2285100
OG0000056	jg14491	Cg002G0557700
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852	Cg005G1680800, Cg005G1670600
OG0000058	jg17522, jg31083, jg21000	Cg002G0648900
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400
OG0000059	jg27640, jg13837	Cg003G0778100
OG0000060	jg15309	Cg005G1558200
OG0000060	jg21260	Cg005G1647300
OG0000060	jg17853	Cg003G0987300
OG0000061	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993	Cg004G1379900
OG0000061	jg25262, jg18012	Cg005G1634900
OG0000061	jg18005	Cg005G1631000
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	Cg003G0987600
OG0000065	jg2209, jg2212, jg2195	Cg007G2435800
OG0000066	jg4871	Cg003G1045600
OG0000066	jg29279	Cg008G2671000
OG0000066	jg3219, jg3220	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900
OG0000066	jg4927	Cg001G0018900, Cg008G2677200, Cg001G0018800
OG0000066	jg30515	Cg006G2066700
OG0000067	jg6462, jg31439, jg5264	Cg004G1439200
OG0000068	jg4186	Cg008G2597800, Cg002G0415500
OG0000068	jg4261, jg4260	Cg008G2596900
OG0000068	jg24839, jg24838	Cg004G1419400
OG0000068	jg32043	Cg002G0693300
OG0000068	jg4088, jg4089, jg14390, jg14389, jg14204, jg4055	Cg008G2602600, Cg008G2600100
OG0000069	jg16351	Cg001G0395000
OG0000069	jg28153, jg28151, jg15319, jg28979	Cg006G2225100
OG0000069	jg16809	Cg004G1201400
OG0000070	jg29403	Cg006G2161100
OG0000070	jg28225, jg28226, jg13116, jg13115	Cg002G0680500
OG0000070	jg16631, jg30544, jg4483	Cg006G2064200
OG0000070	jg3251	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	jg21183	Cg008G2918500, Cg011G3015900
OG0000070	jg8905	Cg001G0056200
OG0000072	jg12110	Cg006G1870600, Cg007G2425100
OG0000072	jg7100, jg12084, jg27349, jg7332, jg11849	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100
OG0000072	jg20178	Cg007G2400700, Cg007G2408800
OG0000072	jg25787	Cg005G1665600
OG0000075	jg8426	Cg001G0013800
OG0000076	jg8362	Cg001G0007600
OG0000076	jg18482	Cg005G1594800
OG0000077	jg1247	Cg007G2324000
OG0000077	jg13131	Cg002G0678300
