Orthogroup	Arabidopsis_arenosa	Conringia_planisiliqua
OG0000000	jg17252	CP7_g45049_DN1_SP0_c.t1
OG0000000	jg16911, jg12161, jg21611	CP23_g21525_DN1_SP0_c.t1, CP15_g35524_DN2_SP0_c.t1, CP6_g9755_DN1_SP0_c.t1
OG0000000	jg27990	CP17_g5930_DN1_SP0_c.t1
OG0000000	jg7091	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1
OG0000000	jg32942	CP17_g6015_DN1_SP0_c.t1
OG0000000	jg11905	CP1_g39688_DN1_SP0_c.t1, CP7_g45495_DN1_SP0_c.t1, CP22_g17660_DN2_SP0_c.t1
OG0000000	jg7218	CP28_g33903_DN1_SP0_c.t1
OG0000000	jg25591	CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1
OG0000000	jg27616	CP6_g8147_DN1_SP0_c.t1, CP9_g27797_DN2_SP0_c.t1, CP28_g34012_DN1_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP1_g40809_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1, CP24_g46940_DN2_SP0_c.t1, CP36_g50963_DN2_SP0_c.t1
OG0000002	jg12347	CP3_g16175_DN3_SP0_c.t1
OG0000002	jg21988	CP35_g52018_DN2_SP0_c.t1
OG0000003	jg27926	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1
OG0000003	jg5917	CP29_g22151_DN2_SP0_c.t1
OG0000003	jg19451	CP14_g23759_DN1_SP0_c.t1
OG0000003	jg17386, jg13577	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000004	jg12072, jg12472	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1
OG0000004	jg1749	CP1_g39844_DN3_SP0_c.t1
OG0000011	jg33383, jg21637	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1
OG0000011	jg13840	CP18_g11548_DN1_SP0_c.t1
OG0000011	jg33095	CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1, CP18_g11618_DN2_SP0_c.t1
OG0000011	jg13651	CP47_g21270_DN3_SP0_c.t1
OG0000011	jg13839	CP14_g23600_DN3_SP0_c.t1
OG0000011	jg4342	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1
OG0000011	jg14168	CP1_g39552_DN2_SP0_c.t1
OG0000011	jg21692	CP17_g5859_DN2_SP0_c.t1
OG0000011	jg6805	CP15_g35899_DN2_SP0_c.t1
OG0000015	jg11869	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1
OG0000015	jg32432	CP18_g12595_DN3_SP0_c.t1
OG0000015	jg6861	CP16_g55608_DN2_SP0_c.t1
OG0000015	jg21086	CP6_g9737_DN2_SP0_c.t1
OG0000020	jg21095, jg27354	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1
OG0000020	jg6884, jg7335	CP6_g9455_DN3_SP0_c.t1
OG0000020	jg27353	CP28_g33976_DN2_SP0_c.t1
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774, jg25715	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000022	jg29675	CP2_g49169_DN2_SP0_c.t1
OG0000023	jg32597, jg21243, jg17207, jg1599, jg27300, jg1550, jg27237, jg27744, jg7019, jg10010, jg11895, jg12128, jg11974, jg21172, jg31034, jg12143, jg17365, jg32719, jg31024, jg26946, jg32109, jg26919, jg32331, jg12319, jg1757, jg31920, jg12454, jg3735	CP35_g52033_DN3_SP0_c.t1
OG0000024	jg17071	CP2_g48829_DN3_SP0_c.t1
OG0000024	jg31857	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000024	jg14278	CP3_g13494_DN2_SP0_c.t1
OG0000026	jg6878	CP47_g21234_DN3_SP0_c.t1
OG0000028	jg14605, jg28212	CP10_g43844_DN3_SP0_c.t1
OG0000029	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000029	jg21311	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1
OG0000029	jg32932	CP4_g26314_DN1_SP0_c.t1
OG0000029	jg1778	CP4_g26137_DN1_SP0_c.t1
OG0000030	jg30787, jg31203, jg31202, jg25536	CP11_g31940_DN3_SP0_c.t1
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1
OG0000031	jg21055	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	CP1_g40427_DN2_SP0_c.t1
OG0000032	jg27186	CP15_g35839_DN1_SP0_c.t1, CP5_g2289_DN2_SP0_c.t1
OG0000034	jg8138	CP8_g54564_DN3_SP0_c.t1
OG0000035	jg32621, jg13872	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	jg1581	CP4_g26190_DN3_SP0_c.t1
