Orthogroup	Arabidopsis_arenosa	Brassica_rapa
OG0000000	jg11905	XP_033138771.1
OG0000000	jg27616	XP_033138224.1, XP_009144626.1, XP_033130110.1, XP_033129351.1, XP_009117187.1, XP_009129274.1, XP_033139897.1
OG0000002	jg1034, jg12348, jg27118, jg1783	XP_033148513.1
OG0000003	jg13879	XP_033133979.1
OG0000003	jg17386, jg13577	XP_033146211.1
OG0000004	jg1749	XP_033138950.1, XP_033130324.1
OG0000004	jg21092	XP_033138897.1
OG0000004	jg17418, jg2001, jg27456	XP_033142456.1
OG0000008	jg15054, jg15062, jg15069, jg15057	XP_009115858.3
OG0000009	jg1846, jg6872	XP_033139461.1
OG0000009	jg3218, jg20691	XP_033141077.1
OG0000009	jg17698, jg17538, jg11602	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1
OG0000009	jg13081, jg20041	XP_009139341.2, XP_009103764.1, XP_009152173.2, XP_009117699.2, XP_033144437.1
OG0000011	jg13840	XP_033128807.1
OG0000011	jg26287	XP_018509279.1, XP_033141867.1
OG0000011	jg33095	XP_018511928.1
OG0000011	jg13651	XP_033144010.1
OG0000011	jg16702	XP_033139088.1, XP_033131994.1, XP_033139376.1
OG0000011	jg13838, jg27639, jg22122	XP_033143559.1, XP_033143864.1, XP_033136826.1
OG0000011	jg4342	XP_009119519.1
OG0000011	jg21692	XP_033132530.1
OG0000011	jg6805	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1
OG0000012	jg27473, jg29119, jg9712, jg17246	XP_033134396.1, XP_009140434.1, XP_009124217.1
OG0000015	jg11869	XP_009113103.2, XP_033138269.1, XP_033136397.1, XP_033137014.1
OG0000015	jg21086	XP_018509062.1, XP_009118914.1
OG0000018	jg2924	XP_033141158.1
OG0000020	jg21095	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1
OG0000020	jg2142	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1
