Orthogroup	Arabidopsis_arenosa	Arabidopsis_thaliana
OG0000009	jg11602	AT1G10000.1
OG0000011	jg33383, jg21637	AT3G30370.1, AT1G18050.1
OG0000011	jg33105, jg17517, jg32960, jg20959	AT5G15685.1
OG0000012	jg14895, jg31555	AT3G47680.1
OG0000020	jg11846	AT2G11570.1
OG0000020	jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883	AT2G06420.1
OG0000021	jg32393, jg11989, jg32560, jg4400, jg26774	AT1G52950.1
OG0000021	jg25715	AT3G31925.1
OG0000022	jg9770	AT4G26800.2
OG0000022	jg5495	AT5G16640.1
OG0000022	jg617, jg616	AT1G62914.1
OG0000022	jg618, jg613	AT1G62670.1
OG0000022	jg572	AT1G63130.1
OG0000022	jg642	AT1G62680.1
OG0000022	jg663	AT1G63400.1, AT1G62590.1
OG0000022	jg481	AT1G62910.1, AT1G63150.1
OG0000022	jg612	AT1G63080.1
OG0000022	jg610, jg644	AT1G62930.1
OG0000022	jg582, jg588, jg580, jg611	AT1G63070.1
OG0000022	jg638	AT1G62720.1
OG0000022	jg26478	AT3G22470.1
OG0000022	jg29724	AT1G12700.2
OG0000022	jg29708, jg29704, jg29712	AT1G12620.1
OG0000022	jg29722, jg29734, jg29678, jg29676	AT1G12300.1, AT1G12775.1
OG0000022	jg372	AT1G64583.1
OG0000022	jg12744	AT5G41170.1
OG0000022	jg25741	AT3G16710.1
OG0000024	jg31700, jg31701, jg31702, jg31695, jg7351, jg31682, jg31706	AT1G30925.1
OG0000024	jg31676, jg31674, jg31678, jg31679, jg31677	AT1G30930.1
OG0000024	jg32093	AT1G31080.1
OG0000024	jg31714	AT1G31090.1
OG0000024	jg2233	AT1G67130.1
OG0000024	jg31669	AT1G30920.1
OG0000024	jg31715	AT5G42430.1
OG0000024	jg31953, jg31952	AT1G33020.1
OG0000024	jg31856, jg31855	AT1G33010.1
OG0000024	jg15696	AT3G56890.1
OG0000024	jg15770	AT3G57580.1
OG0000024	jg15771	AT3G57590.1
OG0000027	jg7518, jg7519	AT4G11480.1
OG0000027	jg7517, jg7516	AT4G11470.2
OG0000027	jg10174	AT4G23320.3
OG0000027	jg10184	AT4G23240.1
OG0000027	jg7515	AT4G11460.1
OG0000027	jg10181	AT4G23260.1
OG0000027	jg7537, jg7533, jg7530	AT4G11530.1
OG0000027	jg10192	AT4G23190.1
OG0000027	jg10190	AT4G23210.3
OG0000028	jg22236	AT5G55870.1, AT5G54330.1
OG0000028	jg22237	AT5G54320.1
OG0000028	jg22427, jg22428	AT5G55880.1, AT5G55890.1
OG0000028	jg22250, jg22247	AT5G54450.1
OG0000028	jg22006	AT5G52930.1
OG0000028	jg22007	AT5G52940.1
OG0000028	jg22259	AT5G54560.1, AT5G54550.1
OG0000029	jg1780, jg13951	AT2G17905.1
OG0000030	jg26153	AT3G20030.1
OG0000030	jg2274	AT1G67450.1
OG0000030	jg31202	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	jg25377, jg1071	AT1G59680.2
OG0000030	jg1537	AT1G54550.1
OG0000030	jg14799	AT3G49510.1
OG0000030	jg17824, jg14802, jg14804	AT3G49520.1
OG0000030	jg2112	AT1G66490.1
OG0000030	jg10900	AT3G14030.1
OG0000030	jg738	AT3G13680.1
OG0000031	jg21055	AT4G10305.1
OG0000034	jg10193, jg10203, jg10197	AT4G23180.1
OG0000034	jg10206	AT4G23150.1
OG0000034	jg10426	AT4G21400.1
OG0000034	jg10425	AT4G21410.3
OG0000034	jg8138	AT4G00960.1
OG0000034	jg10207	AT4G23140.2
OG0000034	jg10176	AT4G23280.1, AT4G23270.3
OG0000034	jg10208	AT4G23130.2
OG0000035	jg32621, jg13872	AT2G07240.1
OG0000035	jg32484, jg7027, jg13873, jg6998, jg7008, jg32675, jg6987, jg1581, jg11910, jg27526, jg7415, jg23144, jg12740, jg13724, jg27973, jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502, jg17311, jg27930, jg1081, jg11470, jg12280	AT4G04957.1
OG0000044	jg20418	AT5G46500.1
OG0000044	jg12610	AT5G40060.1
OG0000044	jg7084, jg7157	AT4G08450.1
OG0000044	jg20420	AT5G46470.1
OG0000044	jg13687, jg20423	AT5G46450.1
