Orthogroup	Arabidopsis_arenosa	Alyssum_gmelinii
OG0000000	jg16911, jg12161, jg21611	Ag067G5184800, Ag001G0043700, Ag062G5062000
OG0000000	jg7091	Ag031G3405800, Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100
OG0000000	jg5331	Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800
OG0000000	jg11875	Ag016G2390300, Ag014G2113800
OG0000000	jg26753, jg25591	Ag055G4904400
OG0000000	jg27616	Ag045G4516900, Ag044G4496600, Ag078G5351600, Ag066G5137400, Ag013G1386400, Ag033G3486500, Ag020G2571600, Ag013G1635500
OG0000000	jg25786	Ag011G1121000, Ag019G2526000, Ag051G4805800, Ag023G2823300
OG0000003	jg27926	Ag067G5203100
OG0000004	jg27064, jg6905	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600
OG0000004	jg12072, jg12472, jg1749	Ag014G1774700
OG0000008	jg27185	Ag005G0786100
OG0000008	jg15054, jg15062, jg15069, jg15057	Ag001G0025300
OG0000009	jg12452, jg19324, jg23533	Ag002G0216700, Ag075G5300000, Ag004G0685200
OG0000009	jg11602	Ag034G3964200, Ag048G4700800
OG0000011	jg33383, jg21637	Ag015G2211300
OG0000011	jg26287	Ag019G2529100, Ag039G4286000
OG0000011	jg4342, jg1809, jg13975, jg14168, jg21692, jg32528	Ag027G3007700
OG0000014	jg1574	Ag012G1285000
OG0000015	jg21086	Ag018G2438800
OG0000018	jg42	Ag064G5103000
OG0000020	jg6965	Ag016G2337300
OG0000020	jg21095, jg27354	Ag068G5227400
OG0000020	jg32618	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774, jg25715	Ag013G1488900, Ag031G3408800
OG0000022	jg29724	Ag034G3829100
OG0000022	jg372	Ag024G2896000
OG0000022	jg12744	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	jg25741	Ag014G2040000
OG0000023	jg26919	Ag039G4287100
OG0000023	jg12454	Ag054G4895500, Ag002G0253500
OG0000023	jg3735	Ag004G0626900
OG0000024	jg17071	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300
OG0000024	jg18272	Ag013G1663800
OG0000024	jg31712	Ag031G3235600
OG0000024	jg33003, jg33002	Ag052G4846900
OG0000024	jg27402, jg18984, jg31665, jg31668, jg15695, jg15696, jg15770, jg15771, jg14278	Ag013G1754200
OG0000025	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257	Ag067G5188200, Ag030G3132300
OG0000025	jg27352	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900
OG0000027	jg7518, jg7519, jg7517, jg7516	Ag021G2619200
OG0000027	jg7521	Ag021G2619800
OG0000027	jg7523	Ag021G2619900
OG0000027	jg10174	Ag077G5324400
OG0000027	jg7515	Ag077G5325000, Ag033G3496200
OG0000027	jg10181	Ag077G5325100, Ag033G3496300, Ag033G3642400
OG0000027	jg10205	Ag093G5459600
OG0000027	jg7537, jg7533, jg7530	Ag021G2620200
OG0000027	jg7526	Ag021G2618400
OG0000027	jg10192	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600
OG0000028	jg22250, jg22247, jg22219, jg12583, jg12582	Ag078G5387500
OG0000029	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	Ag002G0180900, Ag022G2648100
