Orthogroup	Arabidopsis_arenosa	Raphanus_sativus
OG0000000	jg7091	XP_018453653.1
OG0000000	jg26753	XP_018460558.1
OG0000000	jg25591	XP_018472282.1
OG0000000	jg27616	XP_018435536.1, XP_018465308.1, XP_018463500.1, XP_018443699.1, XP_018459856.1, XP_018461626.1
OG0000003	jg27926	XP_018479479.1, XP_018458947.1
OG0000003	jg17386, jg13577, jg12206, jg20194, jg17562	XP_018473666.1
OG0000004	jg1749	XP_018467378.1
OG0000004	jg21092	XP_018435922.1
OG0000004	jg17418	XP_018459921.1
OG0000008	jg27185	XP_018487720.1
OG0000008	jg15054, jg15062, jg15069, jg15057	XP_018438736.1
OG0000009	jg1846, jg6872	XP_018463485.1, XP_018435713.1
OG0000009	jg17698, jg17538, jg11602	XP_018435786.1, XP_018461258.1
OG0000009	jg13081, jg20041	XP_018460890.1, XP_018454026.1, XP_018463890.1, XP_018466227.1, XP_018479847.1, XP_018473842.1, XP_018435552.1, XP_018443423.1
OG0000011	jg13838, jg27639, jg22122	XP_018436176.1, XP_018465398.1, XP_018435783.1
OG0000011	jg4342	XP_018450169.1
OG0000011	jg14168	XP_018448446.1
OG0000011	jg6805	XP_018448643.1, XP_018436024.1
OG0000015	jg32432, jg6861, jg27710	XP_018459146.1
OG0000018	jg2924	XP_018487785.1
OG0000020	jg21095	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1
OG0000020	jg27354	XP_018439110.1
OG0000020	jg2142	XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1
OG0000020	jg32618	XP_018463043.1
OG0000020	jg27355, jg11845, jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883, jg32222, jg15995	XP_018460984.1, XP_018460983.1
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000022	jg9770	XP_018467852.1
OG0000022	jg5495	XP_018446660.1
OG0000022	jg642	XP_018452507.1
OG0000022	jg29675, jg638	XP_018456914.1, XP_018456330.1
OG0000022	jg29724	XP_018439379.1
