Orthogroup	Cardamine_amara	Brassica_oleracea
OG0000000	evm.model.RL_4.710	XP_013639674.1, XP_013607775.1
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	XP_013594978.1
OG0000000	evm.model.RL_8.1072	XP_013639843.1
OG0000000	evm.model.RL_7.1901, evm.model.RL_2.681	XP_013587282.1
OG0000002	evm.model.RL_5.2510	XP_013613445.1
OG0000002	evm.model.RL_3.454	XP_013624612.1
OG0000002	evm.model.RL_1.3300, evm.model.RL_1.3293	XP_013632468.1
OG0000002	evm.model.RL_7.2065	XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1
OG0000002	evm.model.RL_4.153	XP_013632991.1
OG0000003	evm.model.RL_5.2420	XP_013632989.1, XP_013624327.1, XP_013594796.1
OG0000003	evm.model.RL_2.1084	XP_013626656.1, XP_013589417.1
OG0000003	evm.model.RL_6.1194	XP_013617438.1, XP_013613453.1
OG0000003	evm.model.RL_2.548	XP_013599594.1
OG0000003	evm.model.RL_5.2504	XP_013624301.1
OG0000003	evm.model.RL_6.652	XP_013601228.1, XP_013616730.1
OG0000003	evm.model.RL_1.2633	XP_013639562.1
OG0000004	evm.model.RL_2.303	XP_013632878.1
OG0000005	evm.model.RL_4.816, evm.model.RL_4.229	XP_013608026.1, XP_013639201.1, XP_013635062.1
OG0000005	evm.model.RL_2.1105	XP_013614431.1
OG0000005	evm.model.RL_1.3117	XP_013632594.1
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1
OG0000006	evm.model.RL_2.3087, evm.model.RL_5.3322	XP_013639373.1
OG0000006	evm.model.RL_1.817, evm.model.RL_2.785	XP_013632892.1
OG0000006	evm.model.RL_4.552	XP_013639708.1
OG0000006	evm.model.RL_5.2330	XP_013601610.1, XP_013595036.1, XP_013608454.1, XP_013594910.1, XP_013613948.1
OG0000007	evm.model.RL_2.1094	XP_013616974.1
OG0000007	evm.model.RL_5.2474, evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701, evm.model.RL_2.506	XP_013624151.1
OG0000007	evm.model.RL_2.508	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1
OG0000007	evm.model.RL_1.2700, evm.model.RL_2.507	XP_013594922.1
OG0000007	evm.model.RL_2.539	XP_013624723.1, XP_013632833.1, XP_013594838.1, XP_013639528.1, XP_013617764.1, XP_013628112.1, XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1
OG0000007	evm.model.RL_2.2279	XP_013600971.1
OG0000007	evm.model.RL_2.556	XP_013639421.1
